"","Tm","roster"
"1","BOS","/players/c/conlege01.html, /players/c/cousybo01.html, /players/g/guarige01.html, /players/h/heinsto01.html, /players/j/joneskc01.html, /players/j/jonessa01.html, /players/k/kingma01.html, /players/l/loscuji01.html, /players/r/ramsefr01.html, /players/r/richtjo01.html, /players/r/russebi01.html, /players/s/sharmbi01.html"
"2","CIN","/players/b/bockhbu01.html, /players/e/embrywa01.html, /players/g/gambeda01.html, /players/j/jordoph01.html, /players/p/palmeji01.html, /players/p/parkme01.html, /players/p/piontda01.html, /players/r/reedhu01.html, /players/r/rolliph01.html, /players/s/stavela01.html, /players/s/stevewa01.html, /players/t/twymaja01.html, /players/w/wilfowi01.html"
"3","DET","/players/a/alcorga01.html, /players/c/cableba01.html, /players/c/conlied01.html, /players/d/deesar01.html, /players/d/dukeswa01.html, /players/h/howelba01.html, /players/k/kenvibi01.html, /players/l/lloydea01.html, /players/m/mcguidi01.html, /players/m/mcmilsh01.html, /players/n/noblech01.html, /players/s/shuege01.html, /players/w/windito01.html"
"4","MNL","/players/b/bayloel01.html, /players/e/ellisbo01.html, /players/f/felixra01.html, /players/f/flemied01.html, /players/f/foustla01.html, /players/g/garmadi01.html, /players/h/hamilst01.html, /players/h/hawkito01.html, /players/h/hundlho01.html, /players/k/krebsji01.html, /players/l/larusru01.html, /players/l/leonasl01.html, /players/m/mantini01.html, /players/s/selvyfr01.html, /players/s/sharech01.html, /players/s/smithbo01.html, /players/s/sobiero01.html"
"5","NYK","/players/a/anderbo01.html, /players/b/bellwh01.html, /players/b/braunca01.html, /players/f/farmemi01.html, /players/f/felixra01.html, /players/g/garmadi01.html, /players/g/georgja01.html, /players/g/greenjo01.html, /players/g/gueriri01.html, /players/m/mccanbr01.html, /players/n/naullwi01.html, /players/p/palmeji01.html, /players/r/ramseca01.html, /players/s/searske01.html, /players/s/sobiero01.html, /players/t/tyrach01.html"
"6","PHW","/players/a/arizipa01.html, /players/b/becker01.html, /players/c/chambwi01.html, /players/g/golato01.html, /players/g/grabojo01.html, /players/h/hattove01.html, /players/j/johnsan01.html, /players/r/rodgegu01.html, /players/r/ruklijo01.html, /players/s/sauldwo01.html, /players/s/sparrgu01.html"
"7","STL","/players/f/ferraal01.html, /players/f/ferrybo01.html, /players/f/foustla01.html, /players/g/gambeda01.html, /players/g/greensi01.html, /players/h/hagancl01.html, /players/l/lovelcl01.html, /players/m/martisl01.html, /players/m/mccarjo01.html, /players/m/mcmahja01.html, /players/p/pettibo01.html, /players/p/piontda01.html, /players/r/ramseca01.html, /players/r/reedhu01.html, /players/s/sharech01.html"
"8","SYR","/players/b/barnedi01.html, /players/b/biancal01.html, /players/c/cableba01.html, /players/c/costela01.html, /players/d/dierkco01.html, /players/g/greerha01.html, /players/h/hopkibo01.html, /players/k/kerrre01.html, /players/p/palazto01.html, /players/r/rayji01.html, /players/s/schaydo01.html, /players/s/selvyfr01.html, /players/s/seymopa01.html, /players/y/yardlge01.html"
