"","Tm","roster"
"1","ATL","/players/a/andergr01.html, /players/a/augmost01.html, /players/b/bazarse01.html, /players/b/blaylmo01.html, /players/c/corbity01.html, /players/e/edwardo01.html, /players/e/ehlocr01.html, /players/h/hovasto01.html, /players/k/koncajo01.html, /players/l/langan01.html, /players/l/lesji01.html, /players/l/longgr01.html, /players/n/normake01.html, /players/s/smithst01.html, /players/v/vinsofr01.html, /players/w/whatlen01.html, /players/w/wileymo01.html, /players/w/willike02.html"
"2","BOS","/players/b/blackja01.html, /players/b/brownde01.html, /players/d/dawsoto01.html, /players/d/douglsh01.html, /players/e/earlac01.html, /players/e/edwarbl01.html, /players/e/ellispe01.html, /players/f/foxri01.html, /players/h/harrito01.html, /players/h/humphja01.html, /players/m/mcdanxa01.html, /players/m/minorgr01.html, /players/m/montrer01.html, /players/r/radjadi01.html, /players/s/stronde01.html, /players/w/wesleda01.html, /players/w/wilkido01.html"
"3","CHH","/players/a/adamsmi01.html, /players/b/benneto01.html, /players/b/blackja01.html, /players/b/boguemu01.html, /players/b/burresc01.html, /players/c/curryde01.html, /players/g/gattike01.html, /players/h/hancoda01.html, /players/h/hawkihe01.html, /players/j/johnsla02.html, /players/m/mournal01.html, /players/p/parisro01.html, /players/s/suttogr01.html, /players/t/tolbeto01.html, /players/w/wingada01.html, /players/w/wolfjo01.html"
"4","CHI","/players/a/armstbj01.html, /players/b/blounco01.html, /players/b/buechju01.html, /players/e/englijo01.html, /players/f/fostegr01.html, /players/h/harpero01.html, /players/j/jordami01.html, /players/k/kerrst01.html, /players/k/krystla01.html, /players/k/kukocto01.html, /players/l/longllu01.html, /players/m/myerspe01.html, /players/p/perduwi01.html, /players/p/pippesc01.html, /players/s/simpkdi01.html, /players/w/wennibi01.html"
"5","CLE","/players/b/battljo01.html, /players/b/benneel01.html, /players/b/brandte01.html, /players/c/cagemi01.html, /players/c/campbto01.html, /players/c/coltest01.html, /players/d/dreilgr01.html, /players/f/ferryda01.html, /players/h/hillty01.html, /players/m/madkige01.html, /players/m/millsch01.html, /players/p/phillbo01.html, /players/p/pricema01.html, /players/r/roberfr01.html, /players/w/williho01.html"
"6","DAL","/players/b/brooksc01.html, /players/d/daviste01.html, /players/d/dumasto01.html, /players/h/harrilu01.html, /players/h/hodgedo01.html, /players/j/jacksji01.html, /players/j/jonespo01.html, /players/k/kiddja01.html, /players/m/mashbja01.html, /players/m/mccloge01.html, /players/s/smithdo03.html, /players/t/tarplro01.html, /players/w/wileymo01.html, /players/w/willilo01.html"
"7","DEN","/players/a/abdulma02.html, /players/d/delebi01.html, /players/e/ellisda01.html, /players/e/ellisla01.html, /players/g/grantgr01.html, /players/h/hammoto01.html, /players/l/levincl01.html, /players/m/meeda01.html, /players/m/mutomdi01.html, /players/p/packro01.html, /players/r/randama01.html, /players/r/recasel01.html, /players/r/rogerro01.html, /players/r/roseja01.html, /players/s/slatere01.html, /players/s/stithbr01.html, /players/w/willire01.html"
"8","DET","/players/a/addisra01.html, /players/b/bondwa01.html, /players/c/curlebi01.html, /players/d/dawkijo01.html, /players/d/dumarjo01.html, /players/h/hillgr01.html, /players/h/houstal01.html, /players/h/hunteli01.html, /players/k/knighne01.html, /players/l/leckner01.html, /players/m/maconma01.html, /players/m/milleol01.html, /players/m/millste01.html, /players/n/newbiiv01.html, /players/p/peplomi01.html, /players/w/westma01.html"
"9","GSW","/players/a/alexavi01.html, /players/b/bolma01.html, /players/g/gatlich01.html, /players/g/guglito01.html, /players/h/hardati01.html, /players/h/higgiro01.html, /players/j/jennike01.html, /players/l/legleti01.html, /players/l/lorthry01.html, /players/m/marshdo01.html, /players/m/mortodw01.html, /players/m/mullich01.html, /players/p/piercri01.html, /players/r/rogerca01.html, /players/r/roziecl01.html, /players/s/seikaro01.html, /players/s/sprewla01.html, /players/w/woodda01.html"
"10","HOU","/players/b/breauti01.html, /players/b/brooksc01.html, /players/b/brownch01.html, /players/c/caldwad01.html, /players/c/cassesa01.html, /players/c/chilcpe01.html, /players/d/drexlcl01.html, /players/e/eliema01.html, /players/h/herreca01.html, /players/h/horryro01.html, /players/j/jonesch01.html, /players/m/maxweve01.html, /players/m/murratr01.html, /players/o/olajuha01.html, /players/s/smithke01.html, /players/t/tabakza01.html, /players/t/thorpot01.html"
