"","Tm","roster"
"1","BOS","/players/b/braunca01.html, /players/b/butleal01.html, /players/c/cousybo01.html, /players/g/guarige01.html, /players/h/heinsto01.html, /players/j/joneskc01.html, /players/j/jonessa01.html, /players/l/loscuji01.html, /players/p/phillga01.html, /players/r/ramsefr01.html, /players/r/russebi01.html, /players/s/sandeto01.html"
"2","CHP","/players/b/bellawa01.html, /players/b/bonsage01.html, /players/c/cableba01.html, /players/c/carlho01.html, /players/d/davisra01.html, /players/d/deesar01.html, /players/g/grabojo01.html, /players/g/greensi01.html, /players/h/hattove01.html, /players/j/johnsan01.html, /players/l/laresyo01.html, /players/l/leonasl01.html, /players/p/piontda01.html, /players/s/sauldwo01.html, /players/t/turneja02.html, /players/t/tyrach01.html, /players/w/walkeho01.html"
"3","CIN","/players/b/bockhbu01.html, /players/b/boozebo01.html, /players/b/buckhjo01.html, /players/e/embrywa01.html, /players/n/nordmbe01.html, /players/r/reedhu01.html, /players/r/roberos01.html, /players/s/smithad01.html, /players/t/twymaja01.html, /players/w/wiesebo01.html, /players/z/zelleda01.html"
"4","DET","/players/d/dukeswa01.html, /players/e/eganjo01.html, /players/f/ferrybo01.html, /players/h/howelba01.html, /players/j/joneswi01.html, /players/l/leege01.html, /players/m/mcmilsh01.html, /players/m/morelja01.html, /players/n/noblech01.html, /players/o/ohldo01.html, /players/s/scottra01.html, /players/s/shuege01.html"
"5","LAL","/players/b/bayloel01.html, /players/f/felixra01.html, /players/h/hawkito01.html, /players/h/hundlho01.html, /players/j/jolifho01.html, /players/k/krebsji01.html, /players/l/larusru01.html, /players/m/mcneibo01.html, /players/s/selvyfr01.html, /players/s/simsbo01.html, /players/s/smithbo01.html, /players/w/westje01.html, /players/y/yateswa01.html"
"6","NYK","/players/b/blanege01.html, /players/b/buckncl01.html, /players/b/buddda01.html, /players/b/burtoed01.html, /players/b/butchdo01.html, /players/b/butleal01.html, /players/g/greenjo01.html, /players/g/gueriri01.html, /players/i/imhofda01.html, /players/j/jordoph01.html, /players/k/kistldo01.html, /players/m/martiwh01.html, /players/n/naullwi01.html, /players/s/smithbi01.html, /players/s/stithsa01.html"
"7","PHW","/players/a/arizipa01.html, /players/a/attleal01.html, /players/c/chambwi01.html, /players/c/conlied01.html, /players/g/golato01.html, /players/l/laresyo01.html, /players/l/luckete01.html, /players/m/mcneibo01.html, /players/m/meschto01.html, /players/r/radovfr01.html, /players/r/rodgegu01.html, /players/r/ruklijo01.html"
"8","STL","/players/a/arcenst01.html, /players/c/cableba01.html, /players/d/darroji01.html, /players/d/deesar01.html, /players/e/eichhdi01.html, /players/f/ferraal01.html, /players/f/foustla01.html, /players/g/grabojo01.html, /players/g/greensi01.html, /players/h/hagancl01.html, /players/h/hattove01.html, /players/h/hillcl01.html, /players/h/hornro01.html, /players/l/lacoufr01.html, /players/l/lovelcl01.html, /players/m/mccarjo01.html, /players/m/mcmilsh01.html, /players/p/pettibo01.html, /players/s/sauldwo01.html, /players/s/simsbo01.html, /players/w/wilkele01.html"
"9","SYR","/players/b/biancal01.html, /players/c/costela01.html, /players/g/gambeda01.html, /players/g/grabojo01.html, /players/g/greerha01.html, /players/h/halbrsw01.html, /players/k/kerrre01.html, /players/n/neumapa01.html, /players/o/osborch01.html, /players/r/roberjo01.html, /players/s/schaydo01.html, /players/s/shaffle01.html"
