"","Tm","roster"
"1","ATL","/players/a/augmost01.html, /players/b/blaylmo01.html, /players/b/boycedo01.html, /players/b/bullama01.html, /players/e/ehlocr01.html, /players/g/grandro01.html, /players/h/hendeal01.html, /players/j/jordare01.html, /players/k/kemptti01.html, /players/l/laettch01.html, /players/l/langan01.html, /players/l/longgr01.html, /players/m/mundtto01.html, /players/n/nathaho01.html, /players/n/normake01.html, /players/r/rooksse01.html, /players/s/smithst01.html, /players/w/webbsp01.html"
"2","BOS","/players/b/barroda01.html, /players/b/brownde01.html, /players/b/burroju01.html, /players/c/claxtch01.html, /players/d/dayto01.html, /players/d/douglsh01.html, /players/e/ellispe01.html, /players/f/foxri01.html, /players/h/hamilth01.html, /players/l/listeal01.html, /players/m/minorgr01.html, /players/m/montrer01.html, /players/m/mundtto01.html, /players/r/radjadi01.html, /players/s/smithdo03.html, /players/s/sykesla01.html, /players/w/wesleda01.html, /players/w/willier01.html"
"3","CHH","/players/a/adamsmi01.html, /players/a/addisra01.html, /players/a/anderke01.html, /players/b/beckco01.html, /players/b/boguemu01.html, /players/b/burresc01.html, /players/c/curryde01.html, /players/g/geigema01.html, /players/g/gillke01.html, /players/g/glassge01.html, /players/g/goldwan01.html, /players/h/hancoda01.html, /players/h/hodgedo01.html, /players/j/johnsla02.html, /players/m/myerspe01.html, /players/p/parisro01.html, /players/r/reevekh01.html, /players/r/ricegl01.html, /players/s/suttogr01.html, /players/w/wolfjo01.html, /players/z/zidekge01.html"
"4","CHI","/players/b/brownra02.html, /players/b/buechju01.html, /players/c/caffeja01.html, /players/e/edwarja01.html, /players/h/haleyja01.html, /players/h/harpero01.html, /players/j/jordami01.html, /players/k/kerrst01.html, /players/k/kukocto01.html, /players/l/longllu01.html, /players/p/pippesc01.html, /players/r/rodmade01.html, /players/s/sallejo01.html, /players/s/simpkdi01.html, /players/w/wennibi01.html"
"5","CLE","/players/a/amaecjo01.html, /players/b/brandte01.html, /players/c/cagemi01.html, /players/c/courtjo01.html, /players/c/crottjo01.html, /players/f/ferryda01.html, /players/h/hillty01.html, /players/j/johnsda02.html, /players/l/langan02.html, /players/m/majerda01.html, /players/m/marshdo02.html, /players/m/millsch01.html, /players/m/minerha01.html, /players/p/phillbo01.html, /players/s/surabo01.html"
"6","DAL","/players/b/brooksc01.html, /players/d/daviste01.html, /players/d/dumasto01.html, /players/h/harrilu01.html, /players/h/hodgedo01.html, /players/j/jacksji01.html, /players/j/jonespo01.html, /players/k/kiddja01.html, /players/m/mashbja01.html, /players/m/mccloge01.html, /players/m/meyerlo01.html, /players/p/parksch02.html, /players/s/slatere01.html, /players/w/willilo01.html, /players/w/woodda01.html"
"7","DEN","/players/a/abdulma02.html, /players/c/cvetkra01.html, /players/e/ellisda01.html, /players/e/ellisla01.html, /players/f/fishma01.html, /players/g/grantgr01.html, /players/h/hammoto01.html, /players/m/macledo01.html, /players/m/mcdyean01.html, /players/m/mutomdi01.html, /players/o/overtdo01.html, /players/r/roseja01.html, /players/s/slatere01.html, /players/s/spencel01.html, /players/s/stithbr01.html, /players/w/willire01.html, /players/w/woodsra01.html"
"8","DET","/players/b/bardost01.html, /players/c/currymi01.html, /players/d/dumarjo01.html, /players/h/hillgr01.html, /players/h/houstal01.html, /players/h/hunteli01.html, /players/l/leckner01.html, /players/m/maconma01.html, /players/m/millste01.html, /players/r/ratlith01.html, /players/r/reiddo01.html, /players/r/roelo01.html, /players/t/thorpot01.html, /players/w/westma01.html"
"9","GSW","/players/a/armstbj01.html, /players/b/barryjo01.html, /players/c/churcro01.html, /players/c/colesbi01.html, /players/d/declean01.html, /players/g/gatlich01.html, /players/h/hammige01.html, /players/h/hardati01.html, /players/k/kerseje01.html, /players/m/marshdo01.html, /players/m/mullich01.html, /players/r/roziecl01.html, /players/s/seikaro01.html, /players/s/smithjo02.html, /players/s/sprewla01.html, /players/w/willike02.html, /players/w/woodda01.html"
"10","HOU","/players/b/bookeme01.html, /players/b/breauti01.html, /players/b/brownch01.html, /players/b/bryanma01.html, /players/c/cassesa01.html, /players/c/chilcpe01.html, /players/d/drexlcl01.html, /players/e/eliema01.html, /players/h/heggsal01.html, /players/h/horryro01.html, /players/j/jacksja01.html, /players/j/jameshe01.html, /players/j/jonesch01.html, /players/m/macksa01.html, /players/m/mooretr01.html, /players/o/olajuha01.html, /players/r/recasel01.html, /players/s/smithke01.html"
"11","IND","/players/b/besttr01.html, /players/c/caldwad01.html, /players/d/davisan01.html, /players/d/davisda01.html, /players/f/ferredu01.html, /players/h/hoibefr01.html, /players/j/jacksma01.html, /players/j/johnsed03.html, /players/m/mckeyde01.html, /players/m/millere01.html, /players/p/piercri01.html, /players/s/schindw01.html, /players/s/smitsri01.html, /players/w/workmha01.html"
"12","LAC","/players/b/barrybr01.html, /players/d/deherte01.html, /players/d/delebi01.html, /players/h/harvean01.html, /players/m/murrala01.html, /players/o/outlabo01.html, /players/p/piatker01.html, /players/r/richapo01.html, /players/r/roberst01.html, /players/r/rogerro01.html, /players/s/sealyma01.html, /players/t/towerke01.html, /players/v/vandelo01.html, /players/v/vaughlo01.html"
"13","LAL","/players/b/blounco01.html, /players/c/campbel01.html, /players/c/cebalce01.html, /players/d/divacvl01.html, /players/j/johnsma02.html, /players/j/jonesed02.html, /players/k/kingfr01.html, /players/l/lynchge01.html, /players/m/millean01.html, /players/p/peelean01.html, /players/r/roberfr01.html, /players/s/stronde01.html, /players/t/threase01.html, /players/v/vanexni01.html"
"14","MIA","/players/a/askinke01.html, /players/c/chapmre01.html, /players/c/colesbi01.html, /players/c/corbity01.html, /players/d/danilsa01.html, /players/e/ellisle02.html, /players/g/gamblke01.html, /players/g/gatlich01.html, /players/g/grandro01.html, /players/h/hardati01.html, /players/k/kingst01.html, /players/l/lenarvo01.html, /players/m/malonje01.html, /players/m/mournal01.html, /players/m/myerspe01.html, /players/o/owensbi01.html, /players/r/renchte01.html, /players/s/schayda01.html, /players/s/smithto02.html, /players/t/thomaku01.html, /players/w/williwa02.html, /players/w/willike02.html"
