"","Tm","roster"
"1","ATL","/players/b/bibbymi01.html, /players/c/claxtsp01.html, /players/e/evansma01.html, /players/g/gardnth01.html, /players/h/horfoal01.html, /players/h/hunteot01.html, /players/j/johnsjo02.html, /players/j/jonesso01.html, /players/l/lawac01.html, /players/m/morrira01.html, /players/m/murraro01.html, /players/p/pachuza01.html, /players/s/smithjo03.html, /players/w/westma02.html, /players/w/willima02.html"
"2","BOS","/players/a/allenra02.html, /players/a/allento01.html, /players/d/davisgl01.html, /players/g/garneke01.html, /players/g/giddejr01.html, /players/h/houseed01.html, /players/m/marbust01.html, /players/m/mooremi01.html, /players/o/obryapa01.html, /players/p/perkike01.html, /players/p/piercpa01.html, /players/p/powele01.html, /players/p/pruitga01.html, /players/r/rondora01.html, /players/s/scalabr01.html, /players/w/walkebi01.html"
"3","CHA","/players/a/ajincal01.html, /players/a/augusdj01.html, /players/b/bellra01.html, /players/b/brownan01.html, /players/b/brownsh01.html, /players/c/carroma01.html, /players/d/diawbo01.html, /players/d/diopde01.html, /players/d/dudleja01.html, /players/f/feltora01.html, /players/h/holliry01.html, /players/h/howarju01.html, /players/j/jeffedo01.html, /players/j/johnsli01.html, /players/j/jonesdw02.html, /players/m/martica01.html, /players/m/mayse01.html, /players/m/mohamna01.html, /players/m/morriad01.html, /players/o/okafoem01.html, /players/r/radmavl01.html, /players/r/richaja01.html, /players/s/singlse01.html, /players/w/wallage01.html"
"4","CHI","/players/d/denglu01.html, /players/g/goodedr01.html, /players/g/gordobe01.html, /players/g/grayaa01.html, /players/h/hinriki01.html, /players/h/hughela01.html, /players/h/hunteli01.html, /players/j/johnsli01.html, /players/m/millebr01.html, /players/n/nichode01.html, /players/n/noahjo01.html, /players/n/nocioan01.html, /players/r/roberan02.html, /players/r/rosede01.html, /players/s/salmojo01.html, /players/s/sefolth01.html, /players/s/simmoce01.html, /players/t/thomati01.html, /players/t/thomaty01.html"
"5","CLE","/players/g/gibsoda01.html, /players/h/hicksjj01.html, /players/i/ilgauzy01.html, /players/j/jacksda01.html, /players/j/jamesle01.html, /players/j/johnstr01.html, /players/k/kinseta01.html, /players/p/pavloal01.html, /players/s/smithjo02.html, /players/s/szczewa02.html, /players/v/varejan01.html, /players/w/wallabe01.html, /players/w/westde01.html, /players/w/willija04.html, /players/w/willima01.html, /players/w/wrighlo02.html"
"6","DAL","/players/b/bareajo01.html, /players/b/bassbr01.html, /players/c/carroma01.html, /players/d/dampier01.html, /players/d/diopde01.html, /players/g/georgde01.html, /players/g/greenge01.html, /players/h/holliry01.html, /players/h/howarjo01.html, /players/k/kiddja01.html, /players/n/nowitdi01.html, /players/s/singlja01.html, /players/s/stackje01.html, /players/t/terryja01.html, /players/w/willish03.html, /players/w/wrighan01.html"
"7","DEN","/players/a/anderch01.html, /players/a/anthoca01.html, /players/a/atkinch01.html, /players/b/balkmre01.html, /players/b/billuch01.html, /players/c/cartean01.html, /players/h/hartja01.html, /players/h/hilarne01.html, /players/h/howarju01.html, /players/i/iversal01.html, /players/j/jonesda02.html, /players/k/kleizli01.html, /players/m/martike01.html, /players/p/petrojo01.html, /players/s/sambch01.html, /players/s/smithjr01.html, /players/w/weemsso01.html"
"8","DET","/players/a/ackeral01.html, /players/a/afflaar01.html, /players/b/billuch01.html, /players/b/brownkw01.html, /players/b/bynumwi01.html, /players/h/hamilri01.html, /players/h/herrmwa01.html, /players/i/iversal01.html, /players/j/johnsam01.html, /players/m/maxieja01.html, /players/m/mcdyean01.html, /players/p/princta01.html, /players/s/sharpwa01.html, /players/s/stuckro01.html, /players/w/wallara01.html"
"9","GSW","/players/a/azubuke01.html, /players/b/belinma01.html, /players/b/biedran01.html, /players/c/crawfja01.html, /players/d/davidje01.html, /players/e/ellismo01.html, /players/h/harrial01.html, /players/j/jacksst02.html, /players/k/kurzro01.html, /players/m/maggeco01.html, /players/m/morroan01.html, /players/n/nelsode01.html, /players/r/randoan01.html, /players/t/turiaro01.html, /players/w/watsocj01.html, /players/w/willima03.html, /players/w/wrighbr03.html"
"10","HOU","/players/a/alstora01.html, /players/b/barrybr01.html, /players/b/battish01.html, /players/b/brookaa01.html, /players/c/cookbr01.html, /players/d/dorsejo01.html, /players/h/hayesch01.html, /players/h/headlu01.html, /players/l/landrca01.html, /players/l/lowryky01.html, /players/m/mcgratr01.html, /players/m/mingya01.html, /players/m/mutomdi01.html, /players/s/scolalu01.html, /players/w/wafervo01.html, /players/w/whiteja02.html, /players/a/artesro01.html"
