"","Tm","roster"
"1","BOS","/players/b/barreer01.html, /players/c/cousybo01.html, /players/h/hemridi01.html, /players/l/loscuji01.html, /players/m/macaued01.html, /players/m/morrire01.html, /players/n/nichoja01.html, /players/p/palazto01.html, /players/r/risenar01.html, /players/s/sharmbi01.html"
"2","FTW","/players/a/arnelje01.html, /players/b/bielkdo01.html, /players/b/brianfr01.html, /players/c/coopech01.html, /players/d/devlico01.html, /players/f/foustla01.html, /players/h/holstji01.html, /players/h/horanjo01.html, /players/h/houbrbo01.html, /players/h/hutchme01.html, /players/n/noblech01.html, /players/p/phillan01.html, /players/s/spearod01.html, /players/y/yardlge01.html, /players/z/zasloma01.html"
"3","MNL","/players/f/feierro01.html, /players/g/garmadi01.html, /players/h/hitchle01.html, /players/h/holstji01.html, /players/h/horanjo01.html, /players/k/kalafed01.html, /players/l/lovelcl01.html, /players/m/martisl01.html, /players/m/mencech01.html, /players/m/mikange01.html, /players/m/mikkeve01.html, /players/s/schnidi01.html, /players/s/skoogwh01.html, /players/w/willibo01.html"
"4","NYK","/players/a/athadi01.html, /players/b/baechji01.html, /players/b/braunca01.html, /players/c/cliftna01.html, /players/d/dukeswa01.html, /players/f/felixra01.html, /players/g/gallaha01.html, /players/m/mcguidi01.html, /players/p/peterbo01.html, /players/s/santibo01.html, /players/s/searske01.html, /players/s/shuege01.html, /players/v/vandeer01.html"
"5","PHW","/players/a/arizipa01.html, /players/b/becker01.html, /players/d/daviswa01.html, /players/d/dempsge01.html, /players/g/georgja01.html, /players/g/golato01.html, /players/g/grabojo01.html, /players/h/hennela01.html, /players/j/johnsne01.html, /players/m/mooreja01.html, /players/s/schafbo01.html"
"6","ROC","/players/c/colemja01.html, /players/d/davisre01.html, /players/f/flemied01.html, /players/h/harrich01.html, /players/m/mcmahja01.html, /players/m/meinemo01.html, /players/r/reganri01.html, /players/r/rickedi01.html, /players/s/simmoco01.html, /players/s/spoelar01.html, /players/s/stokema01.html, /players/t/twymaja01.html, /players/w/wanzebo01.html"
"7","STL","/players/c/colemja01.html, /players/c/coopech01.html, /players/f/ferraal01.html, /players/h/hannual01.html, /players/h/harrich01.html, /players/h/harribo02.html, /players/m/mcmahja01.html, /players/p/parkme01.html, /players/p/pettibo01.html, /players/r/rickedi01.html, /players/s/schafbo01.html, /players/s/selvyfr01.html, /players/s/sharech01.html, /players/s/stephja01.html"
"8","SYR","/players/c/conlied01.html, /players/f/farledi01.html, /players/k/kenvibi01.html, /players/k/kerrre01.html, /players/k/kingge01.html, /players/l/lloydea01.html, /players/r/rochare01.html, /players/s/schaydo01.html, /players/s/seymopa01.html, /players/t/tuckeji01.html"
