"","Tm","roster"
"1","AND","/players/b/blackch01.html, /players/b/brianfr01.html, /players/c/carteja01.html, /players/c/clossbi01.html, /players/g/gatesfr01.html, /players/h/hargijo01.html, /players/j/johnsra01.html, /players/k/kirkwa01.html, /players/k/komenmi01.html, /players/m/mitchmu01.html, /players/n/niemiri01.html, /players/o/owensre01.html, /players/s/schulho01.html, /players/s/seltzro01.html, /players/s/smileja01.html, /players/s/stanced01.html"
"2","BLB","/players/b/budkowa01.html, /players/b/byrneto01.html, /players/c/cloydpa01.html, /players/d/dolhojo01.html, /players/e/ezersjo01.html, /players/f/feigege01.html, /players/g/gordopa01.html, /players/h/hoffmpa01.html, /players/j/janotho01.html, /players/j/jeannbu01.html, /players/k/knorele01.html, /players/l/lewisfr01.html, /players/l/livinro01.html, /players/m/mandijo01.html, /players/m/mccarmi01.html, /players/o/odonnan01.html, /players/p/pughle01.html, /players/s/sadowed01.html, /players/s/schatma01.html, /players/t/toughbo01.html, /players/t/towerbl01.html, /players/t/triptdi01.html, /players/v/vonniwh01.html"
"3","BOS","/players/d/dollbo01.html, /players/e/engluge01.html, /players/e/ezersjo01.html, /players/g/gibsoho01.html, /players/h/hertzso01.html, /players/k/kaftage01.html, /players/k/kinnebo01.html, /players/l/lavelto01.html, /players/l/leedeed01.html, /players/m/mahnkjo01.html, /players/m/mullajo01.html, /players/n/nostrge01.html, /players/o/oconnde01.html, /players/s/seminji01.html, /players/s/shannho01.html, /players/s/spectar01.html, /players/w/walkebr01.html"
"4","CHS","/players/b/barnhle01.html, /players/b/bradljo01.html, /players/g/grabojo01.html, /players/h/hahnro01.html, /players/h/hermskl01.html, /players/k/kudelfr01.html, /players/m/miasest01.html, /players/m/mikaned01.html, /players/n/nostrge01.html, /players/p/phillan01.html, /players/r/rollike01.html, /players/s/spearod01.html, /players/z/zasloma01.html"
"5","DNN","/players/b/barteed01.html, /players/b/brownbo01.html, /players/b/brownji01.html, /players/c/carteja01.html, /players/c/cottoja01.html, /players/c/crockdi01.html, /players/d/dardeji01.html, /players/d/doddea01.html, /players/g/guokaal01.html, /players/h/hermabi01.html, /players/k/kluehdu01.html, /players/r/royerbo01.html, /players/s/sailoke01.html, /players/t/toomaja01.html, /players/v/volkefl01.html"
"6","FTW","/players/a/armstcu01.html, /players/b/blackch01.html, /players/c/carpebo01.html, /players/h/harribo01.html, /players/h/henrybi01.html, /players/j/johnsra01.html, /players/k/kerrija01.html, /players/k/klierle01.html, /players/k/kluehdu01.html, /players/m/mahnkjo01.html, /players/n/nagelje01.html, /players/n/niemiri01.html, /players/o/oldhajo01.html, /players/s/schaufr01.html, /players/s/schulho01.html, /players/w/wagercl01.html"
"7","INO","/players/b/barkecl01.html, /players/b/beardra01.html, /players/e/evansbo01.html, /players/g/grozaal01.html, /players/h/halebr01.html, /players/h/hawkima01.html, /players/h/hollajo01.html, /players/j/joneswa01.html, /players/m/mcmulma01.html, /players/p/parkija01.html, /players/s/shaefca01.html, /players/v/volkefl01.html, /players/w/walthpa01.html"
"8","MNL","/players/c/carlsdo01.html, /players/f/ferriar01.html, /players/g/glickno01.html, /players/g/grantbu01.html, /players/h/harribo02.html, /players/h/hassebi01.html, /players/j/jarosto01.html, /players/m/martisl01.html, /players/m/mikange01.html, /players/m/mikkeve01.html, /players/p/pollaji01.html, /players/s/schaehe01.html, /players/s/stumpge01.html, /players/w/walthpa01.html"
"9","NYK","/players/b/barteed01.html, /players/b/borylvi01.html, /players/b/braunca01.html, /players/d/donovha01.html, /players/g/gallaha01.html, /players/j/jamesge01.html, /players/l/lumppra01.html, /players/m/mcguidi01.html, /players/n/noelpa01.html, /players/r/rittete01.html, /players/s/simmoco01.html, /players/v/vanbrbu01.html, /players/v/vandeer01.html"
"10","PHW","/players/b/bobbne01.html, /players/b/bornhja01.html, /players/c/crossch01.html, /players/f/fleisje01.html, /players/f/fulksjo01.html, /players/g/gardnve01.html, /players/g/guokaal01.html, /players/l/lewisfr01.html, /players/l/livinro01.html, /players/m/mogusle01.html, /players/n/nolanji01.html, /players/n/novakmi01.html, /players/p/parslch01.html, /players/p/payakjo01.html, /players/r/rulloje01.html, /players/s/sadowed01.html, /players/s/senesge01.html"
"11","ROC","/players/b/brookpr01.html, /players/c/calhobi01.html, /players/c/colemja01.html, /players/c/currafr01.html, /players/d/daviebo01.html, /players/d/duncaan01.html, /players/h/holzmre01.html, /players/j/johnsar01.html, /players/m/mikaned01.html, /players/n/novakmi01.html, /players/r/risenar01.html, /players/s/saulpe01.html, /players/w/wanzebo01.html"
"12","SHE","/players/b/brannbo01.html, /players/b/burmaja01.html, /players/c/chanejo01.html, /players/c/cookbo01.html, /players/g/gratedo01.html, /players/j/jorgeno01.html, /players/l/lautewa01.html, /players/m/mazzama01.html, /players/m/morrima01.html, /players/p/patrist01.html, /players/p/phelaja01.html, /players/s/schoomi01.html, /players/s/schuldi01.html, /players/s/selbogl01.html, /players/s/sobekch01.html, /players/w/wagneda01.html, /players/w/woodbo01.html"
"13","STB","/players/l/loganjo01.html, /players/m/macaued01.html, /players/m/maughar01.html, /players/m/mccarmi01.html, /players/o/oconnde01.html, /players/o/orrjo01.html, /players/o/ottenma01.html, /players/p/parhaea01.html, /players/p/putnado01.html, /players/r/roberbi01.html, /players/r/rochare01.html, /players/s/smawlbe01.html, /players/t/todormi01.html, /players/w/wilcudc01.html"
"14","SYR","/players/c/cervial01.html, /players/c/chollle01.html, /players/c/corlera01.html, /players/g/gaborbi01.html, /players/h/hannual01.html, /players/l/levanan01.html, /players/m/macknjo01.html, /players/p/petered01.html, /players/r/ratkoge01.html, /players/s/schaydo01.html, /players/s/seymopa01.html"
"15","TRI","/players/b/bercege01.html, /players/c/chanejo01.html, /players/e/eddledi01.html, /players/e/engluge01.html, /players/g/gibsode01.html, /players/h/hassebi01.html, /players/h/henrybi01.html, /players/k/kerrija01.html, /players/k/kirkwa01.html, /players/m/mahnkjo01.html, /players/n/nichoja01.html, /players/n/nostrge01.html, /players/o/ottendo01.html, /players/o/ottenma01.html, /players/o/owensre01.html, /players/p/perkiwa01.html, /players/r/raydo01.html, /players/s/schuldi01.html, /players/t/todormi01.html, /players/v/vancege01.html, /players/v/vonniwh01.html, /players/w/wiermu01.html"
"16","WAT","/players/b/bovendo01.html, /players/b/boykoha01.html, /players/c/cloydpa01.html, /players/g/gaineel01.html, /players/g/gibsoho01.html, /players/h/hamilda01.html, /players/k/kubiale01.html, /players/m/mehendi01.html, /players/m/menkeke01.html, /players/m/miksial01.html, /players/o/ollrige01.html, /players/o/orrjo01.html, /players/p/patrist01.html, /players/p/payakjo01.html, /players/p/phelaja01.html, /players/p/pritcjo01.html, /players/s/seewa01.html, /players/s/shippch01.html, /players/s/smileja01.html, /players/s/stumpge01.html, /players/t/toughbo01.html"
"17","WSC","/players/d/dilloho01.html, /players/f/feeribo01.html, /players/g/gilmuch01.html, /players/h/halbech01.html, /players/k/katkale01.html, /players/m/mandijo01.html, /players/m/mckinbo01.html, /players/n/nichoja01.html, /players/n/norlajo01.html, /players/o/okeefdi01.html, /players/o/ottendo01.html, /players/r/reisech01.html, /players/s/schuldi01.html, /players/s/scolafr01.html"
