"","Tm","roster"
"1","ATL","/players/b/bembrde01.html, /players/b/brownch02.html, /players/c/cartevi01.html, /players/c/collijo01.html, /players/c/crabbal01.html, /players/d/dedmode01.html, /players/f/fernabr01.html, /players/g/goodwbr01.html, /players/g/grahatr01.html, /players/h/huertke01.html, /players/h/huntede01.html, /players/j/jonesda03.html, /players/l/lenal01.html, /players/p/parkeja01.html, /players/p/parsoch01.html, /players/r/reddica01.html, /players/t/teaguje01.html, /players/t/turneev01.html, /players/w/wallaty01.html, /players/w/watsopa01.html, /players/y/youngtr01.html"
"2","BOS","/players/b/brownja02.html, /players/e/edwarca01.html, /players/f/fallta01.html, /players/g/greenja02.html, /players/h/haywago01.html, /players/k/kanteen01.html, /players/l/langfro01.html, /players/o/ojelese01.html, /players/p/poirivi01.html, /players/s/smartma01.html, /players/t/tatumja01.html, /players/t/theisda01.html, /players/w/walkeke02.html, /players/w/wanambr01.html, /players/w/watertr01.html, /players/w/willigr01.html, /players/w/williro04.html"
"3","BRK","/players/a/allenja01.html, /players/a/anderju01.html, /players/c/chandwi01.html, /players/c/chiozch01.html, /players/c/claxtni01.html, /players/d/dinwisp01.html, /players/e/ellenhe01.html, /players/h/harrijo01.html, /players/i/irvinky01.html, /players/j/jordade01.html, /players/k/kurucro01.html, /players/l/leverca01.html, /players/l/luwawti01.html, /players/m/martije02.html, /players/m/musadz01.html, /players/n/nwabada01.html, /players/p/pinsoth01.html, /players/s/shumpim01.html, /players/t/templga01.html, /players/p/princta02.html"
"4","CHI","/players/a/arcidry01.html, /players/c/cartewe01.html, /players/d/dunnkr01.html, /players/f/feliccr01.html, /players/g/gaffoda01.html, /players/h/harrish01.html, /players/h/hutchch01.html, /players/k/kornelu01.html, /players/l/lavinza01.html, /players/m/markkla01.html, /players/m/mokokad01.html, /players/p/porteot01.html, /players/s/satorto01.html, /players/s/strusma01.html, /players/v/valende01.html, /players/w/whiteco01.html, /players/y/youngth01.html"
"5","CHO","/players/b/bacondw01.html, /players/b/batumni01.html, /players/b/biyombi01.html, /players/b/bridgmi02.html, /players/c/chealjo01.html, /players/g/grahade01.html, /players/h/hernawi01.html, /players/k/kiddgmi01.html, /players/m/martica02.html, /players/m/martico01.html, /players/m/mcdanja01.html, /players/m/monkma01.html, /players/r/roziete01.html, /players/w/washipj01.html, /players/w/willima02.html, /players/z/zelleco01.html"
"6","CLE","/players/b/boldema01.html, /players/c/clarkjo01.html, /players/c/cookty01.html, /players/d/dellama01.html, /players/d/drumman01.html, /players/e/exumda01.html, /players/g/garlada01.html, /players/h/hensojo01.html, /players/k/knighbr03.html, /players/l/loveke01.html, /players/m/macurjp01.html, /players/m/mckinal01.html, /players/m/moonema01.html, /players/n/nancela02.html, /players/n/newmama01.html, /players/o/osmande01.html, /players/p/porteke02.html, /players/s/sextoco01.html, /players/t/thomptr01.html, /players/w/wadede01.html, /players/z/zizican01.html"
"7","DAL","/players/b/bareajo01.html, /players/b/broekry01.html, /players/b/brunsja01.html, /players/c/caulewi01.html, /players/c/clevean01.html, /players/c/curryse01.html, /players/d/doncilu01.html, /players/f/finnedo01.html, /players/h/hardati02.html, /players/j/jacksju01.html, /players/k/kiddgmi01.html, /players/k/klebima01.html, /players/l/leeco01.html, /players/m/marjabo01.html, /players/p/porzikr01.html, /players/p/poweldw01.html, /players/r/reavejo02.html, /players/w/wrighde01.html"
"8","DEN","/players/b/bartowi01.html, /players/b/bateske01.html, /players/b/beaslma01.html, /players/c/cancavl01.html, /players/c/craigto01.html, /players/d/danietr01.html, /players/d/doziepj01.html, /players/g/grantje01.html, /players/h/harriga01.html, /players/h/hernaju01.html, /players/j/jokicni01.html, /players/m/mcraejo01.html, /players/m/millspa01.html, /players/m/morrimo01.html, /players/m/murraja01.html, /players/p/plumlma01.html, /players/p/portemi01.html, /players/v/vandeja01.html, /players/v/vonleno01.html"
"9","DET","/players/b/bonejo01.html, /players/b/brownbr01.html, /players/d/doumbse01.html, /players/d/drumman01.html, /players/f/fraziti01.html, /players/g/gallola01.html, /players/g/griffbl01.html, /players/h/halldo01.html, /players/h/hensojo01.html, /players/j/jacksre01.html, /players/k/kennalu01.html, /players/k/kinglo02.html, /players/k/knighbr03.html, /players/m/makerth01.html, /players/m/mcraejo01.html, /players/m/morrima02.html, /players/m/mykhasv01.html, /players/r/rosede01.html, /players/s/snellto01.html, /players/t/thomakh01.html, /players/w/waltode01.html, /players/w/woodch01.html"
"10","GSW","/players/b/bendedr01.html, /players/b/bowmaky01.html, /players/b/burksal01.html, /players/c/caulewi01.html, /players/c/chrisma01.html, /players/c/curryst01.html, /players/e/evansja02.html, /players/g/greendr01.html, /players/l/leeda03.html, /players/l/looneke01.html, /players/m/muldemy01.html, /players/n/norveza01.html, /players/p/pargoje01.html, /players/p/pascher01.html, /players/p/poolejo01.html, /players/r/randlch01.html, /players/r/robingl02.html, /players/r/russeda01.html, /players/s/smailal01.html, /players/s/spellom01.html, /players/t/toscaju01.html, /players/w/wiggian01.html"
"11","HOU","/players/a/anderry01.html, /players/c/cabocbr01.html, /players/c/capelca01.html, /players/c/carrode01.html, /players/c/chandty01.html, /players/c/clarkga01.html, /players/c/clemoch01.html, /players/c/covinro01.html, /players/f/frazimi01.html, /players/g/gordoer01.html, /players/g/greenje02.html, /players/h/hardeja01.html, /players/h/harteis01.html, /players/h/houseda01.html, /players/h/howarwi01.html, /players/m/mclembe01.html, /players/r/riverau01.html, /players/s/sefolth01.html, /players/t/tuckepj01.html, /players/w/westbru01.html"
"12","IND","/players/b/bitadgo01.html, /players/b/bowenbr02.html, /players/b/brogdma01.html, /players/h/holidaa01.html, /players/h/holidju01.html, /players/j/johnsal02.html, /players/l/lambje01.html, /players/l/leaftj01.html, /players/m/mccontj01.html, /players/m/mcderdo01.html, /players/m/mitrona01.html, /players/o/oladivi01.html, /players/s/sabondo01.html, /players/s/sampsja02.html, /players/s/sumneed01.html, /players/t/turnemy01.html, /players/w/warretj01.html"
