"","Tm","roster"
"1","ATL","/players/b/battljo01.html, /players/f/ferredu01.html, /players/k/koncajo01.html, /players/l/leonaga01.html, /players/m/malonmo01.html, /players/m/mccorti01.html, /players/m/moncrsi01.html, /players/r/riverdo01.html, /players/r/robinru01.html, /players/w/webbsp01.html, /players/w/wilkido01.html, /players/w/willike02.html, /players/w/wilsotr01.html, /players/w/wrighho02.html"
"2","BOS","/players/b/birdla01.html, /players/b/brownde01.html, /players/g/gamblke01.html, /players/k/kleinjo01.html, /players/l/lewisre01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/p/pincked01.html, /players/p/popsoda01.html, /players/s/shawbr01.html, /players/s/smithch02.html, /players/s/smithde02.html, /players/s/smithmi01.html, /players/v/vrankst01.html, /players/w/wyndeaj01.html"
"3","CHH","/players/b/boguemu01.html, /players/c/chapmre01.html, /players/c/curetea01.html, /players/c/curryde01.html, /players/g/gattike01.html, /players/g/gillke01.html, /players/g/gilliar01.html, /players/g/gminsmi01.html, /players/h/haffnsc01.html, /players/h/hoppeda01.html, /players/k/keysra01.html, /players/l/leckner01.html, /players/n/newmajo01.html, /players/r/reidjr01.html, /players/s/sandeje01.html, /players/s/schefst01.html, /players/t/tripuke01.html"
"4","CHI","/players/a/armstbj01.html, /players/c/cartwbi01.html, /players/g/grantho01.html, /players/h/hodgecr01.html, /players/h/hopsode01.html, /players/j/jordami01.html, /players/k/kingst01.html, /players/l/levincl01.html, /players/p/paxsojo01.html, /players/p/perduwi01.html, /players/p/pippesc01.html, /players/w/willisc01.html"
"5","CLE","/players/b/babicmi01.html, /players/b/bennewi01.html, /players/b/brownch01.html, /players/c/chievde01.html, /players/d/daughbr01.html, /players/e/ehlocr01.html, /players/f/ferryda01.html, /players/j/jameshe01.html, /players/k/kerrst01.html, /players/m/mortojo01.html, /players/n/nancela01.html, /players/p/paddige01.html, /players/p/pricema01.html, /players/v/valenda01.html, /players/w/williho01.html, /players/w/woodsmi01.html"
"6","DAL","/players/a/alforst01.html, /players/b/blackro01.html, /players/d/davisbr01.html, /players/d/donalja01.html, /players/e/englial01.html, /players/g/grandji01.html, /players/h/harpede01.html, /players/l/leverfa01.html, /players/m/mccraro01.html, /players/s/shaskjo01.html, /players/t/tarplro01.html, /players/u/upshake01.html, /players/w/whitera01.html, /players/w/willihe01.html, /players/w/wrighho02.html"
"7","DEN","/players/a/abdulma02.html, /players/a/adamsmi01.html, /players/a/andergr01.html, /players/b/battlke01.html, /players/c/cookan01.html, /players/d/daviswa03.html, /players/d/dunntr01.html, /players/f/farmeji01.html, /players/g/gaineco01.html, /players/j/johnsav01.html, /players/l/laneje01.html, /players/l/legleti01.html, /players/l/liberma01.html, /players/l/lichtto01.html, /players/m/masonan01.html, /players/m/millste01.html, /players/n/nealcr01.html, /players/r/rasmubl01.html, /players/w/willire01.html, /players/w/wolfjo01.html, /players/w/woolror01.html"
"8","DET","/players/a/aguirma01.html, /players/b/bedfowi01.html, /players/b/blankla01.html, /players/d/dumarjo01.html, /players/e/edwarja01.html, /players/h/hastisc01.html, /players/h/hendege01.html, /players/j/johnsvi01.html, /players/l/laimbbi01.html, /players/l/longjo01.html, /players/r/rodmade01.html, /players/r/rollitr01.html, /players/s/sallejo01.html, /players/t/thomais01.html"
"9","GSW","/players/a/askewvi01.html, /players/e/eliema01.html, /players/h/hardati01.html, /players/h/higgiro01.html, /players/h/hillty01.html, /players/j/jepsele01.html, /players/j/johnsst03.html, /players/k/kofoeba01.html, /players/l/listeal01.html, /players/m/marcisa01.html, /players/m/mokespa01.html, /players/m/mullich01.html, /players/p/peterji01.html, /players/p/pritcke01.html, /players/r/richmmi01.html, /players/r/robinla01.html, /players/s/smrekmi01.html, /players/t/tolbeto01.html"
"10","HOU","/players/b/bullama01.html, /players/c/caldwad01.html, /players/f/feitlda01.html, /players/f/floydsl01.html, /players/j/jamerda01.html, /players/j/johnsbu01.html, /players/m/maxweve01.html, /players/o/olajuha01.html, /players/s/smithke01.html, /players/s/smithla01.html, /players/t/thorpot01.html, /players/w/winchke01.html, /players/w/woodda01.html, /players/w/woodsmi01.html"
