"","Tm","roster"
"1","ATL","/players/b/brownri01.html, /players/d/davisjo01.html, /players/e/edmonke01.html, /players/g/glennmi01.html, /players/h/hastisc01.html, /players/h/hawesst01.html, /players/j/johnsed02.html, /players/j/johnsge02.html, /players/m/macklru01.html, /players/m/matthwe01.html, /players/m/mcmilto01.html, /players/p/pellosa01.html, /players/r/rollitr01.html, /players/r/roundda01.html, /players/s/smithra01.html, /players/s/sparrro01.html, /players/w/wilkido01.html"
"2","BOS","/players/a/aingeda01.html, /players/a/architi01.html, /players/b/birdla01.html, /players/b/bradlch01.html, /players/b/bucknqu01.html, /players/c/carrml01.html, /players/h/hendege01.html, /players/m/maxwece01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/r/robeyri01.html, /players/t/tillida01.html, /players/w/wedmasc01.html"
"3","CHI","/players/b/bradldu01.html, /players/b/bratzmi01.html, /players/c/corzida01.html, /players/d/dailequ01.html, /players/g/greenda01.html, /players/h/higgiro01.html, /players/j/jackstr01.html, /players/j/jonesdw01.html, /players/k/kenonla01.html, /players/l/lestero01.html, /players/o/olberma01.html, /players/o/oldhaja01.html, /players/s/sprigla01.html, /players/t/theusre01.html, /players/w/woolror01.html"
"4","CLE","/players/b/baglejo01.html, /players/b/brewero01.html, /players/c/cookje01.html, /players/e/edwarja01.html, /players/f/flowebr01.html, /players/f/freewo01.html, /players/h/hayesst01.html, /players/h/hubbaph01.html, /players/h/hustoge01.html, /players/k/kenonla01.html, /players/l/laceysa01.html, /players/m/magleda01.html, /players/m/mokespa01.html, /players/n/nicksca01.html, /players/r/robincl01.html, /players/t/tillida01.html, /players/w/wedmasc01.html, /players/w/wilkebo01.html"
"5","DAL","/players/a/aguirma01.html, /players/b/blackro01.html, /players/b/bristal01.html, /players/c/cummipa01.html, /players/d/davisbr01.html, /players/g/garnebi02.html, /players/l/lloydsc01.html, /players/n/nimphku01.html, /players/r/ranseke01.html, /players/s/spanaji01.html, /players/t/thompco01.html, /players/t/turneel01.html, /players/v/vinceja01.html"
"6","DEN","/players/a/anderdw01.html, /players/d/dunntr01.html, /players/e/englial01.html, /players/e/evansmi01.html, /players/g/gondrgl01.html, /players/h/hanzlbi01.html, /players/i/isselda01.html, /players/k/kelleri01.html, /players/m/mckinbi01.html, /players/r/rayja01.html, /players/r/robisda01.html, /players/s/schayda01.html, /players/v/vandeki01.html, /players/w/williro02.html"
"7","DET","/players/b/bensoke01.html, /players/j/johnsvi01.html, /players/j/johnsji01.html, /players/j/jonesed01.html, /players/l/laimbbi01.html, /players/l/levincl01.html, /players/l/longjo01.html, /players/m/maysc01.html, /players/o/owensto01.html, /players/p/piercri01.html, /players/r/russewa01.html, /players/s/smithji01.html, /players/t/thomais01.html, /players/t/tolbera01.html, /players/t/tripuke01.html, /players/t/tylerte01.html, /players/w/wilkeja02.html, /players/z/zoetji01.html"
"8","GSW","/players/b/brewero01.html, /players/b/brownri01.html, /players/c/carrojo01.html, /players/c/connele01.html, /players/d/duerote01.html, /players/e/englech01.html, /players/f/floydsl01.html, /players/f/freewo01.html, /players/h/hassejo01.html, /players/j/johnsmi01.html, /players/k/kenonla01.html, /players/l/lloydle01.html, /players/m/mcdowha01.html, /players/r/richami01.html, /players/r/romarlo01.html, /players/s/shortpu01.html, /players/s/smithde02.html, /players/s/smithla01.html, /players/w/willisa02.html"
"9","HOU","/players/b/baileja01.html, /players/b/bryanjo01.html, /players/g/garreca01.html, /players/h/hayesel01.html, /players/h/hendeto01.html, /players/j/jonesca01.html, /players/j/jonesma01.html, /players/l/leaveal01.html, /players/m/murphca01.html, /players/n/nevitch01.html, /players/p/paultbi01.html, /players/t/tayloje01.html, /players/t/teaglte01.html, /players/w/walkewa01.html"
"10","IND","/players/b/bransbr01.html, /players/b/byrnema01.html, /players/c/cartebu01.html, /players/d/durenjo01.html, /players/j/johnscl01.html, /players/j/johnsge03.html, /players/k/kellocl01.html, /players/k/knighbi01.html, /players/m/morgagu01.html, /players/s/schoeru01.html, /players/s/sichtje01.html, /players/s/slaugjo01.html, /players/w/willihe01.html"
"11","KCK","/players/d/dennake01.html, /players/d/douglle01.html, /players/d/drewla01.html, /players/j/johnsed03.html, /players/j/johnsre01.html, /players/j/johnsst03.html, /players/k/kingre01.html, /players/l/loderke01.html, /players/m/meriwjo01.html, /players/n/nealyed01.html, /players/s/steppbr01.html, /players/t/thompla01.html, /players/w/willira01.html, /players/w/woodsmi01.html"
"12","LAL","/players/a/abdulka01.html, /players/b/batesbi01.html, /players/c/coopejo01.html, /players/c/coopemi01.html, /players/j/johnscl02.html, /players/j/johnsma02.html, /players/j/jonesdw01.html, /players/j/jordaed01.html, /players/l/landsma01.html, /players/m/mcadobo01.html, /players/m/mcgeemi01.html, /players/m/mixst01.html, /players/n/nixonno01.html, /players/r/rambiku01.html, /players/w/wilkeja01.html, /players/w/worthja01.html"
"13","MIL","/players/b/bridgju01.html, /players/c/catchha01.html, /players/c/cowenda01.html, /players/c/crissch01.html, /players/f/fordph01.html, /players/h/hillar01.html, /players/j/johnsma01.html, /players/j/johnsmi01.html, /players/l/laniebo01.html, /players/l/listeal01.html, /players/m/mixst01.html, /players/m/mokespa01.html, /players/m/moncrsi01.html, /players/p/pellosa01.html, /players/p/presspa01.html, /players/w/wintebr01.html"
"14","NJN","/players/b/baileja01.html, /players/b/birdsot01.html, /players/c/cookda01.html, /players/d/dawkida01.html, /players/e/elmorle01.html, /players/f/floydsl01.html, /players/f/fordph01.html, /players/g/gminsmi01.html, /players/j/johnsmi01.html, /players/k/kingal01.html, /players/o/okoremi01.html, /players/p/philled01.html, /players/r/richami01.html, /players/v/vanbrja01.html, /players/w/walkefo01.html, /players/w/willibu01.html, /players/w/willobi01.html"
"15","NYK","/players/c/cartwbi01.html, /players/d/davismi03.html, /players/g/grunfer01.html, /players/h/hastisc01.html, /players/k/kingbe01.html, /players/o/orrlo01.html, /players/r/robintr01.html, /players/s/sheroed01.html, /players/s/sparrro01.html, /players/t/taylovi01.html, /players/t/tucketr01.html, /players/w/webstma01.html, /players/w/westppa01.html, /players/w/willisl01.html"
"16","PHI","/players/a/anderjj01.html, /players/c/cheekma01.html, /players/c/curetea01.html, /players/e/edwarfr01.html, /players/e/ervinju01.html, /players/i/iavarma01.html, /players/j/johnscl01.html, /players/j/johnsre01.html, /players/j/jonesbo01.html, /players/m/malonmo01.html, /players/m/mcnamma01.html, /players/r/richacl01.html, /players/s/schoeru01.html, /players/t/toneyan01.html"
"17","PHO","/players/a/adamsal01.html, /players/c/cookje01.html, /players/d/daviswa03.html, /players/e/edwarja01.html, /players/h/highjo01.html, /players/j/johnsde01.html, /players/k/kramejo01.html, /players/l/lucasma01.html, /players/m/macyky01.html, /players/n/nancela01.html, /players/p/pittmch01.html, /players/s/scottal01.html, /players/t/thirdda01.html, /players/w/whitero01.html"
"18","POR","/players/b/busedo01.html, /players/c/carrke01.html, /players/c/coopewa01.html, /players/j/judkije01.html, /players/l/lampje01.html, /players/l/leverfa01.html, /players/m/mcdowha01.html, /players/n/nattca01.html, /players/n/norriau01.html, /players/p/paxsoji02.html, /players/t/thompmy01.html, /players/t/towneli01.html, /players/v/valenda01.html, /players/v/verhope01.html"
"19","SAS","/players/b/banksge01.html, /players/c/crompge01.html, /players/d/dietrco01.html, /players/d/dunlemi01.html, /players/g/gervige01.html, /players/g/gilmoar01.html, /players/g/griffpa01.html, /players/j/johnsji01.html, /players/j/jonesed01.html, /players/m/mitchmi01.html, /players/m/moorejo01.html, /players/p/paultbi01.html, /players/p/pheglro01.html, /players/r/rainsed01.html, /players/r/robinol01.html, /players/s/sandemi01.html, /players/s/smithro01.html, /players/w/willobi01.html"
"20","SDC","/players/a/anderri01.html, /players/b/brogaji01.html, /players/b/brookmi01.html, /players/c/chambto01.html, /players/c/coopejo01.html, /players/c/cummite01.html, /players/d/dougljo01.html, /players/g/grossbo01.html, /players/h/hodgecr01.html, /players/h/hollili01.html, /players/j/joneshu01.html, /players/m/moorelo01.html, /players/n/natersw01.html, /players/s/smithra01.html, /players/s/smithro01.html, /players/w/waltobi01.html, /players/w/whiteje01.html, /players/w/woodal01.html"
"21","SEA","/players/b/brownfr01.html, /players/d/donalja01.html, /players/g/greigjo01.html, /players/h/hawesst01.html, /players/k/kelsegr01.html, /players/r/radfoma01.html, /players/s/sheltlo01.html, /players/s/sikmaja01.html, /players/s/smithph01.html, /players/t/thompda01.html, /players/t/tolbera01.html, /players/v/vraneda01.html, /players/w/willigu01.html"
"22","UTA","/players/a/anderjj01.html, /players/d/dantlad01.html, /players/d/drewjo01.html, /players/e/eatonma01.html, /players/e/eavesje01.html, /players/g/greenri01.html, /players/g/griffda01.html, /players/k/kelleri01.html, /players/n/nattke01.html, /players/p/poquebe01.html, /players/s/schayda01.html, /players/w/wilkije01.html, /players/w/willifr01.html, /players/w/williri01.html"
"23","WSB","/players/b/ballagr01.html, /players/b/batesbi01.html, /players/b/battoda01.html, /players/c/collido02.html, /players/c/coopejo01.html, /players/c/coxch01.html, /players/d/davisch02.html, /players/g/greveke01.html, /players/h/haywosp01.html, /players/j/johnsfr01.html, /players/k/kopicjo01.html, /players/l/lingest01.html, /players/l/lucasjo01.html, /players/m/mahorri01.html, /players/p/porteke01.html, /players/r/rulanje01.html, /players/s/soberri01.html, /players/t/terryca01.html, /players/w/warribr01.html"
