"","Tm","roster"
"1","ATL","/players/b/barrydr01.html, /players/b/bowdlca01.html, /players/c/colesbi01.html, /players/c/crawfch01.html, /players/e/ellisla01.html, /players/g/glovedi01.html, /players/h/hendeal01.html, /players/j/jacksji01.html, /players/j/johnsan02.html, /players/m/mcleoro01.html, /players/m/mutomdi01.html, /players/r/rideris01.html, /players/t/terryja01.html, /players/w/wrighlo02.html"
"2","BOS","/players/a/anderke01.html, /players/b/barroda01.html, /players/b/battito01.html, /players/c/cheanca01.html, /players/e/ellispe01.html, /players/f/fortsda01.html, /players/g/griffad01.html, /players/m/mccarwa01.html, /players/o/overtdo01.html, /players/p/piercpa01.html, /players/p/potapvi01.html, /players/t/thomaja01.html, /players/t/turnewa01.html, /players/w/walkean02.html, /players/w/willier01.html"
"3","CHH","/players/b/brownch01.html, /players/c/campbel01.html, /players/c/colemde01.html, /players/d/davisba01.html, /players/d/davisri01.html, /players/e/ellisda01.html, /players/f/fulleto02.html, /players/h/hawkimi01.html, /players/h/hoodde01.html, /players/j/jonesed02.html, /players/m/masonan01.html, /players/m/millebr01.html, /players/m/miskija01.html, /players/p/phillbo01.html, /players/r/recasel01.html, /players/r/robined01.html, /players/w/wesleda01.html"
"4","CHI","/players/a/anstech01.html, /players/a/armstbj01.html, /players/b/benjaco01.html, /players/b/brandel01.html, /players/b/brownra02.html, /players/c/carrch01.html, /players/d/davidko01.html, /players/h/hawkihe01.html, /players/h/hoibefr01.html, /players/k/ketnela01.html, /players/k/kukocto01.html, /players/l/larueru01.html, /players/m/malonma01.html, /players/p/perduwi01.html, /players/r/reevekh01.html, /players/r/ruffimi01.html, /players/s/simpkdi01.html, /players/s/starkjo01.html, /players/w/willode01.html, /players/a/artesro01.html"
"5","CLE","/players/b/benjabe01.html, /players/b/boykiea01.html, /players/b/bramlaj01.html, /players/b/bryanma01.html, /players/c/chilcpe01.html, /players/d/davidko01.html, /players/d/declean01.html, /players/f/ferryda01.html, /players/h/hendece02.html, /players/h/hendrma01.html, /players/k/kempsh01.html, /players/k/ketnela01.html, /players/k/knighbr01.html, /players/l/langdtr01.html, /players/m/marshdo02.html, /players/m/millean02.html, /players/m/murrala01.html, /players/p/persowe01.html, /players/s/stackry01.html, /players/s/surabo01.html"
"6","DAL","/players/b/bradlsh01.html, /players/b/buckngr01.html, /players/c/cebalce01.html, /players/d/davishu01.html, /players/f/finlemi01.html, /players/h/hugheri02.html, /players/j/jacksra02.html, /players/j/jonesda01.html, /players/n/nashst01.html, /players/n/nowitdi01.html, /players/p/packro01.html, /players/r/rhodero01.html, /players/r/rodmade01.html, /players/r/rooksse01.html, /players/s/stricer01.html, /players/s/sundobr01.html, /players/t/trentga01.html"
"7","DEN","/players/a/abdulta01.html, /players/a/alexaco01.html, /players/b/billuch01.html, /players/b/bowenry01.html, /players/c/clarkke01.html, /players/g/gatlich01.html, /players/h/herrech01.html, /players/j/jonespo01.html, /players/l/lafrera01.html, /players/m/mccloge01.html, /players/m/mcdyean01.html, /players/m/mercero01.html, /players/p/poseyja01.html, /players/r/rogerro02.html, /players/s/stithbr01.html, /players/t/taylojo01.html, /players/v/vanexni01.html"
"8","DET","/players/b/brownma01.html, /players/b/buechju01.html, /players/c/crottjo01.html, /players/c/currymi01.html, /players/h/hillgr01.html, /players/h/hunteli01.html, /players/j/jacksje01.html, /players/l/laettch01.html, /players/m/millste01.html, /players/m/montrer01.html, /players/m/mooremi01.html, /players/r/reiddo01.html, /players/s/stackje01.html, /players/v/vaughlo01.html, /players/w/willije01.html"
"9","GSW","/players/b/barrydr01.html, /players/b/blaylmo01.html, /players/c/caffeja01.html, /players/c/carrch01.html, /players/c/cummite01.html, /players/c/cummivo01.html, /players/c/curlebi01.html, /players/d/dampier01.html, /players/d/davisma02.html, /players/f/farmeto01.html, /players/f/foylead01.html, /players/h/hughela01.html, /players/j/jacobsa01.html, /players/j/jamisan01.html, /players/j/jonesda01.html, /players/l/legleti01.html, /players/m/macksa01.html, /players/m/marshdo01.html, /players/m/millsch01.html, /players/o/owensbi01.html, /players/s/starkjo01.html, /players/t/thomaja01.html, /players/y/youngti01.html"
"10","HOU","/players/a/andersh01.html, /players/b/barklch01.html, /players/b/bullama01.html, /players/c/catoke01.html, /players/c/curlebi01.html, /players/d/drewbr01.html, /players/f/francst01.html, /players/g/grayde01.html, /players/h/hamilth01.html, /players/m/masseto01.html, /players/m/millean01.html, /players/m/moblecu01.html, /players/n/norrimo01.html, /players/o/olajuha01.html, /players/r/rogerca01.html, /players/t/thomake01.html, /players/w/williwa02.html"
