"","Tm","roster"
"1","ATL","/players/a/adamsdo01.html, /players/b/bellawa01.html, /players/b/bracest01.html, /players/c/chrisbo01.html, /players/g/gillihe01.html, /players/h/hallije01.html, /players/h/hudsolo01.html, /players/m/maravpe01.html, /players/m/masted01.html, /players/m/maydo01.html, /players/t/trappge01.html, /players/t/tschojo01.html, /players/w/washiji01.html, /players/w/wetzejo01.html"
"2","BAL","/players/c/cheniph01.html, /players/c/clarkar01.html, /players/d/davismi01.html, /players/d/driscte01.html, /players/h/hayesel01.html, /players/l/lovest01.html, /players/p/patteto01.html, /players/p/porteke01.html, /players/r/rinalri01.html, /players/r/riordmi01.html, /players/r/robinfl01.html, /players/s/stallda01.html, /players/t/tresvjo01.html, /players/u/unselwe01.html"
"3","BOS","/players/c/chanedo01.html, /players/c/cowenda01.html, /players/f/finkeha01.html, /players/h/havlijo01.html, /players/k/kuberst01.html, /players/m/minorma01.html, /players/n/nelsodo01.html, /players/s/sandeto01.html, /players/s/silaspa01.html, /players/w/westppa01.html, /players/w/whitejo01.html, /players/w/williar01.html"
"4","BUF","/players/f/foxha01.html, /players/g/garredi01.html, /players/a/abdulma01.html, /players/h/hewitbi01.html, /players/h/hiltofr01.html, /players/h/hummejo01.html, /players/k/kauffbo01.html, /players/k/komivho01.html, /players/m/mcadobo01.html, /players/s/smithel01.html, /players/s/smithra01.html, /players/w/warneco01.html, /players/w/wohlda01.html"
"5","CHI","/players/a/awtrede01.html, /players/b/boerwto01.html, /players/g/garrero01.html, /players/h/heardga01.html, /players/k/kingji01.html, /players/l/lovebo01.html, /players/m/mcintke01.html, /players/p/porteho01.html, /players/r/raycl01.html, /players/r/russefr01.html, /players/s/sloanje01.html, /players/v/vanlino01.html, /players/w/walkech01.html, /players/w/weissbo01.html"
"6","CLE","/players/c/carrau01.html, /players/c/cleamji01.html, /players/c/clemeba01.html, /players/d/davisch01.html, /players/d/davisdw01.html, /players/j/johnsjo01.html, /players/p/pattest01.html, /players/r/roberri01.html, /players/r/rulebo01.html, /players/s/smithbi02.html, /players/s/sorenda01.html, /players/w/warneco01.html, /players/w/warrejo01.html, /players/w/weslewa01.html, /players/w/wilkele01.html"
"7","DET","/players/a/adamsdo01.html, /players/b/bingda01.html, /players/d/davisji01.html, /players/f/fordch01.html, /players/f/fostefr01.html, /players/l/laniebo01.html, /players/l/lantzst01.html, /players/m/marlaha01.html, /players/m/mengejo01.html, /players/m/mueller01.html, /players/n/nashbo01.html, /players/n/norwowi01.html, /players/r/rowecu01.html, /players/t/thigpju01.html"
"8","GSW","/players/b/barneji02.html, /players/b/barryri01.html, /players/e/ellisjo01.html, /players/a/abdulma01.html, /players/j/johnsch01.html, /players/j/johnsge02.html, /players/l/leecl01.html, /players/m/mullije01.html, /players/p/portmbo01.html, /players/r/russeca01.html, /players/t/thurmna01.html, /players/w/williro01.html"
"9","HOU","/players/a/abdulza01.html, /players/g/gibbsdi01.html, /players/j/johnsge01.html, /players/m/marinja01.html, /players/m/mccrapa01.html, /players/m/mckenst01.html, /players/m/mcwiler01.html, /players/m/meelycl01.html, /players/m/mooreot01.html, /players/m/murphca01.html, /players/n/newlimi01.html, /players/s/smithgr01.html, /players/t/tomjaru01.html, /players/w/walkeji01.html"
"10","KCO","/players/a/architi01.html, /players/b/blockjo01.html, /players/c/crosspe01.html, /players/d/durreke01.html, /players/g/gibbsdi01.html, /players/g/greenjo01.html, /players/g/guokama02.html, /players/k/kimbato01.html, /players/k/kojisdo01.html, /players/l/laceysa01.html, /players/m/mengejo01.html, /players/r/ratlimi01.html, /players/r/rileyro01.html, /players/s/schadfr01.html, /players/s/sibersa01.html, /players/v/vanarto01.html, /players/w/willina01.html"
