"","Tm","roster"
"1","BLB","/players/b/baechji01.html, /players/b/barksdo01.html, /players/b/bovendo01.html, /players/b/buntdi01.html, /players/d/dennibl01.html, /players/h/henrido01.html, /players/h/hoffmpa01.html, /players/k/kaftage01.html, /players/k/kerrija01.html, /players/k/kudelfr01.html, /players/l/lumppra01.html, /players/m/mcleoge01.html, /players/m/miasest01.html, /players/m/milleed01.html, /players/m/minorda01.html, /players/o/obriera01.html, /players/o/osheake01.html, /players/p/priddbo01.html, /players/r/ratkoge01.html, /players/s/scolafr01.html"
"2","BOS","/players/b/brannbo01.html, /players/c/conlege01.html, /players/c/coopech01.html, /players/c/cousybo01.html, /players/d/donhabo01.html, /players/h/harribo01.html, /players/h/hermskl01.html, /players/m/macaued01.html, /players/m/mahnkjo01.html, /players/m/mahonmo01.html, /players/r/rollike01.html, /players/s/sharmbi01.html"
"3","FTW","/players/b/bovendo01.html, /players/b/brianfr01.html, /players/c/corlera01.html, /players/e/eddledi01.html, /players/f/fendlja01.html, /players/f/foustla01.html, /players/g/groatdi01.html, /players/j/johnsra01.html, /players/k/kerrija01.html, /players/k/kileyja01.html, /players/m/meinemo01.html, /players/o/obriera01.html, /players/p/phillan01.html, /players/s/schaufr01.html, /players/s/scolafr01.html, /players/s/sharech01.html"
"4","INO","/players/b/barnhle01.html, /players/g/grabojo01.html, /players/h/hanrado01.html, /players/h/hermskl01.html, /players/l/lavoybo01.html, /players/m/mikaned01.html, /players/n/naberbo01.html, /players/o/obriera01.html, /players/p/paytome01.html, /players/r/rhodege01.html, /players/t/toshebi01.html, /players/w/walthpa01.html, /players/z/zawolze01.html"
"5","MLH","/players/b/bovendo01.html, /players/b/brascji01.html, /players/c/calhobi01.html, /players/c/crockdi01.html, /players/d/darcepe01.html, /players/f/feigege01.html, /players/h/hutchme01.html, /players/l/levanan01.html, /players/m/masinal01.html, /players/m/mcconbu01.html, /players/m/miasest01.html, /players/m/milleed01.html, /players/m/minorda01.html, /players/n/nichoja01.html, /players/o/oboyljo01.html, /players/o/oneilmi01.html, /players/o/ottendo01.html, /players/p/payakjo01.html, /players/r/ratkoge01.html, /players/w/workmma01.html"
"6","MNL","/players/h/harribo02.html, /players/h/hitchle01.html, /players/h/holstji01.html, /players/m/martisl01.html, /players/m/mikange01.html, /players/m/mikkeve01.html, /players/p/pollaji01.html, /players/s/saulpe01.html, /players/s/schulho01.html, /players/s/skoogwh01.html"
"7","NYK","/players/b/borylvi01.html, /players/b/braunca01.html, /players/b/buntdi01.html, /players/c/cliftna01.html, /players/g/gallaha01.html, /players/l/lumppra01.html, /players/m/mcguial01.html, /players/m/mcguidi01.html, /players/p/polsora01.html, /players/r/raikesh01.html, /players/s/simmoco01.html, /players/s/surhodi01.html, /players/v/vandeer01.html, /players/z/zasloma01.html"
"8","PHW","/players/b/bobbne01.html, /players/f/finnda01.html, /players/f/fleisje01.html, /players/f/fulksjo01.html, /players/j/johnsne01.html, /players/k/kudelfr01.html, /players/l/lofgrdo01.html, /players/m/mccloja01.html, /players/m/mikaned01.html, /players/m/mlkvybi01.html, /players/m/mooneji01.html, /players/o/overtcl01.html, /players/p/phillan01.html, /players/p/polsora01.html, /players/r/radovmo01.html, /players/s/senesge01.html, /players/w/workmma01.html"
"9","ROC","/players/c/chrisca01.html, /players/c/colemja01.html, /players/d/daviebo01.html, /players/h/hannual01.html, /players/h/holzmre01.html, /players/j/johnsar01.html, /players/m/mcmahja01.html, /players/r/risenar01.html, /players/s/spearod01.html, /players/w/wanzebo01.html"
"10","SYR","/players/b/brascji01.html, /players/c/calhobi01.html, /players/c/cervial01.html, /players/g/gaborbi01.html, /players/j/jorgeno01.html, /players/k/kingge01.html, /players/l/lloydea01.html, /players/l/lochmbo01.html, /players/o/osterwa01.html, /players/r/rochare01.html, /players/s/schaydo01.html, /players/s/seymopa01.html"
