"","Tm","roster"
"1","ATL","/players/h/harride01.html, /players/h/horfoal01.html, /players/j/jenkijo01.html, /players/j/johnsiv01.html, /players/j/jonesda02.html, /players/k/korveky01.html, /players/m/macksh01.html, /players/m/morroan01.html, /players/p/pachuza01.html, /players/p/pargoja01.html, /players/p/petrojo01.html, /players/s/scottmi01.html, /players/s/smithjo03.html, /players/s/stevede01.html, /players/t/teaguje01.html, /players/t/tollian01.html, /players/t/tylerje01.html, /players/w/willilo02.html"
"2","BOS","/players/b/barbole01.html, /players/b/bassbr01.html, /players/b/bradlav01.html, /players/c/collija04.html, /players/c/crawfjo02.html, /players/g/garneke01.html, /players/g/greenje02.html, /players/j/josepkr01.html, /players/l/leeco01.html, /players/m/melofa01.html, /players/m/milicda01.html, /players/p/piercpa01.html, /players/r/randosh01.html, /players/r/rondora01.html, /players/s/sullija01.html, /players/t/terryja01.html, /players/v/varnaja01.html, /players/w/whitedj01.html, /players/w/wilcoch01.html, /players/w/willite01.html"
"3","BRK","/players/b/blatcan01.html, /players/b/boganke01.html, /players/b/brookma01.html, /players/c/childjo01.html, /players/e/evansre01.html, /players/h/humphkr01.html, /players/j/jamesda01.html, /players/j/johnsjo02.html, /players/j/josepkr01.html, /players/l/lopezbr01.html, /players/s/shengto01.html, /players/s/stackje01.html, /players/t/tayloty01.html, /players/t/teletmi01.html, /players/w/wallage01.html, /players/w/watsocj01.html, /players/w/willide01.html"
"4","CHA","/players/a/adrieje01.html, /players/b/biyombi01.html, /players/c/carroma01.html, /players/d/diopde01.html, /players/g/gordobe01.html, /players/h/haywobr01.html, /players/h/hendege02.html, /players/h/higgico01.html, /players/k/kiddgmi01.html, /players/m/mcrobjo01.html, /players/m/mulleby01.html, /players/p/pargoja01.html, /players/s/sessira01.html, /players/t/tayloje03.html, /players/t/thomaty01.html, /players/w/walkeke02.html, /players/w/warriha01.html, /players/w/willire02.html"
"5","CHI","/players/a/amundlo01.html, /players/b/belinma01.html, /players/b/boozeca01.html, /players/b/butleji01.html, /players/c/cookda02.html, /players/d/denglu01.html, /players/g/gibsota01.html, /players/h/hamilri01.html, /players/h/hinriki01.html, /players/m/mohamna01.html, /players/n/noahjo01.html, /players/r/radmavl01.html, /players/r/robinna01.html, /players/t/teaguma01.html, /players/t/thomama01.html"
"6","CLE","/players/c/casspom01.html, /players/e/ellinwa01.html, /players/g/geeal01.html, /players/g/gibsoda01.html, /players/i/irvinky01.html, /players/j/joneske01.html, /players/l/leuerjo01.html, /players/l/livinsh01.html, /players/m/milescj01.html, /players/p/pargoje01.html, /players/q/quinnch01.html, /players/s/samuesa01.html, /players/s/sloando01.html, /players/s/speigma01.html, /players/t/thomptr01.html, /players/v/varejan01.html, /players/w/waitedi01.html, /players/w/waltolu01.html, /players/z/zellety01.html"
"7","DAL","/players/a/akognjo01.html, /players/b/beaubro01.html, /players/b/brandel01.html, /players/c/cartevi01.html, /players/c/collida01.html, /players/c/crowdja01.html, /players/c/cunnija01.html, /players/c/curryed01.html, /players/d/dentmju01.html, /players/d/douglch01.html, /players/f/fishede01.html, /players/j/jamesbe01.html, /players/j/jamesmi01.html, /players/j/jonesda02.html, /players/j/jonesdo02.html, /players/k/kamanch01.html, /players/m/mariosh01.html, /players/m/mayooj01.html, /players/m/morroan01.html, /players/m/murphtr01.html, /players/n/nowitdi01.html, /players/w/wrighbr03.html, /players/w/wrighch02.html"
"8","DEN","/players/b/breweco01.html, /players/c/chandwi01.html, /players/f/farieke01.html, /players/f/fournev01.html, /players/g/gallida01.html, /players/h/hamiljo02.html, /players/i/iguodan01.html, /players/k/koufoko01.html, /players/l/lawsoty01.html, /players/m/mcgeeja01.html, /players/m/millean02.html, /players/m/millequ01.html, /players/m/mozgoti01.html, /players/r/randoan01.html, /players/s/stoneju01.html"
"9","DET","/players/b/bynumwi01.html, /players/c/caldejo01.html, /players/d/dayeau01.html, /players/d/drumman01.html, /players/e/engliki01.html, /players/j/jerebjo01.html, /players/k/knighbr03.html, /players/k/kravtvi01.html, /players/m/maggeco01.html, /players/m/maxieja01.html, /players/m/middlkh01.html, /players/m/monrogr01.html, /players/p/princta01.html, /players/s/singlky01.html, /players/s/stuckro01.html, /players/v/villach01.html"
"10","GSW","/players/b/barneha02.html, /players/b/bazemke01.html, /players/b/biedran01.html, /players/b/bogutan01.html, /players/c/curryst01.html, /players/e/ezelife01.html, /players/g/greendr01.html, /players/j/jackja01.html, /players/j/jefferi01.html, /players/j/jenkich01.html, /players/l/landrca01.html, /players/l/leeda02.html, /players/r/rushbr01.html, /players/t/thomama01.html, /players/t/thompkl01.html, /players/t/tylerje01.html"
"11","HOU","/players/a/aldrico01.html, /players/a/anderja01.html, /players/a/asikom01.html, /players/b/beverpa01.html, /players/b/brookaa01.html, /players/c/cookda02.html, /players/d/delfica01.html, /players/d/douglto01.html, /players/g/garcifr01.html, /players/h/hardeja01.html, /players/j/joneste01.html, /players/l/linje01.html, /players/m/machasc01.html, /players/m/morrima03.html, /players/m/motiedo01.html, /players/o/ohlbrti01.html, /players/p/parsoch01.html, /players/p/pattepa01.html, /players/r/robinth01.html, /players/s/smithgr02.html"
"12","IND","/players/a/augusdj01.html, /players/p/pendeje02.html, /players/g/georgpa01.html, /players/g/grangda01.html, /players/g/greenge01.html, /players/h/hansbbe01.html, /players/h/hansbty01.html, /players/h/hibbero01.html, /players/h/hillge01.html, /players/j/johnsor01.html, /players/m/mahinia01.html, /players/m/mcguido01.html, /players/p/plumlmi01.html, /players/s/stephla01.html, /players/w/westda01.html, /players/y/youngsa01.html"
"13","LAC","/players/b/barnema02.html, /players/b/billuch01.html, /players/b/bledser01.html, /players/b/butleca01.html, /players/c/crawfja01.html, /players/g/greenwi01.html, /players/g/griffbl01.html, /players/h/hillgr01.html, /players/h/holliry01.html, /players/j/jordade01.html, /players/o/odomla01.html, /players/p/paulch01.html, /players/s/summeda01.html, /players/t/turiaro01.html, /players/w/waynsma01.html"
"14","LAL","/players/b/blakest01.html, /players/b/bryanko01.html, /players/c/clarkea01.html, /players/d/duhonch01.html, /players/e/ebankde01.html, /players/g/gasolpa01.html, /players/g/goudean01.html, /players/h/hilljo01.html, /players/h/howardw01.html, /players/j/jamisan01.html, /players/j/johnsda03.html, /players/m/meeksjo01.html, /players/m/morrida01.html, /players/n/nashst01.html, /players/s/sacrero01.html, /players/a/artesro01.html"
"15","MEM","/players/a/allento01.html, /players/a/arthuda01.html, /players/b/bayleje01.html, /players/c/conlemi01.html, /players/d/davised01.html, /players/d/dayeau01.html, /players/d/doolike01.html, /players/e/ellinwa01.html, /players/g/gasolma01.html, /players/g/gayru01.html, /players/h/haddaha01.html, /players/j/johnsch04.html, /players/l/leuerjo01.html, /players/p/pittmde01.html, /players/p/pondequ01.html, /players/p/princta01.html, /players/r/randoza01.html, /players/s/selbyjo01.html, /players/s/speigma01.html, /players/w/wroteto01.html"
"16","MIA","/players/a/allenra02.html, /players/a/anderch01.html, /players/a/anthojo01.html, /players/b/battish01.html, /players/b/boshch01.html, /players/c/chalmma01.html, /players/c/coleno01.html, /players/h/harrejo01.html, /players/h/harrite01.html, /players/h/hasleud01.html, /players/h/howarju01.html, /players/j/jamesle01.html, /players/j/jonesja02.html, /players/l/lewisra02.html, /players/m/millemi01.html, /players/p/pittmde01.html, /players/v/varnaja01.html, /players/w/wadedw01.html"
"17","MIL","/players/a/ayongu01.html, /players/d/dalemsa01.html, /players/d/daniema01.html, /players/d/dunlemi02.html, /players/e/ellismo01.html, /players/g/goodedr01.html, /players/h/harrito02.html, /players/h/hensojo01.html, /players/i/ilyaser01.html, /players/j/jennibr01.html, /players/l/lambdo01.html, /players/m/mbahalu01.html, /players/p/przybjo01.html, /players/r/redicjj01.html, /players/s/sandela01.html, /players/s/smithis01.html, /players/u/udohek01.html, /players/u/udrihbe01.html"
"18","MIN","/players/a/amundlo01.html, /players/b/bareajo01.html, /players/b/budinch01.html, /players/c/conrowi01.html, /players/c/cunnida01.html, /players/g/gelabmi01.html, /players/h/haywala01.html, /players/h/howarjo01.html, /players/j/johnsch03.html, /players/k/kirilan01.html, /players/l/leema01.html, /players/l/loveke01.html, /players/p/pekovni01.html, /players/r/ridnolu01.html, /players/r/roybr01.html, /players/r/rubiori01.html, /players/s/shvedal01.html, /players/s/stiemgr01.html, /players/w/willide02.html"
"19","NOH","/players/a/aminual01.html, /players/a/amundlo01.html, /players/a/anderry01.html, /players/d/davisan02.html, /players/g/gordoer01.html, /players/h/harrite01.html, /players/h/henryxa01.html, /players/l/lopezro01.html, /players/m/masonro01.html, /players/m/mcguido01.html, /players/m/milleda01.html, /players/r/riverau01.html, /players/r/roberbr01.html, /players/s/simshe01.html, /players/s/sloando01.html, /players/s/smithja02.html, /players/t/thomala01.html, /players/v/vasqugr01.html, /players/w/warriha01.html"
"20","NYK","/players/a/anthoca01.html, /players/b/barroea01.html, /players/b/brewero02.html, /players/c/cambyma01.html, /players/c/chandty01.html, /players/c/copelch01.html, /players/f/feltora01.html, /players/j/jonesso01.html, /players/k/kiddja01.html, /players/m/martike01.html, /players/n/novakst01.html, /players/p/prigipa01.html, /players/r/richaqu01.html, /players/s/shumpim01.html, /players/s/smithjr01.html, /players/s/stoudam01.html, /players/t/thomaku01.html, /players/w/wallara01.html, /players/w/whiteja02.html"
"21","OKC","/players/b/brewero02.html, /players/c/collini01.html, /players/d/duranke01.html, /players/f/fishede01.html, /players/i/ibakase01.html, /players/j/jacksre01.html, /players/j/jonespe01.html, /players/l/lambje01.html, /players/l/liggide01.html, /players/m/martike02.html, /players/m/maynoer01.html, /players/o/ortonda01.html, /players/p/perkike01.html, /players/s/sefolth01.html, /players/t/thabeha01.html, /players/w/westbru01.html"
"22","ORL","/players/a/afflaar01.html, /players/a/ayongu01.html, /players/d/davisgl01.html, /players/h/harklma01.html, /players/h/harrial01.html, /players/h/harrito02.html, /players/j/jonesde01.html, /players/l/lambdo01.html, /players/m/mcrobjo01.html, /players/m/mooreet01.html, /players/n/nelsoja01.html, /players/n/nichoan01.html, /players/o/oquinky01.html, /players/r/redicjj01.html, /players/s/smithis01.html, /players/t/turkohe01.html, /players/u/udrihbe01.html, /players/v/vucevni01.html"
"23","PHI","/players/a/allenla01.html, /players/b/brownkw01.html, /players/h/hawessp01.html, /players/h/holidjr01.html, /players/h/holidju01.html, /players/i/iveyro01.html, /players/j/jenkich01.html, /players/m/macksh01.html, /players/m/moultar01.html, /players/p/pargoje01.html, /players/r/richaja01.html, /players/t/turneev01.html, /players/w/waynsma01.html, /players/w/wilkida02.html, /players/w/wrighdo01.html, /players/y/youngni01.html, /players/y/youngth01.html"
"24","PHO","/players/b/beaslmi01.html, /players/b/brownsh01.html, /players/d/dragigo01.html, /players/d/dudleja01.html, /players/g/garredi02.html, /players/g/gortama01.html, /players/h/haddaha01.html, /players/j/johnswe01.html, /players/m/marshke01.html, /players/m/morrima03.html, /players/m/morrima02.html, /players/o/onealje01.html, /players/s/scolalu01.html, /players/t/telfase01.html, /players/t/tuckepj01.html, /players/z/zellelu01.html"
"25","POR","/players/a/aldrila01.html, /players/b/babbilu01.html, /players/b/bartowi01.html, /players/b/batumni01.html, /players/c/clavevi01.html, /players/f/freeljo01.html, /players/h/hicksjj01.html, /players/j/jeffrja01.html, /players/l/leoname01.html, /players/l/lillada01.html, /players/m/matthwe02.html, /players/m/maynoer01.html, /players/p/pavloal01.html, /players/p/pricero01.html, /players/s/smithno01.html"
"26","SAC","/players/a/aldrico01.html, /players/b/brookaa01.html, /players/c/couside01.html, /players/d/douglto01.html, /players/e/evansty01.html, /players/f/fredeji01.html, /players/g/garcifr01.html, /players/h/hayesch01.html, /players/h/honeyty01.html, /players/j/johnsja01.html, /players/o/outlatr01.html, /players/p/pattepa01.html, /players/r/robinth01.html, /players/s/salmojo01.html, /players/t/thomais02.html, /players/t/thompja02.html, /players/t/thornma01.html"
"27","SAS","/players/a/anderja01.html, /players/b/baynear01.html, /players/b/blairde01.html, /players/b/bonnema01.html, /players/d/decolna01.html, /players/d/diawbo01.html, /players/d/duncati01.html, /players/g/ginobma01.html, /players/g/greenda02.html, /players/j/jacksst02.html, /players/j/josepco01.html, /players/l/leonaka01.html, /players/m/millspa02.html, /players/n/nealga01.html, /players/p/parketo01.html, /players/s/splitti01.html"
"28","TOR","/players/a/acyqu01.html, /players/a/anderal01.html, /players/b/bargnan01.html, /players/c/caldejo01.html, /players/d/davised01.html, /players/d/derozde01.html, /players/f/fieldla01.html, /players/g/gayru01.html, /players/g/grayaa01.html, /players/j/johnsam01.html, /players/k/kleizli01.html, /players/l/lowryky01.html, /players/l/lucasjo02.html, /players/m/mcguido01.html, /players/p/pietrmi01.html, /players/r/rosste01.html, /players/t/telfase01.html, /players/v/valanjo01.html"
"29","UTA","/players/b/burksal01.html, /players/c/carrode01.html, /players/e/evansje01.html, /players/f/favorde01.html, /players/f/foyera01.html, /players/h/haywago01.html, /players/j/jeffeal01.html, /players/k/kanteen01.html, /players/m/millspa01.html, /players/m/murphke01.html, /players/t/tinslja01.html, /players/w/watsoea01.html, /players/w/willima02.html, /players/w/willima01.html"
"30","WAS","/players/a/arizatr01.html, /players/b/barroea01.html, /players/b/bealbr01.html, /players/b/booketr01.html, /players/c/collija04.html, /players/c/crawfjo02.html, /players/h/hilarne01.html, /players/l/livinsh01.html, /players/m/macksh01.html, /players/m/martica01.html, /players/o/okafoem01.html, /players/p/pargoja01.html, /players/p/priceaj01.html, /players/s/serapke01.html, /players/s/singlch01.html, /players/t/templga01.html, /players/v/veselja01.html, /players/w/walljo01.html, /players/w/webstma02.html"
