"","Tm","roster"
"1","ATL","/players/b/batises01.html, /players/c/childjo01.html, /players/d/delkto01.html, /players/e/edwarjo01.html, /players/g/grundan01.html, /players/h/harrial01.html, /players/i/iveyro01.html, /players/j/johnsjo02.html, /players/l/luety01.html, /players/p/pachuza01.html, /players/s/smithdo04.html, /players/s/smithjo03.html, /players/s/stoudsa01.html, /players/t/thomajo02.html, /players/w/willima02.html"
"2","BOS","/players/a/allento01.html, /players/b/banksma01.html, /players/b/blounma01.html, /players/d/davisri01.html, /players/d/dickada01.html, /players/g/gomesry01.html, /players/g/greenge01.html, /players/g/greenor01.html, /players/j/jeffeal01.html, /players/j/jonesdw02.html, /players/l/lafrera01.html, /players/o/olowomi01.html, /players/p/perkike01.html, /players/p/piercpa01.html, /players/r/reedju01.html, /players/s/scalabr01.html, /players/s/szczewa02.html, /players/w/westde01.html"
"3","CHA","/players/a/anderal01.html, /players/b/baxtelo01.html, /players/b/boganke01.html, /players/b/brezepr01.html, /players/b/burleke01.html, /players/c/carroma01.html, /players/e/elyme01.html, /players/f/feltora01.html, /players/j/jonesju01.html, /players/k/knighbr01.html, /players/m/mayse01.html, /players/o/okafoem01.html, /players/r/robinbe01.html, /players/r/rushka01.html, /players/v/voskuja01.html, /players/w/wallage01.html"
"4","CHI","/players/a/allenma01.html, /players/b/basdeed01.html, /players/c/chandty01.html, /players/d/denglu01.html, /players/d/duhonch01.html, /players/g/gordobe01.html, /players/g/grahast01.html, /players/h/harriot01.html, /players/h/hinriki01.html, /players/h/holcora01.html, /players/l/livinra01.html, /players/n/nocioan01.html, /players/p/pargoja01.html, /players/p/piatker01.html, /players/s/schenlu01.html, /players/s/songada01.html, /players/s/sweetmi01.html, /players/t/thomaja02.html, /players/t/thomati01.html"
"5","CLE","/players/a/andrima01.html, /players/g/goodedr01.html, /players/g/grahast01.html, /players/h/hamilze01.html, /players/h/hendeal01.html, /players/h/hughela01.html, /players/i/ilgauzy01.html, /players/j/jackslu02.html, /players/j/jamesle01.html, /players/j/jonesda01.html, /players/m/marshdo01.html, /players/m/murraro01.html, /players/n/newblir01.html, /players/p/pavloal01.html, /players/s/snower01.html, /players/v/varejan01.html, /players/w/wilksmi01.html"
"6","DAL","/players/a/armstda01.html, /players/c/chrisdo01.html, /players/d/dampier01.html, /players/d/daniema01.html, /players/d/diopde01.html, /players/g/griffad01.html, /players/h/harride01.html, /players/h/howarjo01.html, /players/m/mbengdj01.html, /players/m/marshra01.html, /players/n/nowitdi01.html, /players/p/podkopa01.html, /players/p/poweljo01.html, /players/s/stackje01.html, /players/t/terryja01.html, /players/v/vanhoke01.html"
"7","DEN","/players/a/anthoca01.html, /players/b/boykiea01.html, /players/b/buckngr01.html, /players/c/cambyma01.html, /players/e/eisleho01.html, /players/e/elsonfr01.html, /players/e/evansre01.html, /players/h/hilarne01.html, /players/h/hodgeju01.html, /players/j/johnsde03.html, /players/k/kleizli01.html, /players/l/lenarvo01.html, /players/m/martike01.html, /players/m/millean02.html, /players/n/najered01.html, /players/p/patteru01.html, /players/r/russebr01.html, /players/s/smithch04.html, /players/w/watsoea01.html"
"8","DET","/players/a/ackeral01.html, /players/a/arroyca01.html, /players/b/billuch01.html, /players/c/catoke01.html, /players/d/davisda01.html, /players/d/delfica01.html, /players/d/delkto01.html, /players/e/evansma01.html, /players/h/hamilri01.html, /players/h/hunteli01.html, /players/j/johnsam01.html, /players/m/maxieja01.html, /players/m/mcdyean01.html, /players/m/milicda01.html, /players/p/princta01.html, /players/w/wallabe01.html, /players/w/wallara01.html"
"9","GSW","/players/b/biedran01.html, /players/b/bynumwi01.html, /players/c/cabarza01.html, /players/c/cheanca01.html, /players/d/davisba01.html, /players/d/dioguik01.html, /players/d/dunlemi02.html, /players/e/ellismo01.html, /players/f/fishede01.html, /players/f/foylead01.html, /players/m/milesaa01.html, /players/m/murphtr01.html, /players/p/pietrmi01.html, /players/r/richaja01.html, /players/t/taftch01.html"
"10","HOU","/players/a/alstora01.html, /players/a/anderde01.html, /players/b/barryjo01.html, /players/b/baxtelo01.html, /players/b/boganke01.html, /players/b/bowenry01.html, /players/b/brunsri01.html, /players/d/davisjo02.html, /players/f/frahmri01.html, /players/g/grahast01.html, /players/h/hayesch01.html, /players/h/headlu01.html, /players/h/howarju01.html, /players/l/lampema01.html, /players/l/lucasjo02.html, /players/m/mcgratr01.html, /players/m/mingya01.html, /players/m/mutomdi01.html, /players/n/norrimo01.html, /players/s/swiftst01.html, /players/w/wesleda01.html"
"11","IND","/players/b/bendejo01.html, /players/c/croshau01.html, /players/f/fosteje01.html, /players/g/gilled01.html, /players/g/grangda01.html, /players/h/harrida01.html, /players/j/jacksst02.html, /players/j/jasiksa01.html, /players/j/johnsan02.html, /players/j/jonesfr01.html, /players/o/onealje01.html, /players/p/pollasc01.html, /players/s/stojape01.html, /players/t/tinslja01.html, /players/w/walkesa01.html, /players/a/artesro01.html"
"12","LAC","/players/b/bakervi01.html, /players/b/brandel01.html, /players/c/cassesa01.html, /players/e/eisleho01.html, /players/e/ewingda01.html, /players/g/goldwan01.html, /players/k/kamanch01.html, /players/k/korolya01.html, /players/l/livinsh01.html, /players/m/maggeco01.html, /players/m/mccarwa01.html, /players/m/moblecu01.html, /players/n/ndongbo01.html, /players/r/radmavl01.html, /players/r/rebraze01.html, /players/r/rossqu01.html, /players/s/singlja01.html, /players/w/wilcoch01.html"
"13","LAL","/players/b/brownkw01.html, /players/b/bryanko01.html, /players/b/bynuman01.html, /players/c/cookbr01.html, /players/g/georgde01.html, /players/g/greende01.html, /players/j/jacksji01.html, /players/m/mckieaa01.html, /players/m/medvest01.html, /players/m/mihmch01.html, /players/o/odomla01.html, /players/p/parkesm01.html, /players/p/profila01.html, /players/t/turiaro01.html, /players/v/vujacsa01.html, /players/w/wafervo01.html, /players/w/waltolu01.html"
"14","MEM","/players/a/atkinch01.html, /players/b/battish01.html, /players/b/burksan01.html, /players/c/cardibr01.html, /players/g/gasolpa01.html, /players/j/jacksbo01.html, /players/j/jonesda02.html, /players/j/jonesed02.html, /players/m/millemi01.html, /players/r/roberan02.html, /players/r/roberla01.html, /players/s/stoudda01.html, /players/t/thomajo02.html, /players/t/tsakaja01.html, /players/w/warriha01.html, /players/w/wrighlo02.html"
"15","MIA","/players/a/anderde01.html, /players/a/andersh01.html, /players/b/barroea01.html, /players/d/doleami01.html, /players/f/fitchge01.html, /players/h/hasleud01.html, /players/k/kaponja01.html, /players/m/mournal01.html, /players/o/onealsh01.html, /players/p/paytoga01.html, /players/p/poseyja01.html, /players/s/simiewa01.html, /players/w/wadedw01.html, /players/w/walkean02.html, /players/w/walshma01.html, /players/w/willija02.html, /players/w/wrighdo01.html"
"16","MIL","/players/b/bellch01.html, /players/b/bogutan01.html, /players/d/davisjo02.html, /players/f/fordtj01.html, /players/g/gadzuda01.html, /players/g/gainere01.html, /players/j/jacksje01.html, /players/j/johnser02.html, /players/k/kukocto01.html, /players/m/magloja01.html, /players/r/reddmi01.html, /players/s/simmobo01.html, /players/s/smithjo02.html, /players/w/welscji01.html, /players/w/willima01.html"
"17","MIN","/players/b/banksma01.html, /players/b/blounma01.html, /players/c/cartean01.html, /players/d/davisri01.html, /players/d/duprero01.html, /players/f/frahmri01.html, /players/g/garneke01.html, /players/g/griffed01.html, /players/h/hassetr01.html, /players/h/hudsotr01.html, /players/j/jaricma01.html, /players/m/madsema01.html, /players/m/mccanra01.html, /players/o/olowomi01.html, /players/r/reedju01.html, /players/s/szczewa02.html, /players/t/tskitni01.html, /players/w/wrighbr02.html"
"18","NJN","/players/c/cartevi01.html, /players/c/collija04.html, /players/j/jacksma02.html, /players/j/jefferi01.html, /players/j/johnsli01.html, /players/k/kiddja01.html, /players/k/krstine01.html, /players/m/mcinnje01.html, /players/m/murrala01.html, /players/n/nachbbo01.html, /players/p/padgesc01.html, /players/p/planizo01.html, /players/r/robincl02.html, /players/t/thomajo02.html, /players/v/vaughja01.html, /players/w/wrighan01.html, /players/z/zimmede01.html"
