"","Tm","roster"
"1","ATL","/players/b/bazemke01.html, /players/b/bembrde01.html, /players/c/caldejo01.html, /players/d/delanma01.html, /players/d/dunlemi02.html, /players/h/hardati02.html, /players/h/howardw01.html, /players/h/humphkr01.html, /players/i/ilyaser01.html, /players/k/kellyry01.html, /players/k/korveky01.html, /players/m/millspa01.html, /players/m/muscami01.html, /players/n/nealga01.html, /players/p/pattela01.html, /players/s/schrode01.html, /players/s/scottmi01.html, /players/s/sefolth01.html, /players/t/tavarwa01.html, /players/p/princta02.html"
"2","BOS","/players/b/bradlav01.html, /players/b/brownja02.html, /players/c/crowdja01.html, /players/g/greenge01.html, /players/h/horfoal01.html, /players/j/jacksde01.html, /players/j/jerebjo01.html, /players/j/johnsam01.html, /players/m/mickejo01.html, /players/o/olynyke01.html, /players/r/roziete01.html, /players/s/smartma01.html, /players/t/thomais02.html, /players/y/youngja01.html, /players/z/zellety01.html"
"3","BRK","/players/a/acyqu01.html, /players/b/bennean01.html, /players/b/bogdabo02.html, /players/b/booketr01.html, /players/d/dinwisp01.html, /players/f/ferreyo01.html, /players/f/foyera01.html, /players/g/goodwar01.html, /players/h/hamilju01.html, /players/h/harrijo01.html, /players/h/holliro01.html, /players/k/kilpase01.html, /players/l/leverca01.html, /players/l/linje01.html, /players/l/lopezbr01.html, /players/m/mcculch01.html, /players/m/mcdankj01.html, /players/n/nichoan01.html, /players/s/scolalu01.html, /players/v/vasqugr01.html, /players/w/whiteis01.html"
"4","CHI","/players/b/butleji01.html, /players/c/canaais01.html, /players/c/cartemi01.html, /players/f/feliccr01.html, /players/g/gibsota01.html, /players/g/grantje02.html, /players/h/hunterj01.html, /players/l/lauvejo01.html, /players/l/lopezro01.html, /players/m/mcderdo01.html, /players/m/mirotni01.html, /players/m/morroan01.html, /players/p/payneca01.html, /players/p/portibo01.html, /players/r/rondora01.html, /players/v/valende01.html, /players/w/wadedw01.html, /players/z/zipsepa01.html"
"5","CHO","/players/b/batumni01.html, /players/b/belinma01.html, /players/g/grahatr01.html, /players/h/harriaa01.html, /players/h/hawessp01.html, /players/h/hibbero01.html, /players/k/kaminfr01.html, /players/k/kiddgmi01.html, /players/l/lambje01.html, /players/o/obryajo01.html, /players/p/plumlmi01.html, /players/r/roberbr01.html, /players/s/sessira01.html, /players/t/tobeymi01.html, /players/w/walkeke02.html, /players/w/weberbr01.html, /players/w/willima02.html, /players/w/woodch01.html, /players/z/zelleco01.html"
"6","CLE","/players/a/anderch01.html, /players/b/bogutan01.html, /players/d/dunlemi02.html, /players/f/feldeka01.html, /players/f/fryech01.html, /players/i/irvinky01.html, /players/j/jamesle01.html, /players/j/jefferi01.html, /players/j/jonesda02.html, /players/j/jonesja02.html, /players/k/korveky01.html, /players/l/liggide01.html, /players/l/loveke01.html, /players/m/mcraejo01.html, /players/s/sandela01.html, /players/s/shumpim01.html, /players/s/smithjr01.html, /players/t/tavarwa01.html, /players/t/thomptr01.html, /players/w/willide01.html, /players/w/willide02.html"
"7","DAL","/players/a/acyqu01.html, /players/a/anderju01.html, /players/b/bareajo01.html, /players/b/barneha02.html, /players/b/bentibe01.html, /players/b/bogutan01.html, /players/b/brussni01.html, /players/c/cookqu01.html, /players/c/curryse01.html, /players/f/ferreyo01.html, /players/f/finnedo01.html, /players/g/gibsojo01.html, /players/h/hammoaj01.html, /players/h/harride01.html, /players/h/harrima01.html, /players/j/jackspi01.html, /players/l/liggide01.html, /players/m/matthwe02.html, /players/m/mejrisa01.html, /players/n/noelne01.html, /players/n/nowitdi01.html, /players/p/poweldw01.html, /players/u/uthofja01.html, /players/w/willide01.html"
"8","DEN","/players/a/arthuda01.html, /players/b/bartowi01.html, /players/b/beaslma01.html, /players/c/chandwi01.html, /players/f/farieke01.html, /players/g/gallida01.html, /players/g/geeal01.html, /players/h/harriga01.html, /players/h/hernaju01.html, /players/h/hibbero01.html, /players/j/jokicni01.html, /players/m/millemi01.html, /players/m/mudiaem01.html, /players/m/murraja01.html, /players/n/nelsoja01.html, /players/n/nurkiju01.html, /players/o/obryajo01.html, /players/p/plumlma01.html, /players/s/stokeja01.html"
"9","DET","/players/b/baynear01.html, /players/b/bullore01.html, /players/c/caldwke01.html, /players/d/drumman01.html, /players/e/ellenhe01.html, /players/g/gbinimi01.html, /players/h/harrito02.html, /players/h/hillida01.html, /players/j/jacksre01.html, /players/j/johnsst04.html, /players/l/leuerjo01.html, /players/m/marjabo01.html, /players/m/morrima03.html, /players/s/smithis01.html, /players/u/udrihbe01.html"
"10","GSW","/players/b/barnema02.html, /players/c/clarkia01.html, /players/c/curryst01.html, /players/d/duranke01.html, /players/g/greendr01.html, /players/i/iguodan01.html, /players/j/jonesda03.html, /players/l/livinsh01.html, /players/l/looneke01.html, /players/m/mcadoja01.html, /players/m/mccawpa01.html, /players/m/mcgeeja01.html, /players/p/pachuza01.html, /players/t/thompkl01.html, /players/v/varejan01.html, /players/w/weberbr01.html, /players/w/westda01.html"
"11","HOU","/players/a/anderry01.html, /players/a/arizatr01.html, /players/b/beverpa01.html, /players/b/breweco01.html, /players/b/brownbo02.html, /players/c/capelca01.html, /players/d/dekkesa01.html, /players/e/ennisty01.html, /players/g/gordoer01.html, /players/h/hardeja01.html, /players/h/harremo01.html, /players/h/hilarne01.html, /players/m/mcdankj01.html, /players/o/onuakch01.html, /players/t/taylois01.html, /players/w/willilo02.html, /players/w/willitr02.html, /players/w/wiltjky01.html"
"12","IND","/players/a/allenla01.html, /players/b/brookaa01.html, /players/c/chrisra01.html, /players/e/ellismo01.html, /players/g/georgpa01.html, /players/j/jeffeal01.html, /players/m/milescj01.html, /players/n/niangge01.html, /players/r/robingl02.html, /players/s/serapke01.html, /players/s/stephla01.html, /players/s/stuckro01.html, /players/t/teaguje01.html, /players/t/turnemy01.html, /players/y/youngjo01.html, /players/y/youngth01.html"
"13","LAC","/players/a/anderal01.html, /players/b/bassbr01.html, /players/c/crawfja01.html, /players/f/feltora01.html, /players/g/griffbl01.html, /players/j/johnsbr02.html, /players/j/johnswe01.html, /players/j/jordade01.html, /players/m/mbahalu01.html, /players/p/paulch01.html, /players/p/piercpa01.html, /players/r/redicjj01.html, /players/r/riverau01.html, /players/s/speigma01.html, /players/s/stonedi01.html"
"14","LAL","/players/b/blackta01.html, /players/b/breweco01.html, /players/c/caldejo01.html, /players/c/clarkjo01.html, /players/d/denglu01.html, /players/e/ennisty01.html, /players/h/huertma01.html, /players/i/ingrabr01.html, /players/m/mozgoti01.html, /players/n/nancela02.html, /players/n/nwabada01.html, /players/r/randlju01.html, /players/r/robinth01.html, /players/r/russeda01.html, /players/w/willilo02.html, /players/a/artesro01.html, /players/y/youngni01.html, /players/z/zubaciv01.html"
