"","Tm","roster"
"1","ATL","/players/b/burleto01.html, /players/c/colliar01.html, /players/c/collido02.html, /players/c/crissch01.html, /players/d/drewjo01.html, /players/h/hawesst01.html, /players/h/hillar01.html, /players/j/johnsed02.html, /players/m/matthwe01.html, /players/m/mcelrji01.html, /players/m/mcmilto01.html, /players/p/pellosa01.html, /players/r/rollitr01.html, /players/r/roundda01.html, /players/s/sheltcr01.html"
"2","BOS","/players/a/architi01.html, /players/b/birdla01.html, /players/c/carrml01.html, /players/d/duerote01.html, /players/f/fernser01.html, /players/f/fordch01.html, /players/h/hendege01.html, /players/k/kreklwa01.html, /players/m/maxwece01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/r/robeyri01.html"
"3","CHI","/players/d/dietrco01.html, /players/g/gilmoar01.html, /players/g/greenda01.html, /players/j/jonesdw01.html, /players/k/kenonla01.html, /players/l/lestero01.html, /players/m/mackol01.html, /players/m/maysc01.html, /players/s/soberri01.html, /players/t/theusre01.html, /players/w/wilkebo01.html, /players/w/wilkeja02.html, /players/w/worthsa01.html"
"4","CLE","/players/b/bratzmi01.html, /players/c/calvima01.html, /players/c/carrke01.html, /players/f/forddo01.html, /players/h/hugheki01.html, /players/h/hustoge01.html, /players/j/jordawa01.html, /players/k/kinchch01.html, /players/l/laimbbi01.html, /players/l/lambejo01.html, /players/m/mitchmi01.html, /players/p/pheglro01.html, /players/r/robinbi01.html, /players/r/robisda01.html, /players/s/smithra01.html, /players/s/smithro01.html, /players/w/washiri01.html, /players/w/whiteje01.html"
"5","DAL","/players/a/allumda01.html, /players/b/boynewi01.html, /players/b/byrnema01.html, /players/c/carrau01.html, /players/d/davisbr01.html, /players/d/davismo01.html, /players/d/drollra01.html, /players/d/duerote01.html, /players/h/hassejo01.html, /players/h/hustoge01.html, /players/j/jeelaab01.html, /players/k/keacl01.html, /players/k/kinchch01.html, /players/l/lagarto01.html, /players/l/lloydsc01.html, /players/m/mackol01.html, /players/p/pietkst01.html, /players/r/robinbi01.html, /players/s/spanaji01.html, /players/w/washiri01.html, /players/w/whiteje01.html"
"6","DEN","/players/d/dunntr01.html, /players/e/englial01.html, /players/g/gondrgl01.html, /players/h/higgske01.html, /players/h/hordgce01.html, /players/h/hugheki01.html, /players/i/isselda01.html, /players/m/mckinbi01.html, /players/n/nicksca01.html, /players/o/oldhaja01.html, /players/r/rayja01.html, /players/r/robisda01.html, /players/r/rochejo01.html, /players/t/thompda01.html, /players/v/valenro01.html, /players/v/vandeki01.html"
"7","DET","/players/b/bensoke01.html, /players/b/blackno01.html, /players/d/drewla01.html, /players/f/fulleto01.html, /players/h/herroke01.html, /players/h/hubbaph01.html, /players/j/johnsle01.html, /players/k/kelsegr01.html, /players/l/lawreed01.html, /players/l/leero01.html, /players/l/longjo01.html, /players/m/mcadobo01.html, /players/m/mokespa01.html, /players/r/robinwa01.html, /players/t/tylerte01.html, /players/w/wrighla01.html"
"8","GSW","/players/a/abernto01.html, /players/b/brownri01.html, /players/c/carrojo01.html, /players/c/cheniph01.html, /players/f/freewo01.html, /players/h/hassejo01.html, /players/k/kingbe01.html, /players/l/lucasjo01.html, /players/m/mayfibi01.html, /players/m/mengejo01.html, /players/p/parkeso01.html, /players/r/raycl01.html, /players/r/reidbi01.html, /players/r/romarlo01.html, /players/s/shortpu01.html, /players/s/smithla01.html, /players/w/whiteru01.html"
"9","HOU","/players/d/dunlemi01.html, /players/g/garreca01.html, /players/h/hendeto01.html, /players/j/johnsle01.html, /players/j/jonesma01.html, /players/l/leaveal01.html, /players/m/malonmo01.html, /players/m/murphca01.html, /players/p/paultbi01.html, /players/r/reidro01.html, /players/s/stroujo01.html, /players/t/tomjaru01.html, /players/w/willobi01.html"
"10","IND","/players/a/abernto01.html, /players/b/bantomi01.html, /players/b/bradldu01.html, /players/b/busedo01.html, /players/d/davisjo01.html, /players/e/edwarja01.html, /players/j/johnscl01.html, /players/j/johnsge03.html, /players/k/knighbi01.html, /players/m/mcginge01.html, /players/m/milledi01.html, /players/n/nattke01.html, /players/o/orrlo01.html, /players/s/sichtje01.html"
