"","Tm","roster"
"1","ATL","/players/a/anderke01.html, /players/b/barryjo01.html, /players/c/childjo01.html, /players/c/collija02.html, /players/d/delkto01.html, /players/d/diawbo01.html, /players/d/drobnpr01.html, /players/e/ekeziob01.html, /players/g/guglito01.html, /players/h/harrial01.html, /players/i/iveyro01.html, /players/l/luety01.html, /players/m/mccoyje01.html, /players/m/millean01.html, /players/s/smithdo04.html, /players/s/smithjo03.html, /players/s/stewami01.html, /players/t/thomaja02.html, /players/w/walkean02.html, /players/w/willike02.html"
"2","BOS","/players/a/allento01.html, /players/b/banksma01.html, /players/b/blounma01.html, /players/d/davisri01.html, /players/g/guglito01.html, /players/j/jeffeal01.html, /players/l/lafrera01.html, /players/m/mccarwa01.html, /players/p/paytoga01.html, /players/p/perkike01.html, /players/p/piercpa01.html, /players/r/reedju01.html, /players/w/walkean02.html, /players/w/welscji01.html, /players/w/westde01.html"
"3","CHA","/players/a/alexaco01.html, /players/a/allenma01.html, /players/b/boganke01.html, /players/b/brezepr01.html, /players/c/carroma01.html, /players/e/elyme01.html, /players/h/hartja01.html, /players/h/houseed01.html, /players/k/kaponja01.html, /players/k/knighbr01.html, /players/o/okafoem01.html, /players/r/robinbe01.html, /players/r/rushka01.html, /players/s/sampsja01.html, /players/s/slayta01.html, /players/s/smithst01.html, /players/s/smithth01.html, /players/w/wallage01.html, /players/w/whiteja01.html"
"4","CHI","/players/c/chandty01.html, /players/c/curryed01.html, /players/d/davisan01.html, /players/d/denglu01.html, /players/d/duhonch01.html, /players/f/fundela01.html, /players/g/gordobe01.html, /players/g/griffad01.html, /players/h/harriot01.html, /players/h/hinriki01.html, /players/n/nocioan01.html, /players/p/pargoja01.html, /players/p/piatker01.html, /players/r/reineja01.html, /players/w/willifr02.html"
"5","CLE","/players/d/diopde01.html, /players/g/goodedr01.html, /players/h/harrilu01.html, /players/i/ilgauzy01.html, /players/j/jackslu02.html, /players/j/jamesle01.html, /players/m/mcinnje01.html, /players/m/moisoje01.html, /players/n/newblir01.html, /players/p/pavloal01.html, /players/s/snower01.html, /players/t/traylro01.html, /players/v/varejan01.html, /players/w/wagneda02.html, /players/w/welscji01.html, /players/w/willisc01.html"
"6","DAL","/players/a/armstda01.html, /players/b/boothca01.html, /players/b/bradlsh01.html, /players/d/dampier01.html, /players/d/daniema01.html, /players/d/dickada01.html, /players/f/finlemi01.html, /players/h/harride01.html, /players/h/hendeal01.html, /players/h/howarjo01.html, /players/m/mbengdj01.html, /players/n/nowitdi01.html, /players/p/podkopa01.html, /players/s/stackje01.html, /players/t/terryja01.html, /players/v/vanhoke01.html"
"7","DEN","/players/a/anthoca01.html, /players/b/boykiea01.html, /players/b/buckngr01.html, /players/c/cambyma01.html, /players/e/elsonfr01.html, /players/f/florelu01.html, /players/h/hilarne01.html, /players/j/johnsde03.html, /players/l/lenarvo01.html, /players/m/martike01.html, /players/m/millean02.html, /players/n/najered01.html, /players/p/persowe01.html, /players/p/popema01.html, /players/r/russebr01.html, /players/t/tskitni01.html, /players/w/whitero02.html"
"8","DET","/players/a/arroyca01.html, /players/b/billuch01.html, /players/c/campbel01.html, /players/c/colemde01.html, /players/d/delfica01.html, /players/d/duprero01.html, /players/g/goldwan01.html, /players/h/hamda01.html, /players/h/hamilri01.html, /players/h/hunteli01.html, /players/j/jenkiho01.html, /players/m/mcdyean01.html, /players/m/milicda01.html, /players/p/parkesm01.html, /players/p/princta01.html, /players/w/wallabe01.html, /players/w/wallara01.html"
"9","GSW","/players/b/biedran01.html, /players/c/cabarza01.html, /players/c/cheanca01.html, /players/c/claxtsp01.html, /players/d/davisba01.html, /players/d/davisda01.html, /players/d/dunlemi02.html, /players/f/fishede01.html, /players/f/florelu01.html, /players/f/foylead01.html, /players/m/murphtr01.html, /players/n/najered01.html, /players/p/pietrmi01.html, /players/r/richaja01.html, /players/r/robincl02.html, /players/s/sesayan01.html, /players/t/tskitni01.html, /players/w/whitero02.html"
"10","HOU","/players/b/bakervi01.html, /players/b/barrean01.html, /players/b/barryjo01.html, /players/b/bowenry01.html, /players/b/braggto01.html, /players/g/gainere01.html, /players/h/howarju01.html, /players/j/jacksji01.html, /players/j/jamesmi01.html, /players/k/knighbr02.html, /players/l/luety01.html, /players/m/mcgratr01.html, /players/m/mingya01.html, /players/m/mutomdi01.html, /players/n/nachbbo01.html, /players/n/norrimo01.html, /players/p/padgesc01.html, /players/s/stricro02.html, /players/s/surabo01.html, /players/t/tayloma01.html, /players/w/wardch01.html, /players/w/weathcl01.html, /players/w/wesleda01.html"
