"","Tm","roster"
"1","BOS","/players/c/cousybo01.html, /players/f/foleyja01.html, /players/g/guarige01.html, /players/h/havlijo01.html, /players/h/heinsto01.html, /players/j/joneskc01.html, /players/j/jonessa01.html, /players/l/loscuji01.html, /players/l/lovelcl01.html, /players/r/ramsefr01.html, /players/r/russebi01.html, /players/s/sandeto01.html, /players/s/swartda01.html"
"2","CHZ","/players/b/bellawa01.html, /players/c/cableba01.html, /players/c/coxjo01.html, /players/d/dischte01.html, /players/f/ferraal01.html, /players/g/greensi01.html, /players/h/hardnch01.html, /players/k/kingma01.html, /players/l/leonasl01.html, /players/m/mantini01.html, /players/m/mcgilbi01.html, /players/n/nelsodo01.html, /players/n/nowelme01.html, /players/s/sauldwo01.html, /players/s/sladeje01.html, /players/s/stavela01.html, /players/w/wellsra01.html"
"3","CIN","/players/b/bockhbu01.html, /players/b/boozebo01.html, /players/b/buckhjo01.html, /players/e/embrywa01.html, /players/h/hawkito01.html, /players/o/olsenbu01.html, /players/p/piontda01.html, /players/r/reedhu01.html, /players/r/roberos01.html, /players/s/smithad01.html, /players/t/tiemada01.html, /players/t/twymaja01.html"
"4","DET","/players/d/debusda01.html, /players/d/doyleda01.html, /players/d/dukeswa01.html, /players/e/eganjo01.html, /players/f/ferrybo01.html, /players/h/howelba01.html, /players/i/imhofda01.html, /players/j/joneswi01.html, /players/l/loughke01.html, /players/m/morelja01.html, /players/o/ohldo01.html, /players/s/scottra01.html"
"5","LAL","/players/b/barnedi01.html, /players/b/bayloel01.html, /players/e/ellisle01.html, /players/h/hornro01.html, /players/h/hundlho01.html, /players/j/jolifho01.html, /players/k/krebsji01.html, /players/l/larusru01.html, /players/s/selvyfr01.html, /players/w/westje01.html, /players/w/wileyge01.html"
"6","NYK","/players/b/buckncl01.html, /players/b/buddda01.html, /players/b/butchdo01.html, /players/b/butleal01.html, /players/c/conlege01.html, /players/f/foleyja01.html, /players/g/golato01.html, /players/g/greenjo01.html, /players/g/gueriri01.html, /players/h/hoguedu01.html, /players/n/naullwi01.html, /players/n/nordmbe01.html, /players/r/rudomjo01.html, /players/s/searske01.html, /players/s/shuege01.html, /players/s/stithto01.html"
"7","SFW","/players/a/attleal01.html, /players/c/chambwi01.html, /players/f/fedorda01.html, /players/g/golato01.html, /players/g/gunthda01.html, /players/h/hightwa01.html, /players/l/lacoufr01.html, /players/l/leege01.html, /players/l/luckete01.html, /players/m/meschto01.html, /players/m/montgho01.html, /players/n/naullwi01.html, /players/p/phillga01.html, /players/r/rodgegu01.html, /players/s/searske01.html, /players/w/whitehu01.html"
"8","STL","/players/b/barnhjo01.html, /players/b/beatyze01.html, /players/b/bridgbi01.html, /players/c/cableba01.html, /players/d/duffybo02.html, /players/f/farmemi01.html, /players/h/hagancl01.html, /players/j/jordoph01.html, /players/m/mantini01.html, /players/n/nordmbe01.html, /players/p/pettibo01.html, /players/s/sauldwo01.html, /players/t/tormobu01.html, /players/v/vaughch01.html, /players/w/wilkele01.html"
"9","SYR","/players/b/biancal01.html, /players/c/chapple01.html, /players/c/costela01.html, /players/g/gambeda01.html, /players/g/greerha01.html, /players/k/kerrre01.html, /players/m/meriwpo01.html, /players/n/neumapa01.html, /players/r/roberjo01.html, /players/s/schaydo01.html, /players/s/shaffle01.html, /players/w/walkech01.html, /players/w/warlebe01.html"
