"","Tm","roster"
"1","ATL","/players/b/behagro01.html, /players/b/brownjo01.html, /players/c/charlke01.html, /players/c/crissch01.html, /players/d/drewjo01.html, /players/h/hawesst01.html, /players/h/hillar01.html, /players/j/johnsed02.html, /players/j/johnsol01.html, /players/m/mcmilto01.html, /players/r/roberto01.html, /players/r/rollitr01.html, /players/t/terrycl01.html"
"2","BOS","/players/a/abdulza01.html, /players/a/ardji01.html, /players/b/bigelbo01.html, /players/b/bingda01.html, /players/b/bosweto01.html, /players/c/chanedo01.html, /players/c/cowenda01.html, /players/d/digreer01.html, /players/h/havlijo01.html, /players/k/kuberst01.html, /players/m/maxwece01.html, /players/r/rowecu01.html, /players/s/saundfr01.html, /players/s/scottch01.html, /players/s/stacoke01.html, /players/w/washike01.html, /players/w/whitejo01.html, /players/w/wickssi01.html"
"3","BUF","/players/a/averibi01.html, /players/b/barnema01.html, /players/b/brokaga01.html, /players/g/gerargu01.html, /players/g/glennmi01.html, /players/j/johnsla01.html, /players/j/joneswi02.html, /players/k/knighbi01.html, /players/l/lloydsc01.html, /players/m/mcclate01.html, /players/m/mcdanji01.html, /players/m/mcneila01.html, /players/n/natersw01.html, /players/o/owensed01.html, /players/s/shumajo01.html, /players/s/smithra01.html, /players/w/willich02.html, /players/w/willobi01.html"
"4","CHI","/players/a/ardji01.html, /players/a/armstta01.html, /players/b/boerwto01.html, /players/d/dickede01.html, /players/g/gilmoar01.html, /players/h/hansegl01.html, /players/h/hollawi01.html, /players/j/johnsmi01.html, /players/l/landsma01.html, /players/m/maysc01.html, /players/m/mengejo01.html, /players/p/pondecl01.html, /players/r/russeca01.html, /players/s/sheppst01.html, /players/v/vanlino01.html, /players/w/weathni01.html"
"5","CLE","/players/b/breweji01.html, /players/c/carrau01.html, /players/c/choneji01.html, /players/f/fraziwa01.html, /players/f/furlote01.html, /players/j/jordaed01.html, /players/l/lambejo01.html, /players/r/russeca02.html, /players/s/smithbi02.html, /players/s/smithel01.html, /players/s/snydedi01.html, /players/w/walkefo01.html"
"6","DEN","/players/c/calvima01.html, /players/c/cookno01.html, /players/d/dorseja01.html, /players/e/ellisbo02.html, /players/h/hillmda01.html, /players/i/isselda01.html, /players/j/jonesbo01.html, /players/l/lagarto01.html, /players/p/priceji01.html, /players/r/roberan01.html, /players/s/simpsra01.html, /players/s/smithro01.html, /players/t/taylobr01.html, /players/t/thompda01.html, /players/w/wilkebo01.html"
"7","DET","/players/b/barnema01.html, /players/b/bostiji01.html, /players/b/brittwa01.html, /players/c/carrml01.html, /players/d/douglle01.html, /players/e/eberhal01.html, /players/f/fordch01.html, /players/g/gerargu01.html, /players/l/laniebo01.html, /players/m/moneyer01.html, /players/n/norwowi01.html, /players/p/poquebe01.html, /players/p/porteho01.html, /players/p/porteke01.html, /players/p/priceji01.html, /players/s/shumajo01.html, /players/s/simpsra01.html, /players/s/skinnal01.html"
"8","GSW","/players/b/barryri01.html, /players/c/colemec01.html, /players/c/coxwe01.html, /players/d/dickede01.html, /players/d/dudlech01.html, /players/g/greenri01.html, /players/j/johnsch01.html, /players/m/marshri01.html, /players/m/mcneila01.html, /players/p/parisro01.html, /players/p/parkeso01.html, /players/r/raycl01.html, /players/s/smithph01.html, /players/w/willina01.html"
"9","HOU","/players/a/abdulza01.html, /players/b/behagro01.html, /players/b/bondph01.html, /players/b/bradlal01.html, /players/d/dunlemi01.html, /players/j/johnsjo01.html, /players/j/jonesdw01.html, /players/j/jonesro01.html, /players/k/kunneke01.html, /players/k/kupeccj01.html, /players/l/lucasjo01.html, /players/m/malonmo01.html, /players/m/moffela01.html, /players/m/murphca01.html, /players/n/newlimi01.html, /players/r/ratleed01.html, /players/r/reidro01.html, /players/t/tomjaru01.html, /players/w/whiteru01.html"
"10","IND","/players/b/bantomi01.html, /players/b/behagro01.html, /players/b/benneme01.html, /players/c/carribo01.html, /players/d/dantlad01.html, /players/e/edwarja01.html, /players/e/elmorle01.html, /players/f/flynnmi01.html, /players/g/greenst01.html, /players/n/neumajo01.html, /players/r/robisda01.html, /players/r/roundda01.html, /players/s/smithwi02.html, /players/s/soberri01.html, /players/t/tatumea01.html, /players/w/willijo01.html, /players/w/wilsobo03.html"
