"","Tm","roster"
"1","ATL","/players/c/crissch01.html, /players/d/drewjo01.html, /players/f/furlote01.html, /players/g/givenja01.html, /players/h/hawesst01.html, /players/h/herroke01.html, /players/h/hillar01.html, /players/j/johnsed02.html, /players/l/leebu01.html, /players/m/mcmilto01.html, /players/r/rollitr01.html, /players/r/roundda01.html, /players/w/wilsori01.html"
"2","BOS","/players/a/architi01.html, /players/a/awtrede01.html, /players/b/barketo01.html, /players/b/barnema01.html, /players/c/chanedo01.html, /players/c/cowenda01.html, /players/f/fordch01.html, /players/j/judkije01.html, /players/k/knighbi01.html, /players/m/maxwece01.html, /players/m/mcadobo01.html, /players/r/robeyri01.html, /players/r/rowecu01.html, /players/s/sandefr01.html, /players/s/stacoke01.html, /players/t/tatumea01.html, /players/w/whitejo01.html, /players/w/williea01.html"
"3","CHI","/players/a/armstta01.html, /players/b/brownjo01.html, /players/d/dudlech01.html, /players/g/gilmoar01.html, /players/h/hollawi01.html, /players/j/johnsmi01.html, /players/j/johnsol01.html, /players/l/landsma01.html, /players/l/lloydsc01.html, /players/m/maysc01.html, /players/m/mengejo01.html, /players/s/sheppst01.html, /players/t/theusre01.html, /players/w/wakefan01.html"
"4","CLE","/players/b/breweji01.html, /players/c/carrau01.html, /players/c/choneji01.html, /players/d/davisha01.html, /players/f/fraziwa01.html, /players/f/furlote01.html, /players/h/higgske01.html, /players/l/lambejo01.html, /players/l/leebu01.html, /players/m/mitchmi01.html, /players/r/russeca02.html, /players/s/smithbi02.html, /players/s/smithel01.html, /players/w/walkefo01.html"
"5","DEN","/players/b/bosweto01.html, /players/c/crompge01.html, /players/e/ellisbo02.html, /players/h/hicksph01.html, /players/h/hugheki01.html, /players/i/isselda01.html, /players/k/kuestjo01.html, /players/m/mcginge01.html, /players/r/roberan01.html, /players/s/scottch01.html, /players/s/smithro01.html, /players/t/thompda01.html, /players/w/wilkebo01.html"
"6","DET","/players/b/behagro01.html, /players/b/boydde01.html, /players/b/breweji01.html, /players/c/carrml01.html, /players/d/douglle01.html, /players/f/fordch01.html, /players/g/gerargu01.html, /players/g/greenri01.html, /players/h/hawkiro01.html, /players/h/hollies01.html, /players/h/howarot01.html, /players/l/laniebo01.html, /players/l/longjo01.html, /players/m/mcneila01.html, /players/p/poquebe01.html, /players/p/porteke01.html, /players/s/sheppst01.html, /players/t/tatumea01.html, /players/t/tylerte01.html, /players/w/wakefan01.html"
"7","GSW","/players/a/abernto01.html, /players/c/coopewa01.html, /players/c/coxwe01.html, /players/e/eppsra01.html, /players/l/lucasjo01.html, /players/p/parisro01.html, /players/p/parkeso01.html, /players/r/raycl01.html, /players/r/roberto01.html, /players/s/shortpu01.html, /players/s/smithph01.html, /players/t/townsra01.html, /players/w/whitejo01.html, /players/w/willina01.html"
"8","HOU","/players/b/barketo01.html, /players/b/barryri01.html, /players/b/bradlal01.html, /players/c/colemec01.html, /players/d/dorseja01.html, /players/d/dunlemi01.html, /players/j/jonesdw01.html, /players/m/malonmo01.html, /players/m/murphca01.html, /players/n/newlimi01.html, /players/r/reidro01.html, /players/t/tomjaru01.html, /players/w/wattssl01.html"
"9","IND","/players/b/bantomi01.html, /players/c/calhoco01.html, /players/d/davisbr01.html, /players/d/davisjo01.html, /players/e/edwarja01.html, /players/e/elmorle01.html, /players/e/englial01.html, /players/g/greenst01.html, /players/k/knighbi01.html, /players/r/radfowa01.html, /players/r/robeyri01.html, /players/s/soberri01.html, /players/s/stacoke01.html"
"10","KCK","/players/a/allenlu01.html, /players/b/behagro01.html, /players/b/birdsot01.html, /players/b/burleto01.html, /players/f/fordph01.html, /players/g/gerargu01.html, /players/h/hillmda01.html, /players/l/laceysa01.html, /players/m/mckinbi01.html, /players/n/nashbo01.html, /players/r/redmoma01.html, /players/r/robinbi01.html, /players/w/washiri01.html, /players/w/wedmasc01.html"
