"","Tm","roster"
"1","ATL","/players/a/augmost01.html, /players/c/cheekma01.html, /players/f/ferredu01.html, /players/g/grahapa01.html, /players/k/koncajo01.html, /players/l/leonaga01.html, /players/m/maystr01.html, /players/m/monroro01.html, /players/r/rasmubl01.html, /players/r/robinru01.html, /players/s/sandeje01.html, /players/v/volkoal01.html, /players/w/wileymo01.html, /players/w/wilkido01.html, /players/w/willike02.html"
"2","BOS","/players/b/baglejo01.html, /players/b/battlke01.html, /players/b/birdla01.html, /players/b/brownde01.html, /players/d/douglsh01.html, /players/f/foxri01.html, /players/g/gamblke01.html, /players/g/greenri01.html, /players/k/kleinjo01.html, /players/l/lewisre01.html, /players/m/masseto01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/p/pincked01.html, /players/p/pritcke01.html, /players/r/robinla01.html, /players/s/shawbr01.html, /players/v/vrankst01.html"
"3","CHH","/players/a/anslemi01.html, /players/b/boguemu01.html, /players/c/chapmre01.html, /players/c/curryde01.html, /players/f/fredean01.html, /players/g/gattike01.html, /players/g/gillke01.html, /players/g/gminsmi01.html, /players/g/grandro01.html, /players/g/grantgr01.html, /players/h/huntece01.html, /players/j/johnsla02.html, /players/l/leckner01.html, /players/l/lynchke01.html, /players/m/masseto01.html, /players/n/newmajo01.html, /players/p/perryel01.html, /players/r/reidjr01.html"
"4","CHI","/players/a/armstbj01.html, /players/c/cartwbi01.html, /players/g/grantho01.html, /players/h/hansebo01.html, /players/h/hodgecr01.html, /players/h/hopsode01.html, /players/j/jordami01.html, /players/k/kingst01.html, /players/l/levincl01.html, /players/n/nevitch01.html, /players/p/paxsojo01.html, /players/p/perduwi01.html, /players/p/pippesc01.html, /players/r/randama01.html, /players/s/sparrro01.html, /players/w/willisc01.html"
"5","CLE","/players/b/battljo01.html, /players/b/bennewi01.html, /players/b/brandte01.html, /players/b/brownch01.html, /players/d/daughbr01.html, /players/e/ehlocr01.html, /players/f/ferryda01.html, /players/j/jameshe01.html, /players/k/kerrst01.html, /players/m/mortojo01.html, /players/n/nancela01.html, /players/o/oliveji01.html, /players/p/phillbo01.html, /players/p/pricema01.html, /players/s/sandemi01.html, /players/w/williho01.html"
"6","DAL","/players/b/blackro01.html, /players/d/davisbr01.html, /players/d/daviste01.html, /players/d/donalja01.html, /players/g/garrito01.html, /players/h/harpede01.html, /players/h/hodgedo01.html, /players/h/howarbr01.html, /players/i/iuzzomi01.html, /players/l/leverfa01.html, /players/m/mccraro01.html, /players/m/mooretr01.html, /players/q/quinnbr01.html, /players/s/smithdo03.html, /players/v/viannjo01.html, /players/w/whitera01.html, /players/w/willihe01.html"
"7","DEN","/players/a/abdulma02.html, /players/a/andergr01.html, /players/b/brookke01.html, /players/c/cookan01.html, /players/d/daviswa03.html, /players/g/garlawi01.html, /players/h/hastisc01.html, /players/l/laneje01.html, /players/l/liberma01.html, /players/l/lichtto01.html, /players/m/maconma01.html, /players/m/mutomdi01.html, /players/s/schefst01.html, /players/w/willire01.html, /players/w/wolfjo01.html"
"8","DET","/players/a/aguirma01.html, /players/b/bedfowi01.html, /players/b/blankla01.html, /players/d/dumarjo01.html, /players/h/hendege01.html, /players/l/laimbbi01.html, /players/m/mccanbo01.html, /players/r/rodmade01.html, /players/s/sallejo01.html, /players/s/sellebr01.html, /players/t/thomach01.html, /players/t/thomais01.html, /players/w/walkeda01.html, /players/w/woolror01.html"
"9","GSW","/players/a/alexavi01.html, /players/a/askewvi01.html, /players/b/battlke01.html, /players/b/buechju01.html, /players/e/eliema01.html, /players/g/gatlich01.html, /players/h/hardati01.html, /players/h/higgiro01.html, /players/h/hillty01.html, /players/j/jacksja01.html, /players/l/listeal01.html, /players/m/marcisa01.html, /players/m/masseto01.html, /players/m/mullich01.html, /players/o/owensbi01.html, /players/p/peterji01.html, /players/s/smrekmi01.html, /players/t/thompbi01.html, /players/t/tolbeto01.html"
"10","HOU","/players/b/bullama01.html, /players/f/floydsl01.html, /players/g/godfrda01.html, /players/h/hendege01.html, /players/h/herreca01.html, /players/j/jamerda01.html, /players/j/johnsav01.html, /players/j/johnsbu01.html, /players/m/maxweve01.html, /players/o/olajuha01.html, /players/r/rollitr01.html, /players/s/smithke01.html, /players/s/smithla01.html, /players/t/thorpot01.html, /players/t/turnejo01.html, /players/w/winchke01.html"
"11","IND","/players/d/davisda01.html, /players/d/dreilgr01.html, /players/f/flemive01.html, /players/g/greense01.html, /players/l/laneje01.html, /players/m/mccloge01.html, /players/m/millere01.html, /players/p/persoch01.html, /players/s/sandemi01.html, /players/s/schrede01.html, /players/s/smitsri01.html, /players/t/thompla01.html, /players/w/willike03.html, /players/w/willimi02.html, /players/w/wittmra01.html"
"12","LAC","/players/b/brownto01.html, /players/c/copella01.html, /players/e/edwarja01.html, /players/e/ellisle02.html, /players/g/grantga01.html, /players/h/harpero01.html, /players/k/kimblbo01.html, /players/m/mannida01.html, /players/m/mayesth01.html, /players/n/normake01.html, /players/p/perryel01.html, /players/p/polynol01.html, /players/r/riverda01.html, /players/r/riverdo01.html, /players/s/smithch01.html, /players/v/vaughlo01.html, /players/y/youngda01.html"
"13","LAL","/players/b/brownch01.html, /players/c/calipde01.html, /players/c/campbel01.html, /players/d/divacvl01.html, /players/g/greenac01.html, /players/h/haleyja01.html, /players/o/owenske01.html, /players/p/perkisa01.html, /players/r/robincl01.html, /players/s/scottby01.html, /players/s/smithto02.html, /players/s/sparrro01.html, /players/t/teaglte01.html, /players/t/threase01.html, /players/w/worthja01.html"
"14","MIA","/players/a/askinke01.html, /players/b/babicmi01.html, /players/b/bennewi01.html, /players/b/burtowi01.html, /players/c/colesbi01.html, /players/d/douglsh01.html, /players/e/edwarke01.html, /players/k/kesslal01.html, /players/l/longgr01.html, /players/m/mortojo01.html, /players/o/oggal01.html, /players/r/ricegl01.html, /players/s/seikaro01.html, /players/s/shawbr01.html, /players/s/smithst01.html, /players/s/sundvjo01.html"
"15","MIL","/players/b/brickfr01.html, /players/c/connele01.html, /players/e/ellisda01.html, /players/g/grayeje01.html, /players/h/hensost01.html, /players/h/humphja01.html, /players/k/krystla01.html, /players/l/laneje01.html, /players/l/lohaubr01.html, /players/m/malonmo01.html, /players/p/popsoda01.html, /players/r/roberfr01.html, /players/r/roberal01.html, /players/s/schayda01.html"
"16","MIN","/players/b/baileth01.html, /players/b/breuera01.html, /players/b/brooksc01.html, /players/b/brownmy01.html, /players/c/campbto01.html, /players/c/corbity01.html, /players/f/frankte01.html, /players/g/garrito01.html, /players/g/glassge01.html, /players/l/longllu01.html, /players/m/mitchsa01.html, /players/m/murphto01.html, /players/r/randama01.html, /players/r/richapo01.html, /players/s/spencfe01.html, /players/w/westdo01.html"
"17","NJN","/players/a/addisra01.html, /players/a/anderke01.html, /players/b/blaylmo01.html, /players/b/bowiesa01.html, /players/b/buechju01.html, /players/c/colemde01.html, /players/d/dudlech02.html, /players/f/feitlda01.html, /players/g/georgta01.html, /players/l/leedo01.html, /players/m/millste01.html, /players/m/morrich01.html, /players/p/petrodr01.html"
"18","NYK","/players/a/anthogr01.html, /players/d/donalja01.html, /players/e/eddiepa01.html, /players/e/ewingpa01.html, /players/j/jacksma01.html, /players/m/masonan01.html, /players/m/mccorti01.html, /players/m/mcdanxa01.html, /players/m/mckinca01.html, /players/o/oaklech01.html, /players/q/quinnbr01.html, /players/s/starkjo01.html, /players/v/vandeki01.html, /players/w/wilkige01.html, /players/w/winchke01.html"
"19","ORL","/players/a/acresma01.html, /players/a/anderni01.html, /players/b/bowiean01.html, /players/c/catlete01.html, /players/c/corchch01.html, /players/d/delebi01.html, /players/h/higgise01.html, /players/k/kitegr01.html, /players/r/reynoje01.html, /players/r/roberst01.html, /players/s/scottde01.html, /players/s/skilesc01.html, /players/s/smithot01.html, /players/t/thompst01.html, /players/t/turneje01.html, /players/v/vincesa01.html, /players/w/wileymo01.html"
"20","PHI","/players/a/anderro01.html, /players/a/anslemi01.html, /players/b/barklch01.html, /players/b/bolma01.html, /players/d/dawkijo01.html, /players/g/gilliar01.html, /players/g/grantgr01.html, /players/h/hawkihe01.html, /players/h/hoppeda01.html, /players/m/mayesth01.html, /players/o/olivebr01.html, /players/p/payneke01.html, /players/r/rulanje01.html, /players/s/shackch01.html, /players/w/wiggimi01.html, /players/w/willija01.html"
"21","PHO","/players/b/burttst01.html, /players/c/cebalce01.html, /players/c/chambto01.html, /players/h/hornaje01.html, /players/j/johnske02.html, /players/k/knighne01.html, /players/l/langan01.html, /players/m/majerda01.html, /players/m/mustaje01.html, /players/n/nealyed01.html, /players/p/perryti01.html, /players/r/rambiku01.html, /players/w/westma01.html"
"22","POR","/players/a/abdelal01.html, /players/a/aingeda01.html, /players/b/bryanma01.html, /players/c/coopewa01.html, /players/d/drexlcl01.html, /players/d/duckwke01.html, /players/k/kerseje01.html, /players/p/packro01.html, /players/p/portete01.html, /players/r/robincl02.html, /players/s/strotla01.html, /players/w/whatlen01.html, /players/w/willibu01.html, /players/y/youngda01.html"
"23","SAC","/players/b/bonnean01.html, /players/b/brownra02.html, /players/c/causwdu01.html, /players/c/chilcpe01.html, /players/h/hansebo01.html, /players/h/hopsode01.html, /players/j/jepsele01.html, /players/l/lesji01.html, /players/r/richmmi01.html, /players/s/schefst01.html, /players/s/schindw01.html, /players/s/simmoli01.html, /players/t/thomaca01.html, /players/t/thompst01.html, /players/t/tisdawa01.html, /players/w/webbsp01.html"
"24","SAS","/players/a/anderwi01.html, /players/b/bardost01.html, /players/b/buechju01.html, /players/c/carran01.html, /players/c/copato01.html, /players/c/cummite01.html, /players/e/elliose01.html, /players/g/garrito01.html, /players/g/greensi02.html, /players/h/higgise01.html, /players/j/johnsav01.html, /players/j/johnsvi01.html, /players/m/masseto01.html, /players/p/presspa01.html, /players/r/robinda01.html, /players/r/royaldo01.html, /players/s/stricro02.html, /players/s/suttogr01.html, /players/t/tucketr01.html, /players/w/wileymo01.html"
"25","SEA","/players/b/barroda01.html, /players/b/benjabe01.html, /players/b/brownto01.html, /players/c/cagemi01.html, /players/c/conloma01.html, /players/d/dailequ01.html, /players/j/johnsed03.html, /players/k/kempsh01.html, /players/k/kingri01.html, /players/k/kofoeba01.html, /players/m/mckeyde01.html, /players/m/mcmilna01.html, /players/p/paytoga01.html, /players/p/piercri01.html"
"26","UTA","/players/a/austiis01.html, /players/b/baileth01.html, /players/b/benoida01.html, /players/b/brownmi01.html, /players/c/corbity01.html, /players/c/crowdco01.html, /players/e/eatonma01.html, /players/e/edwarbl01.html, /players/m/malonje01.html, /players/m/malonka01.html, /players/m/murdoer01.html, /players/r/ruddde01.html, /players/s/stockjo01.html, /players/t/thornbo01.html"
