"","Tm","roster"
"1","ATL","/players/a/adamsja01.html, /players/a/anderju01.html, /players/b/bazemke01.html, /players/b/bembrde01.html, /players/c/cartevi01.html, /players/c/collijo01.html, /players/d/davisde01.html, /players/d/dedmode01.html, /players/d/dorsety01.html, /players/h/hamilda02.html, /players/h/huertke01.html, /players/h/humphis01.html, /players/j/johnsbj01.html, /players/l/lenal01.html, /players/l/linje01.html, /players/p/plumlmi01.html, /players/p/poythal01.html, /players/s/siberjo01.html, /players/s/spellom01.html, /players/p/princta02.html, /players/y/youngtr01.html, /players/z/zellety01.html"
"2","BOS","/players/b/baynear01.html, /players/b/brownja02.html, /players/d/doziepj01.html, /players/h/haywago01.html, /players/h/horfoal01.html, /players/h/hunterj01.html, /players/i/irvinky01.html, /players/m/monrogr01.html, /players/m/morrima03.html, /players/o/ojelese01.html, /players/r/roziete01.html, /players/s/smartma01.html, /players/t/tatumja01.html, /players/t/theisda01.html, /players/w/wanambr01.html, /players/w/williro04.html, /players/y/yabusgu01.html"
"3","BRK","/players/a/allenja01.html, /players/c/carrode01.html, /players/c/crabbal01.html, /players/c/creekmi01.html, /players/d/davised01.html, /players/d/dinwisp01.html, /players/d/dudleja01.html, /players/f/farieke01.html, /players/g/grahatr01.html, /players/h/harrijo01.html, /players/h/holliro01.html, /players/k/kurucro01.html, /players/l/leverca01.html, /players/m/mccalta01.html, /players/m/musadz01.html, /players/n/napiesh01.html, /players/p/pinsoth01.html, /players/r/russeda01.html, /players/w/willial03.html"
"4","CHI","/players/a/alkinra01.html, /players/a/arcidry01.html, /players/b/blakean01.html, /players/c/cartewe01.html, /players/d/dunnkr01.html, /players/f/feliccr01.html, /players/h/harrish01.html, /players/h/holidju01.html, /players/h/hutchch01.html, /players/l/lavinza01.html, /players/l/lemonwa01.html, /players/l/lopezro01.html, /players/l/luwawti01.html, /players/m/markkla01.html, /players/p/parkeja01.html, /players/p/payneca01.html, /players/p/porteot01.html, /players/p/portibo01.html, /players/s/sampsbr01.html, /players/s/sampsja02.html, /players/s/seldewa01.html, /players/u/ulisty01.html"
"5","CHO","/players/b/bacondw01.html, /players/b/batumni01.html, /players/b/biyombi01.html, /players/b/bridgmi02.html, /players/c/chealjo01.html, /players/g/grahade01.html, /players/h/hernawi01.html, /players/k/kaminfr01.html, /players/k/kiddgmi01.html, /players/l/lambje01.html, /players/m/macksh01.html, /players/m/macurjp01.html, /players/m/monkma01.html, /players/p/parketo01.html, /players/w/walkeke02.html, /players/w/willima02.html, /players/z/zelleco01.html"
"6","CLE","/players/a/adelde01.html, /players/b/blossja01.html, /players/b/burksal01.html, /players/c/chrisma01.html, /players/c/clarkjo01.html, /players/d/dekkesa01.html, /players/d/dellama01.html, /players/f/fryech01.html, /players/h/harrian01.html, /players/h/hillge01.html, /players/h/hollajo02.html, /players/h/hoodro01.html, /players/j/jonesja04.html, /players/k/knighbr03.html, /players/k/korveky01.html, /players/l/loveke01.html, /players/m/mccawpa01.html, /players/n/nancela02.html, /players/n/nwabada01.html, /players/o/osmande01.html, /players/p/payneca01.html, /players/s/sextoco01.html, /players/s/simmoko01.html, /players/s/smithjr01.html, /players/s/stausni01.html, /players/t/thomptr01.html, /players/z/zizican01.html"
"7","DAL","/players/a/antetko01.html, /players/b/bareajo01.html, /players/b/barneha02.html, /players/b/broekry01.html, /players/b/brunsja01.html, /players/b/burketr01.html, /players/d/doncilu01.html, /players/f/finnedo01.html, /players/h/hardati02.html, /players/h/harride01.html, /players/j/jacksju01.html, /players/j/jordade01.html, /players/k/klebima01.html, /players/l/leeco01.html, /players/m/maconda01.html, /players/m/matthwe02.html, /players/m/mejrisa01.html, /players/n/nowitdi01.html, /players/p/poweldw01.html, /players/s/smithde03.html, /players/s/spaldra01.html"
"8","DEN","/players/a/akoonde01.html, /players/b/bartowi01.html, /players/b/beaslma01.html, /players/c/craigto01.html, /players/g/goodwbr01.html, /players/h/harriga01.html, /players/h/hernaju01.html, /players/j/jokicni01.html, /players/l/lydonty01.html, /players/l/lylestr01.html, /players/m/millspa01.html, /players/m/morrimo01.html, /players/m/murraja01.html, /players/p/plumlma01.html, /players/t/thomais02.html, /players/v/vandeja01.html, /players/w/welshth01.html, /players/y/youngni01.html"
"9","DET","/players/b/brownbr01.html, /players/b/bullore01.html, /players/c/caldejo01.html, /players/d/drumman01.html, /players/e/ellenhe01.html, /players/e/ellinwa01.html, /players/g/gallola01.html, /players/g/griffbl01.html, /players/j/jacksre01.html, /players/j/johnsst04.html, /players/k/kennalu01.html, /players/l/leuerjo01.html, /players/l/loftoza01.html, /players/l/lucaska01.html, /players/m/makerth01.html, /players/m/mykhasv01.html, /players/p/pachuza01.html, /players/r/robingl02.html, /players/s/smithis01.html, /players/t/thomakh01.html"
"10","GSW","/players/b/belljo01.html, /players/b/bogutan01.html, /players/c/cookqu01.html, /players/c/couside01.html, /players/c/curryst01.html, /players/d/derrima01.html, /players/d/duranke01.html, /players/e/evansja02.html, /players/g/greendr01.html, /players/i/iguodan01.html, /players/j/jerebjo01.html, /players/j/jonesda03.html, /players/l/leeda03.html, /players/l/livinsh01.html, /players/l/looneke01.html, /players/m/mckinal01.html, /players/t/thompkl01.html"
