"","Tm","roster"
"1","ATL","/players/a/abdursh01.html, /players/b/bowdlca01.html, /players/c/crawfch01.html, /players/d/davisem01.html, /players/g/glovedi01.html, /players/h/hendeal01.html, /players/j/johnsde03.html, /players/k/kukocto01.html, /players/m/mohamna01.html, /players/m/mottoha01.html, /players/n/newblir01.html, /players/r/ratlith01.html, /players/s/simpkdi01.html, /players/s/slatere01.html, /players/s/smithle01.html, /players/s/stricma01.html, /players/t/terryja01.html, /players/v/vaughja01.html"
"2","BOS","/players/a/anderke01.html, /players/b/battito01.html, /players/b/blounma01.html, /players/b/brownke01.html, /players/b/brownra02.html, /players/d/delkto01.html, /players/f/fortejo01.html, /players/j/johnsjo02.html, /players/m/mccarwa01.html, /players/p/palacmi01.html, /players/p/piercpa01.html, /players/p/potapvi01.html, /players/r/rogerro01.html, /players/s/stricer01.html, /players/w/walkean02.html, /players/w/willier01.html"
"3","CHH","/players/a/augmost01.html, /players/b/brownpj01.html, /players/b/bullama01.html, /players/c/campbel01.html, /players/d/davisba01.html, /players/d/drewbr01.html, /players/h/hastoki01.html, /players/l/lynchge01.html, /players/m/magloja01.html, /players/m/mashbja01.html, /players/m/moisoje01.html, /players/n/nailole01.html, /players/r/recasel01.html, /players/t/traylro01.html, /players/w/wesleda01.html"
"4","CHI","/players/a/anthogr01.html, /players/b/bagarda01.html, /players/b/besttr01.html, /players/c/chandty01.html, /players/c/crawfja01.html, /players/c/curryed01.html, /players/f/fizerma01.html, /players/g/guytoaj01.html, /players/h/hassetr01.html, /players/h/hoibefr01.html, /players/m/mercero01.html, /players/m/millebr01.html, /players/o/oaklech01.html, /players/o/ollieke01.html, /players/r/richano01.html, /players/r/robined01.html, /players/r/roseja01.html, /players/a/artesro01.html"
"5","CLE","/players/c/colesbi01.html, /players/d/davisri01.html, /players/d/diopde01.html, /players/d/doleami01.html, /players/h/hillty01.html, /players/i/ilgauzy01.html, /players/j/jonesju01.html, /players/l/langdtr01.html, /players/m/mihmch01.html, /players/m/millean02.html, /players/m/murrala01.html, /players/p/persowe01.html, /players/s/skinnbr01.html, /players/s/stithbr01.html, /players/t/trepaje01.html"
"6","DAL","/players/a/abdulta01.html, /players/b/bellch01.html, /players/b/bradlsh01.html, /players/b/buckngr01.html, /players/e/eschmev01.html, /players/f/finlemi01.html, /players/g/griffad01.html, /players/h/hardati01.html, /players/h/harvedo01.html, /players/h/howarju01.html, /players/j/johnsav01.html, /players/l/lafrera01.html, /players/m/mannida01.html, /players/m/martida01.html, /players/n/najered01.html, /players/n/nashst01.html, /players/n/newmajo01.html, /players/n/nowitdi01.html, /players/v/vanexni01.html, /players/z/zhizhwa01.html"
"7","DEN","/players/a/abdulta01.html, /players/a/anderch01.html, /players/a/arroyca01.html, /players/b/bateeme01.html, /players/b/bowenry01.html, /players/c/cheanca01.html, /players/h/hamilze01.html, /players/h/hardati01.html, /players/h/harvedo01.html, /players/h/howarju01.html, /players/j/johnsav01.html, /players/l/lafrera01.html, /players/l/lenarvo01.html, /players/m/mccloge01.html, /players/m/mcdyean01.html, /players/p/poseyja01.html, /players/r/rideris01.html, /players/s/satteke01.html, /players/s/scottsh01.html, /players/v/vanexni01.html, /players/w/willisc01.html"
"8","DET","/players/a/alexavi01.html, /players/a/atkinch01.html, /players/b/barroda01.html, /players/b/barryjo01.html, /players/c/cardibr01.html, /players/c/currymi01.html, /players/j/jonesda01.html, /players/m/mooremi01.html, /players/r/rebraze01.html, /players/r/robincl02.html, /players/s/stackje01.html, /players/v/vardara01.html, /players/w/wallabe01.html, /players/w/whitero02.html, /players/w/willico02.html"
"9","GSW","/players/a/arenagi01.html, /players/b/blaylmo01.html, /players/d/dampier01.html, /players/f/fortsda01.html, /players/f/foylead01.html, /players/g/garrede01.html, /players/h/hendece02.html, /players/h/hughela01.html, /players/j/jacksma02.html, /players/j/jamisan01.html, /players/m/millsch01.html, /players/m/murphtr01.html, /players/o/olivede01.html, /players/r/richaja01.html, /players/s/surabo01.html"
"10","HOU","/players/b/brownti01.html, /players/c/catoke01.html, /players/c/collija02.html, /players/f/francst01.html, /players/g/griffed01.html, /players/l/langhda01.html, /players/m/moblecu01.html, /players/m/morrite01.html, /players/n/norrimo01.html, /players/r/ricegl01.html, /players/t/thomake01.html, /players/t/torreos01.html, /players/w/williwa02.html, /players/w/willike02.html"
"11","IND","/players/b/bendejo01.html, /players/b/besttr01.html, /players/b/breweja01.html, /players/b/brezepr01.html, /players/c/croshau01.html, /players/f/fosteje01.html, /players/h/harrial01.html, /players/m/mercero01.html, /players/m/millebr01.html, /players/m/millere01.html, /players/o/onealje01.html, /players/o/ollieke01.html, /players/r/richano01.html, /players/r/rogerca01.html, /players/r/roseja01.html, /players/s/sundobr01.html, /players/t/tinslja01.html, /players/a/artesro01.html"
"12","LAC","/players/b/boykiea01.html, /players/b/brandel01.html, /players/d/doolike01.html, /players/e/ekeziob01.html, /players/f/fowlktr01.html, /players/j/jamisha01.html, /players/m/maggeco01.html, /players/m/mcinnje01.html, /players/m/milesda01.html, /players/o/odomla01.html, /players/o/olowomi01.html, /players/o/overtdo01.html, /players/p/piatker01.html, /players/r/recasel01.html, /players/r/richaqu01.html, /players/r/rooksse01.html"
