"","Tm","roster"
"1","BAL","/players/b/bellawa01.html, /players/c/cableba01.html, /players/c/comlela01.html, /players/d/dischte01.html, /players/g/greensi01.html, /players/h/hardnch01.html, /players/h/hoguedu01.html, /players/j/johnsgu01.html, /players/k/kojisdo01.html, /players/l/loughke01.html, /players/m/mcgilbi01.html, /players/p/peterme01.html, /players/s/shuege01.html, /players/s/stavela01.html, /players/s/stricro01.html, /players/t/thornro01.html"
"2","BOS","/players/h/havlijo01.html, /players/h/heinsto01.html, /players/j/joneskc01.html, /players/j/jonessa01.html, /players/l/loscuji01.html, /players/l/lovelcl01.html, /players/m/mccarjo01.html, /players/n/naullwi01.html, /players/r/ramsefr01.html, /players/r/russebi01.html, /players/s/sandeto01.html, /players/s/siegfla01.html"
"3","CIN","/players/a/arnetja01.html, /players/b/bockhbu01.html, /players/b/boozebo01.html, /players/e/embrywa01.html, /players/h/hawkito01.html, /players/l/lucasje01.html, /players/o/olsenbu01.html, /players/r/roberos01.html, /players/s/smithad01.html, /players/s/stavela01.html, /players/t/thackto01.html, /players/t/twymaja01.html"
"4","DET","/players/b/butchdo01.html, /players/d/debusda01.html, /players/d/duffybo02.html, /players/e/eganjo01.html, /players/f/ferrybo01.html, /players/h/hardire01.html, /players/h/howelba01.html, /players/i/imhofda01.html, /players/j/joneswi01.html, /players/l/loughke01.html, /players/m/milesed01.html, /players/m/morelja01.html, /players/o/ohldo01.html, /players/s/scottra01.html, /players/s/stavela01.html"
"5","LAL","/players/b/barnedi01.html, /players/b/bayloel01.html, /players/e/ellisle01.html, /players/g/gibsome01.html, /players/k/kingji01.html, /players/k/krebsji01.html, /players/l/larusru01.html, /players/n/nelsodo01.html, /players/r/reedhu01.html, /players/s/selvyfr01.html, /players/w/westje01.html, /players/w/wileyge01.html"
"6","NYK","/players/b/boozebo01.html, /players/b/buddda01.html, /players/b/butchdo01.html, /players/b/butleal01.html, /players/c/chapple01.html, /players/c/conlege01.html, /players/d/duffybo02.html, /players/e/eganjo01.html, /players/g/golato01.html, /players/g/greenjo01.html, /players/g/gueriri01.html, /players/h/harknje01.html, /players/h/heymaar01.html, /players/h/hoguedu01.html, /players/h/hooveto01.html, /players/m/mcgilbi01.html, /players/n/nordmbe01.html, /players/r/rudomjo01.html"
"7","PHI","/players/b/biancal01.html, /players/c/chapple01.html, /players/c/costela01.html, /players/d/dierkco01.html, /players/g/gambeda01.html, /players/g/greenje01.html, /players/g/greerha01.html, /players/k/kerrre01.html, /players/n/neumapa01.html, /players/s/schaydo01.html, /players/s/shaffle01.html, /players/w/walkech01.html, /players/w/warlebe01.html, /players/w/whitehu01.html"
"8","SFW","/players/a/attleal01.html, /players/c/chambwi01.html, /players/h/hightwa01.html, /players/h/hillga01.html, /players/l/leege01.html, /players/m/meschto01.html, /players/p/phillga01.html, /players/r/rodgegu01.html, /players/s/searske01.html, /players/t/thurmna01.html, /players/w/windsjo01.html"
"9","STL","/players/b/barnhjo01.html, /players/b/beatyze01.html, /players/b/bridgbi01.html, /players/d/duffybo02.html, /players/f/farmemi01.html, /players/g/gueriri01.html, /players/h/hagancl01.html, /players/n/nordmbe01.html, /players/p/pettibo01.html, /players/r/rohloke01.html, /players/t/tormobu01.html, /players/v/vaughch01.html, /players/w/wardge01.html, /players/w/wilkele01.html"
