"","Tm","roster"
"1","ATL","/players/a/adamsdo01.html, /players/b/bellawa01.html, /players/b/bridgbi01.html, /players/c/chrisbo01.html, /players/d/davisji01.html, /players/g/gillihe01.html, /players/h/halimsh01.html, /players/h/hallije01.html, /players/h/hudsolo01.html, /players/m/maravpe01.html, /players/m/maydo01.html, /players/p/payneto01.html, /players/s/siegfla01.html, /players/t/trappge01.html, /players/v/vallejo01.html, /players/w/washiji01.html, /players/w/willimi01.html"
"2","BAL","/players/c/cartefr01.html, /players/c/cheniph01.html, /players/c/clarkar01.html, /players/d/driscte01.html, /players/j/johnsgu01.html, /players/l/loughke01.html, /players/l/lovest01.html, /players/m/marinja01.html, /players/m/monroea01.html, /players/m/murredo01.html, /players/r/rinalri01.html, /players/r/riordmi01.html, /players/s/stallda01.html, /players/t/tresvjo01.html, /players/u/unselwe01.html, /players/z/zellega01.html"
"3","BOS","/players/c/chanedo01.html, /players/c/cowenda01.html, /players/f/finkeha01.html, /players/g/glovecl01.html, /players/h/havlijo01.html, /players/k/kuberst01.html, /players/m/morgare01.html, /players/n/nelsodo01.html, /players/s/sandeto01.html, /players/s/smithga01.html, /players/w/whitejo01.html, /players/w/williar01.html"
"4","BUF","/players/b/bryanem01.html, /players/c/chambje01.html, /players/d/davismi01.html, /players/g/garredi01.html, /players/a/abdulma01.html, /players/h/hiltofr01.html, /players/h/hoskebi01.html, /players/h/hummejo01.html, /players/k/kauffbo01.html, /players/s/smithel01.html, /players/s/smithra01.html, /players/w/warneco01.html"
"5","CHI","/players/b/boerwto01.html, /players/c/colliji01.html, /players/d/dinkija01.html, /players/f/foxji01.html, /players/k/kingji01.html, /players/l/lovebo01.html, /players/m/mcintke01.html, /players/p/paulkch01.html, /players/p/porteho01.html, /players/r/raycl01.html, /players/s/sloanje01.html, /players/v/vanlino01.html, /players/w/walkech01.html, /players/w/weissbo01.html"
"6","CIN","/players/a/architi01.html, /players/c/catlesi01.html, /players/d/durreke01.html, /players/f/foxji01.html, /players/g/greenjo01.html, /players/g/guokama02.html, /players/i/imhofda01.html, /players/j/jonesja01.html, /players/l/laceysa01.html, /players/m/mcgregi01.html, /players/m/mengejo01.html, /players/t/taylofr01.html, /players/v/vanarto01.html, /players/v/vanlino01.html, /players/w/willina01.html"
"7","CLE","/players/b/beardbu01.html, /players/c/carrau01.html, /players/d/davisch01.html, /players/h/howargr01.html, /players/j/johnsjo01.html, /players/p/pattest01.html, /players/r/rackllu01.html, /players/r/ridglja01.html, /players/r/roberri01.html, /players/s/smithbi02.html, /players/s/sorenda01.html, /players/w/warrejo01.html, /players/w/washibo01.html, /players/w/weslewa01.html"
"8","DET","/players/b/bingda01.html, /players/d/davisji01.html, /players/d/dischte01.html, /players/h/hewitbi01.html, /players/k/komivho01.html, /players/l/laniebo01.html, /players/m/marlaha01.html, /players/m/mixst01.html, /players/m/mueller01.html, /players/n/norwowi01.html, /players/q/quickbo01.html, /players/r/rowecu01.html, /players/w/walkeji01.html, /players/w/wilsois01.html"
"9","GSW","/players/a/allisod01.html, /players/b/barneji02.html, /players/b/bartovi01.html, /players/e/ellisjo01.html, /players/j/jonesni01.html, /players/l/leecl01.html, /players/m/mullije01.html, /players/p/portmbo01.html, /players/r/russeca01.html, /players/t/thurmna01.html, /players/t/turnebi01.html, /players/w/williro01.html"
"10","HOU","/players/a/adamsdo01.html, /players/c/cunnidi01.html, /players/d/davisji01.html, /players/e/eganjo01.html, /players/g/gibbsdi01.html, /players/h/hayesel01.html, /players/l/lantzst01.html, /players/m/mclemmc01.html, /players/m/meelycl01.html, /players/m/murphca01.html, /players/n/newlimi01.html, /players/p/perrycu01.html, /players/s/siegfla01.html, /players/s/smithgr01.html, /players/t/tomjaru01.html, /players/v/vallejo01.html"
