"","Tm","roster"
"1","ATL","/players/c/crissch01.html, /players/d/drewjo01.html, /players/g/glennmi01.html, /players/h/hawesst01.html, /players/j/johnsed02.html, /players/m/macklru01.html, /players/m/matthwe01.html, /players/m/mcelrji01.html, /players/m/mcmilto01.html, /players/p/pellosa01.html, /players/r/rollitr01.html, /players/r/roundda01.html, /players/s/sheltcr01.html, /players/s/sparrro01.html, /players/w/willifr01.html, /players/w/woodal01.html"
"2","BOS","/players/a/aingeda01.html, /players/a/architi01.html, /players/b/birdla01.html, /players/b/bradlch01.html, /players/c/carrml01.html, /players/d/duerote01.html, /players/f/fernser01.html, /players/f/fordch01.html, /players/h/hendege01.html, /players/j/jackstr01.html, /players/m/maxwece01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/r/robeyri01.html"
"3","CHI","/players/b/blumera01.html, /players/b/burkmro01.html, /players/d/dietrco01.html, /players/g/gilmoar01.html, /players/g/greenda01.html, /players/j/jackstr01.html, /players/j/jonesdw01.html, /players/k/kenonla01.html, /players/l/lestero01.html, /players/r/robinja01.html, /players/s/soberri01.html, /players/t/theusre01.html, /players/w/wilkeja02.html, /players/w/woolror01.html"
"4","CLE","/players/b/benneme01.html, /players/b/bransbr01.html, /players/b/brewero01.html, /players/c/carrke01.html, /players/d/dillami01.html, /players/e/edwarja01.html, /players/e/evansmi01.html, /players/f/forddo01.html, /players/h/herroke01.html, /players/h/hubbaph01.html, /players/h/hustoge01.html, /players/j/johnsre01.html, /players/l/laimbbi01.html, /players/m/mitchmi01.html, /players/m/mokespa01.html, /players/m/moorelo01.html, /players/p/pheglro01.html, /players/r/restake01.html, /players/r/robincl01.html, /players/s/silasja01.html, /players/w/washiri01.html, /players/w/wedmasc01.html, /players/w/wilkebo01.html"
"5","DAL","/players/a/aguirma01.html, /players/b/blackro01.html, /players/b/bristal01.html, /players/c/coopewa01.html, /players/d/davisbr01.html, /players/k/keacl01.html, /players/l/lagarto01.html, /players/l/lloydsc01.html, /players/m/mackol01.html, /players/n/nimphku01.html, /players/s/spanaji01.html, /players/t/turneel01.html, /players/v/vinceja01.html"
"6","DEN","/players/b/burnsda01.html, /players/d/dunntr01.html, /players/e/englial01.html, /players/g/gondrgl01.html, /players/h/higgske01.html, /players/h/hordgce01.html, /players/i/isselda01.html, /players/m/mckinbi01.html, /players/r/rayja01.html, /players/r/robisda01.html, /players/r/rochejo01.html, /players/t/thompda01.html, /players/v/vandeki01.html"
"7","DET","/players/b/bensoke01.html, /players/c/carrke01.html, /players/h/hagangl01.html, /players/h/hardyal01.html, /players/h/hayesst01.html, /players/h/hubbaph01.html, /players/j/johnsvi01.html, /players/j/jonesed01.html, /players/j/judkije01.html, /players/k/kelsegr01.html, /players/l/laimbbi01.html, /players/l/leero01.html, /players/l/longjo01.html, /players/m/mokespa01.html, /players/t/thomais01.html, /players/t/tripuke01.html, /players/t/tylerte01.html, /players/w/wrighla01.html"
"8","GSW","/players/b/brownri01.html, /players/c/carrojo01.html, /players/f/freewo01.html, /players/g/galemi01.html, /players/h/hassejo01.html, /players/k/kingbe01.html, /players/l/lloydle01.html, /players/m/mcdowha01.html, /players/p/parkeso01.html, /players/r/romarlo01.html, /players/s/shortpu01.html, /players/s/smithla01.html, /players/w/willisa02.html"
"9","HOU","/players/d/dunlemi01.html, /players/g/garreca01.html, /players/h/hayesel01.html, /players/h/hendeto01.html, /players/j/jonesma01.html, /players/l/leaveal01.html, /players/m/malonmo01.html, /players/m/murphca01.html, /players/o/oldhaja01.html, /players/p/paultbi01.html, /players/r/reidro01.html, /players/s/sprigla01.html, /players/w/willobi01.html"
"10","IND","/players/b/bantomi01.html, /players/b/busedo01.html, /players/c/cartebu01.html, /players/d/davisjo01.html, /players/j/johnscl01.html, /players/j/johnsge03.html, /players/k/knighbi01.html, /players/m/mcginge01.html, /players/o/orrlo01.html, /players/o/owensto01.html, /players/s/sichtje01.html, /players/t/townsra01.html, /players/w/willihe01.html"
"11","KCK","/players/d/dennake01.html, /players/d/douglle01.html, /players/d/drewla01.html, /players/f/fordph01.html, /players/g/grunfer01.html, /players/j/johnsed03.html, /players/j/johnsre01.html, /players/j/johnsst03.html, /players/k/kingre01.html, /players/l/laceysa01.html, /players/l/lambejo01.html, /players/l/loderke01.html, /players/m/meriwjo01.html, /players/r/robincl01.html, /players/w/whitnha02.html, /players/w/woodsmi01.html"
"12","LAL","/players/a/abdulka01.html, /players/b/breweji01.html, /players/c/coopemi01.html, /players/j/johnscl02.html, /players/j/johnsma02.html, /players/j/jordaed01.html, /players/k/kupchmi01.html, /players/l/landsma01.html, /players/m/mcadobo01.html, /players/m/mcgeemi01.html, /players/m/mckenke01.html, /players/n/nixonno01.html, /players/r/rambiku01.html, /players/w/wilkeja01.html"
"13","MIL","/players/b/bridgju01.html, /players/b/bucknqu01.html, /players/c/catchha01.html, /players/c/crompge01.html, /players/c/cummipa01.html, /players/d/dandrbo01.html, /players/e/evansmi01.html, /players/h/hollabr01.html, /players/j/johnsma01.html, /players/j/johnsmi01.html, /players/l/laniebo01.html, /players/l/listeal01.html, /players/m/maysc01.html, /players/m/moncrsi01.html, /players/s/smithro01.html, /players/s/stacoke01.html, /players/w/wintebr01.html"
"14","NJN","/players/b/baileja01.html, /players/b/birdsot01.html, /players/b/burnsda01.html, /players/c/cookda01.html, /players/c/coopejo01.html, /players/e/elmorle01.html, /players/g/gminsmi01.html, /players/k/kingal01.html, /players/l/laceysa01.html, /players/o/okoremi01.html, /players/t/tolbera01.html, /players/v/vanbrja01.html, /players/w/walkefo01.html, /players/w/willibu01.html, /players/w/willira01.html, /players/w/woodsmi01.html"
"15","NYK","/players/b/bradlal02.html, /players/c/cartere01.html, /players/c/cartwbi01.html, /players/c/copelho01.html, /players/d/demicla01.html, /players/k/knighto01.html, /players/l/lucasma01.html, /players/n/newlimi01.html, /players/r/richami01.html, /players/r/russeca02.html, /players/s/scalede01.html, /players/s/smithra01.html, /players/w/webstma01.html, /players/w/westppa01.html, /players/w/willisl01.html"
"16","PHI","/players/b/bantomi01.html, /players/c/cheekma01.html, /players/c/curetea01.html, /players/d/dawkida01.html, /players/e/edwarfr01.html, /players/e/ervinju01.html, /players/h/hollili01.html, /players/j/johnsol01.html, /players/j/jonesbo01.html, /players/j/jonesca01.html, /players/m/mixst01.html, /players/r/richacl01.html, /players/t/toneyan01.html"
"17","PHO","/players/a/adamsal01.html, /players/b/bradldu01.html, /players/c/cookje01.html, /players/d/daviswa03.html, /players/d/dykemcr01.html, /players/j/johnsde01.html, /players/k/kelleri01.html, /players/k/kramejo01.html, /players/m/macyky01.html, /players/m/mcculjo01.html, /players/n/nancela01.html, /players/r/robintr01.html, /players/s/scottal01.html"
"18","POR","/players/a/awtrede01.html, /players/b/baileca01.html, /players/b/batesbi01.html, /players/g/grossbo01.html, /players/g/gudmupe01.html, /players/h/harpemi01.html, /players/k/kunneke01.html, /players/l/lampje01.html, /players/n/nattca01.html, /players/p/paxsoji02.html, /players/r/ranseke01.html, /players/t/thompmy01.html, /players/v/valenda01.html, /players/v/verhope01.html, /players/w/washike01.html"
"19","SAS","/players/b/banksge01.html, /players/b/bratzmi01.html, /players/b/brewero01.html, /players/c/corzida01.html, /players/g/gervige01.html, /players/g/griffpa01.html, /players/h/hayesst01.html, /players/j/johnsge02.html, /players/j/johnsre01.html, /players/l/lambejo01.html, /players/m/mitchmi01.html, /players/m/moorejo01.html, /players/o/olberma01.html, /players/p/pheglro01.html, /players/r/rainsed01.html, /players/r/restake01.html, /players/y/yonakri01.html"
"20","SDC","/players/b/brogaji01.html, /players/b/brookmi01.html, /players/b/bryanjo01.html, /players/c/chambto01.html, /players/c/crissch01.html, /players/d/davisro01.html, /players/d/dougljo01.html, /players/h/hillar01.html, /players/l/leero02.html, /players/n/natersw01.html, /players/s/smithji01.html, /players/s/smithph01.html, /players/t/taylobr01.html, /players/w/whiteje01.html, /players/w/wileymi01.html, /players/w/willifr01.html, /players/w/woodal01.html"
"21","SEA","/players/b/baileja01.html, /players/b/brownfr01.html, /players/d/donalja01.html, /players/h/hanzlbi01.html, /players/h/hillar01.html, /players/j/johnsjo01.html, /players/j/johnsvi01.html, /players/k/kelsegr01.html, /players/r/radfoma01.html, /players/s/sheltlo01.html, /players/s/sikmaja01.html, /players/s/smithph01.html, /players/t/tolbera01.html, /players/v/vraneda01.html, /players/w/walkewa01.html, /players/w/willigu01.html"
"22","UTA","/players/c/cattabo01.html, /players/d/dantlad01.html, /players/d/durenjo01.html, /players/g/greenri01.html, /players/g/griffda01.html, /players/h/hardyja01.html, /players/n/nicksca01.html, /players/p/poquebe01.html, /players/r/robinbi01.html, /players/s/schayda01.html, /players/w/wilkije01.html, /players/w/woodho01.html, /players/w/worthsa01.html"
