"","Tm","roster"
"1","ATL","/players/b/bowdlca01.html, /players/b/bowmair01.html, /players/c/colsose01.html, /players/c/crawfch01.html, /players/g/glovedi01.html, /players/h/hendeal01.html, /players/j/jacksji01.html, /players/j/johnsan02.html, /players/j/johnsde03.html, /players/k/knighbr01.html, /players/k/kukocto01.html, /players/m/malonma01.html, /players/m/mcleoro01.html, /players/m/millean01.html, /players/m/mohamna01.html, /players/m/mottoha01.html, /players/m/mutomdi01.html, /players/p/pankoan01.html, /players/r/robinla01.html, /players/s/sanchpe01.html, /players/s/smithto02.html, /players/t/terryja01.html, /players/w/wrighlo02.html"
"2","BOS","/players/a/anderke01.html, /players/b/battito01.html, /players/b/blounma01.html, /players/b/brownra02.html, /players/b/brunsri01.html, /players/c/carrch01.html, /players/g/griffad01.html, /players/h/herrech01.html, /players/m/mccarwa01.html, /players/m/moisoje01.html, /players/o/overtdo01.html, /players/p/palacmi01.html, /players/p/piercpa01.html, /players/p/potapvi01.html, /players/s/stithbr01.html, /players/w/walkean02.html, /players/w/willier01.html"
"3","CHH","/players/b/brownpj01.html, /players/b/burresc01.html, /players/c/campbel01.html, /players/c/colemde01.html, /players/d/davisba01.html, /players/h/hawkihe01.html, /players/j/jamesti01.html, /players/m/magloja01.html, /players/m/mashbja01.html, /players/n/nailole01.html, /players/o/overtdo01.html, /players/r/recasel01.html, /players/r/roberte01.html, /players/r/robined01.html, /players/t/thorpot01.html, /players/w/wesleda01.html"
"4","CHI","/players/b/bagarda01.html, /players/b/benjaco01.html, /players/b/brandel01.html, /players/c/crawfja01.html, /players/d/drewbr01.html, /players/e/elamikh01.html, /players/f/fizerma01.html, /players/g/goodrst01.html, /players/g/guytoaj01.html, /players/h/hoibefr01.html, /players/m/mercero01.html, /players/m/millebr01.html, /players/r/ruffimi01.html, /players/t/tarladr01.html, /players/v/voskuja01.html, /players/a/artesro01.html"
"5","CLE","/players/b/bohanet01.html, /players/b/brownch01.html, /players/c/colesbi01.html, /players/g/gatlich01.html, /players/h/harprma01.html, /players/h/hawkimi01.html, /players/h/hendece02.html, /players/i/ilgauzy01.html, /players/j/jacksji01.html, /players/j/johnsan02.html, /players/k/knighbr01.html, /players/l/langdtr01.html, /players/m/mihmch01.html, /players/m/millean02.html, /players/m/murrala01.html, /players/p/persowe01.html, /players/r/reidjr01.html, /players/r/robinla01.html, /players/t/traylro01.html, /players/w/weathcl01.html"
"6","DAL","/players/a/alexaco02.html, /players/b/boothca01.html, /players/b/bradlsh01.html, /players/b/bryanma01.html, /players/b/buckngr01.html, /players/c/curlebi01.html, /players/d/davishu01.html, /players/e/eisleho01.html, /players/e/ekeziob01.html, /players/f/finlemi01.html, /players/h/harvedo01.html, /players/h/howarju01.html, /players/l/laettch01.html, /players/m/maxweve01.html, /players/n/najered01.html, /players/n/nashst01.html, /players/n/nowitdi01.html, /players/t/trentga01.html, /players/v/vaughlo01.html, /players/z/zhizhwa01.html"
"7","DEN","/players/a/abdulta01.html, /players/b/bowenry01.html, /players/c/cheanca01.html, /players/c/clarkke01.html, /players/d/daviste01.html, /players/g/goldwan01.html, /players/j/josepga01.html, /players/l/lafrera01.html, /players/l/lenarvo01.html, /players/m/mcclida01.html, /players/m/mccloge01.html, /players/m/mcdyean01.html, /players/m/murratr01.html, /players/p/packro01.html, /players/p/poseyja01.html, /players/s/stricma01.html, /players/v/vanexni01.html, /players/w/willike02.html"
"8","DET","/players/a/atkinch01.html, /players/b/barroda01.html, /players/b/buechju01.html, /players/c/cardibr01.html, /players/c/cebalce01.html, /players/c/cleavma01.html, /players/c/currymi01.html, /players/d/davidko01.html, /players/m/montrer01.html, /players/m/mooremi01.html, /players/o/owensbi01.html, /players/s/smithjo02.html, /players/s/stackje01.html, /players/w/wallabe01.html, /players/w/wallajo01.html, /players/w/willije01.html, /players/w/willico02.html"
"9","GSW","/players/b/blaylmo01.html, /players/b/blounco01.html, /players/b/brownch01.html, /players/c/cokerjo01.html, /players/c/cummivo01.html, /players/c/curlebi01.html, /players/d/dampier01.html, /players/d/delnevi01.html, /players/f/fortsda01.html, /players/f/foylead01.html, /players/g/garceru01.html, /players/g/garnech01.html, /players/h/hughela01.html, /players/j/jacksma02.html, /players/j/jamisan01.html, /players/k/keefead01.html, /players/l/livinra01.html, /players/m/mcphepa01.html, /players/m/millsch01.html, /players/m/mullich01.html, /players/p/portech01.html, /players/s/surabo01.html"
"10","HOU","/players/a/andersh01.html, /players/b/bullama01.html, /players/c/catoke01.html, /players/c/collija02.html, /players/c/colsose01.html, /players/f/francst01.html, /players/l/langhda01.html, /players/m/millean01.html, /players/m/moblecu01.html, /players/n/norrimo01.html, /players/o/olajuha01.html, /players/r/rogerca01.html, /players/t/tayloma01.html, /players/t/thomake01.html, /players/w/williwa02.html"
