"","Tm","roster"
"1","ATL","/players/a/alstode01.html, /players/b/barryjo01.html, /players/b/blaylmo01.html, /players/b/boycedo01.html, /players/b/burtowi01.html, /players/c/corbity01.html, /players/h/hancoda01.html, /players/h/hendeal01.html, /players/j/jameshe01.html, /players/l/laettch01.html, /players/l/laudepr01.html, /players/m/millean01.html, /players/m/mutomdi01.html, /players/n/newbiiv01.html, /players/n/normake01.html, /players/r/recasel01.html, /players/s/smithst01.html"
"2","BOS","/players/b/barroda01.html, /players/b/brickfr01.html, /players/b/brownde01.html, /players/c/conloma01.html, /players/d/dayto01.html, /players/d/driggna01.html, /players/e/ellispe01.html, /players/f/foxri01.html, /players/h/hamerst01.html, /players/h/hawkimi01.html, /players/k/kingst01.html, /players/l/listeal01.html, /players/m/minorgr01.html, /players/r/radjadi01.html, /players/s/szabobr01.html, /players/w/walkean02.html, /players/w/wesleda01.html, /players/w/willier01.html"
"3","CHH","/players/a/addisra01.html, /players/b/boguemu01.html, /players/b/burresc01.html, /players/c/chambto01.html, /players/c/curryde01.html, /players/d/delkto01.html, /players/d/divacvl01.html, /players/f/feickja01.html, /players/g/geigema01.html, /players/g/goldwan01.html, /players/l/leckner01.html, /players/m/masonan01.html, /players/p/piercri01.html, /players/r/ricegl01.html, /players/r/rosema01.html, /players/r/royaldo01.html, /players/s/smithto02.html, /players/z/zidekge01.html"
"4","CHI","/players/b/brownra02.html, /players/b/buechju01.html, /players/c/caffeja01.html, /players/d/delebi01.html, /players/h/harpero01.html, /players/j/jordami01.html, /players/k/kerrst01.html, /players/k/kukocto01.html, /players/l/longllu01.html, /players/p/parisro01.html, /players/p/pippesc01.html, /players/r/rodmade01.html, /players/s/simpkdi01.html, /players/s/steigma01.html, /players/w/wennibi01.html"
"5","CLE","/players/b/brandte01.html, /players/f/ferryda01.html, /players/g/gearyre01.html, /players/h/hillty01.html, /players/l/langan02.html, /players/m/marshdo02.html, /players/m/millsch01.html, /players/p/phillbo01.html, /players/p/potapvi01.html, /players/s/scottsh01.html, /players/s/surabo01.html, /players/t/thomaca01.html, /players/w/westma01.html"
"6","DAL","/players/b/bradlsh01.html, /players/c/cassesa01.html, /players/d/danilsa01.html, /players/d/dreilgr01.html, /players/d/dumasto01.html, /players/f/finlemi01.html, /players/g/gatlich01.html, /players/g/greenac01.html, /players/h/harpede01.html, /players/j/jacksji01.html, /players/k/kiddja01.html, /players/k/kingst01.html, /players/m/mashbja01.html, /players/m/mccloge01.html, /players/m/meyerlo01.html, /players/m/milleol01.html, /players/m/montrer01.html, /players/m/muursma01.html, /players/o/obanned01.html, /players/p/packro01.html, /players/r/reevekh01.html, /players/r/roberfr01.html, /players/s/sasseja01.html, /players/s/smithst02.html, /players/s/stricer01.html, /players/w/walkesa01.html, /players/w/watsoja01.html"
"7","DEN","/players/a/allenje01.html, /players/a/askewvi01.html, /players/b/benneel01.html, /players/b/bookeme01.html, /players/e/ellisda01.html, /players/e/ellisla01.html, /players/g/goldwan01.html, /players/h/hamda01.html, /players/h/hammoto01.html, /players/j/jacksma01.html, /players/j/johnser02.html, /players/k/kingji02.html, /players/m/marcisa01.html, /players/m/mcdyean01.html, /players/m/mcinnje01.html, /players/m/murdoer01.html, /players/p/piercri01.html, /players/s/smithke01.html, /players/s/stithbr01.html, /players/t/thompbr01.html, /players/t/thompla01.html, /players/w/williaa01.html, /players/z/zidekge01.html"
"8","DET","/players/a/augmost01.html, /players/c/childra01.html, /players/c/currymi01.html, /players/d/dumarjo01.html, /players/g/greenli01.html, /players/h/hillgr01.html, /players/h/hunteli01.html, /players/l/longgr01.html, /players/m/mahorri01.html, /players/m/mckieaa01.html, /players/m/millste01.html, /players/r/ratlith01.html, /players/r/reiddo01.html, /players/s/smithke01.html, /players/t/thorpot01.html, /players/w/willije01.html"
"9","GSW","/players/a/armstbj01.html, /players/b/bookeme01.html, /players/b/burresc01.html, /players/c/colesbi01.html, /players/d/declean01.html, /players/f/fulleto02.html, /players/m/marshdo01.html, /players/m/mullich01.html, /players/o/owesra01.html, /players/p/pricema01.html, /players/r/roelo01.html, /players/r/royaldo01.html, /players/r/roziecl01.html, /players/s/smithjo02.html, /players/s/spencfe01.html, /players/s/sprewla01.html"
"10","HOU","/players/b/barklch01.html, /players/b/benneel01.html, /players/b/bullama01.html, /players/d/davisem01.html, /players/d/drexlcl01.html, /players/e/eliema01.html, /players/h/harriot01.html, /players/j/johnsed03.html, /players/j/jonesch01.html, /players/l/livinra01.html, /players/m/macksa01.html, /players/m/malonma01.html, /players/m/mooretr01.html, /players/o/olajuha01.html, /players/p/pricebr01.html, /players/s/stephjo01.html, /players/t/threase01.html, /players/w/willike02.html"
