"","Tm","roster"
"1","ATL","/players/b/battljo01.html, /players/c/carran01.html, /players/c/charllo01.html, /players/d/davisjo01.html, /players/h/hastisc01.html, /players/j/johnsed02.html, /players/k/koncajo01.html, /players/l/levincl01.html, /players/r/riverdo01.html, /players/r/rollitr01.html, /players/t/toneyse01.html, /players/w/webbsp01.html, /players/w/wilkido01.html, /players/w/willira01.html, /players/w/willike02.html, /players/w/wittmra01.html"
"2","BOS","/players/a/aingeda01.html, /players/b/birdla01.html, /players/c/carliri01.html, /players/j/johnsde01.html, /players/k/kitegr01.html, /players/m/mchalke01.html, /players/p/parisro01.html, /players/s/sichtje01.html, /players/t/thirdda01.html, /players/v/vincesa01.html, /players/w/waltobi01.html, /players/w/wedmasc01.html, /players/w/willisl01.html"
"3","CHI","/players/b/banksge01.html, /players/b/brewero01.html, /players/b/brownto01.html, /players/c/corzida01.html, /players/d/dailequ01.html, /players/g/gervige01.html, /players/g/greensi02.html, /players/h/higgiro01.html, /players/h/holtomi01.html, /players/j/jordami01.html, /players/m/macyky01.html, /players/m/mckinbi01.html, /players/o/oaklech01.html, /players/o/oldhaja01.html, /players/p/paxsojo01.html, /players/s/smrekmi01.html, /players/w/woolror01.html"
"4","CLE","/players/a/anderro01.html, /players/b/baglejo01.html, /players/b/brewero01.html, /players/d/davisjo01.html, /players/f/freewo01.html, /players/h/hinsoro01.html, /players/h/hubbaph01.html, /players/j/johnsed02.html, /players/j/jonesed01.html, /players/l/leeke01.html, /players/m/mcdonbe01.html, /players/m/minnidi01.html, /players/p/poquebe01.html, /players/s/sheltlo01.html, /players/t/turpime01.html, /players/w/westma01.html, /players/w/whatlen01.html"
"5","DAL","/players/a/aguirma01.html, /players/b/blabuw01.html, /players/b/blackro01.html, /players/b/bryanwa01.html, /players/d/davisbr01.html, /players/d/donalja01.html, /players/e/ellisda01.html, /players/h/harpede01.html, /players/k/keeliha01.html, /players/n/nimphku01.html, /players/p/perkisa01.html, /players/s/schrede01.html, /players/v/vinceja01.html, /players/w/wennibi01.html"
"6","DEN","/players/c/coopewa01.html, /players/d/dunntr01.html, /players/e/englial01.html, /players/e/evansmi01.html, /players/h/hanzlbi01.html, /players/l/leverfa01.html, /players/n/nattca01.html, /players/r/rasmubl01.html, /players/s/schayda01.html, /players/t/turneel01.html, /players/w/whitewi01.html, /players/w/willipe01.html"
"7","DET","/players/b/bensoke01.html, /players/c/campbto01.html, /players/c/creviro01.html, /players/c/curetea01.html, /players/d/dumarjo01.html, /players/g/gibsomi01.html, /players/j/johnsvi01.html, /players/l/laimbbi01.html, /players/l/longjo01.html, /players/m/mahorri01.html, /players/n/nevitch01.html, /players/r/russewa01.html, /players/t/thomais01.html, /players/t/tripuke01.html"
"8","GSW","/players/b/ballagr01.html, /players/c/carrojo01.html, /players/c/connele01.html, /players/c/creviro01.html, /players/f/floydsl01.html, /players/h/hustoge01.html, /players/m/mullich01.html, /players/s/shortpu01.html, /players/s/smithla01.html, /players/t/teaglte01.html, /players/t/thibepe01.html, /players/v/verhope01.html, /players/w/whiteje01.html, /players/w/willigu02.html"
"9","HOU","/players/e/ehlocr01.html, /players/h/harrist01.html, /players/l/leaveal01.html, /players/l/lloydle01.html, /players/l/lucasjo01.html, /players/m/mccraro01.html, /players/m/mcdowha01.html, /players/o/olajuha01.html, /players/p/peterji01.html, /players/r/reidro01.html, /players/s/sampsra01.html, /players/w/waitegr01.html, /players/w/wiggimi01.html"
"10","IND","/players/a/anderro01.html, /players/b/bucknqu01.html, /players/f/flemive01.html, /players/g/garnebi02.html, /players/g/grayst01.html, /players/k/kellocl01.html, /players/m/martibi01.html, /players/m/mccladw01.html, /players/r/richacl01.html, /players/s/stanste01.html, /players/s/stipast01.html, /players/t/tisdawa01.html, /players/w/warribr01.html, /players/w/willihe01.html"
