"","Tm","roster"
"1","ATL","/players/c/collija04.html, /players/d/dampier01.html, /players/g/greenwi01.html, /players/h/hinriki01.html, /players/h/horfoal01.html, /players/j/johnsiv01.html, /players/j/johnsjo02.html, /players/m/mcgratr01.html, /players/p/pachuza01.html, /players/p/pargoja01.html, /players/r/radmavl01.html, /players/s/sloando01.html, /players/s/smithjo03.html, /players/s/stackje01.html, /players/t/teaguje01.html, /players/w/willima02.html"
"2","BOS","/players/a/allenra02.html, /players/b/bassbr01.html, /players/b/bradlav01.html, /players/d/daniema01.html, /players/d/doolike01.html, /players/g/garneke01.html, /players/h/holliry01.html, /players/j/johnsja02.html, /players/m/mooreet01.html, /players/o/onealje01.html, /players/p/pavloal01.html, /players/p/piercpa01.html, /players/p/pietrmi01.html, /players/r/rondora01.html, /players/s/stiemgr01.html, /players/w/wilcoch01.html, /players/w/willise01.html"
"3","CHA","/players/a/augusdj01.html, /players/b/biyombi01.html, /players/b/brownde04.html, /players/c/carroma01.html, /players/d/diawbo01.html, /players/d/diopde01.html, /players/h/hendege02.html, /players/h/higgico01.html, /players/m/maggeco01.html, /players/m/moonja01.html, /players/m/mulleby01.html, /players/n/najered01.html, /players/t/thomaty01.html, /players/w/walkeke02.html, /players/w/whitedj01.html, /players/w/willire02.html"
"4","CHI","/players/a/asikom01.html, /players/b/boozeca01.html, /players/b/brewero02.html, /players/b/butleji01.html, /players/d/denglu01.html, /players/g/gibsota01.html, /players/h/hamilri01.html, /players/j/jamesmi01.html, /players/k/korveky01.html, /players/l/lucasjo02.html, /players/n/noahjo01.html, /players/r/rosede01.html, /players/s/scalabr01.html, /players/w/watsocj01.html"
"5","CLE","/players/c/casspom01.html, /players/e/erdense01.html, /players/e/eyengch01.html, /players/g/geeal01.html, /players/g/gibsoda01.html, /players/h/haranlu01.html, /players/h/harrima01.html, /players/h/holliry01.html, /players/h/hudsole01.html, /players/i/irvinky01.html, /players/j/jamisan01.html, /players/k/kennedj01.html, /players/p/parkean01.html, /players/s/samuesa01.html, /players/s/sessira01.html, /players/s/sloando01.html, /players/t/thompmy02.html, /players/t/thomptr01.html, /players/u/uzohbe01.html, /players/v/varejan01.html, /players/w/waltolu01.html"
"6","DAL","/players/a/azubuke01.html, /players/b/beaubro01.html, /players/c/cardibr01.html, /players/c/cartevi01.html, /players/h/haywobr01.html, /players/j/jianlyi01.html, /players/j/jonesdo02.html, /players/k/kiddja01.html, /players/m/mahinia01.html, /players/m/mariosh01.html, /players/n/nowitdi01.html, /players/o/odomla01.html, /players/t/terryja01.html, /players/w/westde01.html, /players/w/willise01.html, /players/w/wrighbr03.html"
"7","DEN","/players/a/afflaar01.html, /players/a/anderch01.html, /players/b/breweco01.html, /players/c/carrode01.html, /players/c/chandwi01.html, /players/f/farieke01.html, /players/f/fernaru01.html, /players/g/gallida01.html, /players/h/hamiljo02.html, /players/h/harrial01.html, /players/h/hilarne01.html, /players/k/koufoko01.html, /players/l/lawsoty01.html, /players/m/mcgeeja01.html, /players/m/millean02.html, /players/m/mozgoti01.html, /players/s/stoneju01.html"
"8","DET","/players/b/bynumwi01.html, /players/d/dayeau01.html, /players/g/gordobe01.html, /players/j/jerebjo01.html, /players/k/knighbr03.html, /players/m/macklve01.html, /players/m/maxieja01.html, /players/m/monrogr01.html, /players/p/princta01.html, /players/r/russewa02.html, /players/s/stuckro01.html, /players/v/villach01.html, /players/w/wallabe01.html, /players/w/wilkida02.html"
"9","GSW","/players/b/barroea01.html, /players/b/bensoke02.html, /players/b/biedran01.html, /players/b/brownkw01.html, /players/c/curryst01.html, /players/e/ellismo01.html, /players/g/gladnmi01.html, /players/j/jefferi01.html, /players/j/jenkich01.html, /players/l/leeda02.html, /players/m/mcguido01.html, /players/m/mooremi01.html, /players/r/robinna01.html, /players/r/rushbr01.html, /players/s/smithis01.html, /players/t/thompkl01.html, /players/t/tylerje01.html, /players/u/udohek01.html, /players/w/wrighch01.html, /players/w/wrighdo01.html"
"10","HOU","/players/a/adrieje01.html, /players/b/boykiea01.html, /players/b/budinch01.html, /players/c/cambyma01.html, /players/d/dalemsa01.html, /players/d/dragigo01.html, /players/f/flynnjo01.html, /players/f/fortsco01.html, /players/h/hilljo01.html, /players/l/leeco01.html, /players/l/lowryky01.html, /players/m/martike02.html, /players/m/morrima03.html, /players/p/parsoch01.html, /players/p/pattepa01.html, /players/s/scolalu01.html, /players/s/smithgr02.html, /players/t/thabeha01.html, /players/w/willite01.html"
