"","Tm","roster"
"1","BOS","/players/c/cousybo01.html, /players/h/heinsto01.html, /players/j/jonessa01.html, /players/l/loscuji01.html, /players/n/nichoja01.html, /players/p/phillan01.html, /players/r/ramsefr01.html, /players/r/risenar01.html, /players/r/russebi01.html, /players/s/sharmbi01.html, /players/t/tsiorlo01.html"
"2","CIN","/players/d/duckedi01.html, /players/k/kingge01.html, /players/l/lovelcl01.html, /players/m/marshto01.html, /players/m/meinemo01.html, /players/p/paulsje01.html, /players/p/paxsoji01.html, /players/p/piontda01.html, /players/r/reganri01.html, /players/r/rickedi01.html, /players/s/stokema01.html, /players/t/twymaja01.html"
"3","DET","/players/a/athadi01.html, /players/b/bolstdo01.html, /players/c/cliftna01.html, /players/d/dukeswa01.html, /players/e/ebbenbi01.html, /players/g/gallaha01.html, /players/h/holupjo01.html, /players/h/houbrbo01.html, /players/j/jordoph01.html, /players/k/kenvibi01.html, /players/m/marshto01.html, /players/m/mcguidi01.html, /players/n/noblech01.html, /players/s/shuege01.html, /players/t/thiebbi01.html, /players/y/yardlge01.html"
"4","MNL","/players/b/brownge01.html, /players/b/burrobo01.html, /players/d/devlico01.html, /players/e/eriasbo01.html, /players/f/flemied01.html, /players/f/foustla01.html, /players/g/garmadi01.html, /players/h/hundlho01.html, /players/i/ingramc01.html, /players/k/krebsji01.html, /players/l/leonasl01.html, /players/m/mikkeve01.html, /players/s/schnidi01.html, /players/s/selvyfr01.html, /players/s/spoelar01.html"
"5","NYK","/players/b/braunca01.html, /players/f/felixra01.html, /players/f/frienla01.html, /players/g/gueriri01.html, /players/h/hutchme01.html, /players/j/jordoph01.html, /players/m/mccanbr01.html, /players/n/naullwi01.html, /players/s/searske01.html, /players/s/shavlro01.html, /players/s/sobiero01.html, /players/s/sparrgu01.html, /players/s/spoelar01.html, /players/t/tyrach01.html"
"6","PHW","/players/a/arizipa01.html, /players/b/becker01.html, /players/d/daviswa01.html, /players/d/dempsge01.html, /players/d/dunnpa01.html, /players/g/georgja01.html, /players/g/golato01.html, /players/g/grabojo01.html, /players/j/johnsne01.html, /players/r/radzira01.html, /players/r/rosenle01.html, /players/s/sauldwo01.html, /players/w/walshji01.html"
"7","STL","/players/c/colemja01.html, /players/d/daviswa01.html, /players/h/hagancl01.html, /players/m/macaued01.html, /players/m/martisl01.html, /players/m/mcmahja01.html, /players/m/morrire01.html, /players/p/parkme01.html, /players/p/pattewo01.html, /players/p/pettibo01.html, /players/s/selvyfr01.html, /players/s/sharech01.html, /players/w/wilfowi01.html"
"8","SYR","/players/b/biancal01.html, /players/c/conlied01.html, /players/c/costela01.html, /players/h/harribo02.html, /players/h/holupjo01.html, /players/h/hopkibo01.html, /players/k/kerrre01.html, /players/l/lloydea01.html, /players/p/palazto01.html, /players/s/schaydo01.html, /players/s/seymopa01.html"
