"","Tm","roster"
"1","ATL","/players/b/babbilu01.html, /players/b/bazemke01.html, /players/b/belinma01.html, /players/b/bembrde01.html, /players/b/brussni01.html, /players/c/cavanty01.html, /players/c/clevean01.html, /players/c/collijo01.html, /players/d/dedmode01.html, /players/d/delanma01.html, /players/d/dorsety01.html, /players/e/evansje01.html, /players/i/ilyaser01.html, /players/l/leeda03.html, /players/m/magetjo01.html, /players/m/morrija01.html, /players/m/muscami01.html, /players/p/plumlmi01.html, /players/s/schrode01.html, /players/t/taylois01.html, /players/p/princta02.html, /players/w/whitean01.html"
"2","BOS","/players/a/allenka01.html, /players/b/baynear01.html, /players/b/birdja01.html, /players/b/brownja02.html, /players/e/eddieja01.html, /players/g/gibsojo01.html, /players/h/haywago01.html, /players/h/horfoal01.html, /players/i/irvinky01.html, /players/l/larkish01.html, /players/m/monrogr01.html, /players/m/morrima03.html, /players/n/naderab01.html, /players/o/ojelese01.html, /players/r/roziete01.html, /players/s/silasxa01.html, /players/s/smartma01.html, /players/t/tatumja01.html, /players/t/theisda01.html, /players/y/yabusgu01.html"
"3","BRK","/players/a/acyqu01.html, /players/a/allenja01.html, /players/b/booketr01.html, /players/c/carrode01.html, /players/c/crabbal01.html, /players/c/cunnida01.html, /players/d/dinwisp01.html, /players/d/doylemi01.html, /players/h/harrijo01.html, /players/h/holliro01.html, /players/k/kilpase01.html, /players/l/leverca01.html, /players/l/linje01.html, /players/m/mozgoti01.html, /players/o/okafoja01.html, /players/r/russeda01.html, /players/s/stausni01.html, /players/v/vaughra01.html, /players/w/webbja01.html, /players/w/whiteis01.html, /players/w/wileyja01.html, /players/z/zellety01.html"
"4","CHI","/players/a/arcidry01.html, /players/a/asikom01.html, /players/b/blakean01.html, /players/d/dunnkr01.html, /players/e/eddieja01.html, /players/f/feldeka01.html, /players/f/feliccr01.html, /players/g/grantje02.html, /players/h/holidju01.html, /players/k/kilpase01.html, /players/l/lavinza01.html, /players/l/lopezro01.html, /players/m/markkla01.html, /players/m/mirotni01.html, /players/n/nwabada01.html, /players/p/payneca01.html, /players/p/pondequ01.html, /players/p/portibo01.html, /players/v/valende01.html, /players/v/vonleno01.html, /players/z/zipsepa01.html"
"5","CHO","/players/b/bacondw01.html, /players/b/batumni01.html, /players/c/cartemi01.html, /players/g/grahatr01.html, /players/h/hernawi01.html, /players/h/howardw01.html, /players/k/kaminfr01.html, /players/k/kiddgmi01.html, /players/l/lambje01.html, /players/m/mathima01.html, /players/m/monkma01.html, /players/o/obryajo01.html, /players/p/paigema01.html, /players/s/stoneju01.html, /players/w/walkeke02.html, /players/w/willima02.html, /players/z/zelleco01.html"
"6","CLE","/players/c/caldejo01.html, /players/c/clarkjo01.html, /players/c/crowdja01.html, /players/f/fryech01.html, /players/g/greenje02.html, /players/h/hillge01.html, /players/h/hollajo02.html, /players/h/hoodro01.html, /players/j/jamesle01.html, /players/k/korveky01.html, /players/l/loveke01.html, /players/n/nancela02.html, /players/o/osmande01.html, /players/p/perkike01.html, /players/p/perralo01.html, /players/r/rosede01.html, /players/s/shumpim01.html, /players/s/smithjr01.html, /players/t/thomais02.html, /players/t/thomptr01.html, /players/w/wadedw01.html, /players/z/zizican01.html"
"7","DAL","/players/b/bareajo01.html, /players/b/barneha02.html, /players/c/clavegi01.html, /players/c/clevean01.html, /players/c/colliky01.html, /players/f/ferreyo01.html, /players/f/finnedo01.html, /players/h/harride01.html, /players/h/harriaa01.html, /players/h/hopsosc01.html, /players/j/jonesja04.html, /players/k/klebima01.html, /players/m/matthwe02.html, /players/m/mcderdo01.html, /players/m/mcrobjo01.html, /players/m/mejrisa01.html, /players/m/motlejo01.html, /players/n/noelne01.html, /players/n/nowitdi01.html, /players/p/poweldw01.html, /players/s/smithde03.html, /players/w/warneja01.html, /players/w/witheje01.html"
"8","DEN","/players/a/arthuda01.html, /players/b/bartowi01.html, /players/b/beaslma01.html, /players/c/chandwi01.html, /players/c/craigto01.html, /players/f/farieke01.html, /players/h/harride01.html, /players/h/harriga01.html, /players/h/hernaju01.html, /players/j/jefferi01.html, /players/j/jokicni01.html, /players/l/lydonty01.html, /players/l/lylestr01.html, /players/m/millspa01.html, /players/m/morrimo01.html, /players/m/mudiaem01.html, /players/m/murraja01.html, /players/p/plumlma01.html"
"9","DET","/players/b/bradlav01.html, /players/b/bullore01.html, /players/b/buyckdw01.html, /players/d/drumman01.html, /players/e/ellenhe01.html, /players/e/ennisja01.html, /players/f/feldeka01.html, /players/g/gallola01.html, /players/g/griffbl01.html, /players/h/harrito02.html, /players/h/hearnre01.html, /players/j/jacksre01.html, /players/j/johnsst04.html, /players/k/kennalu01.html, /players/l/leuerjo01.html, /players/m/marjabo01.html, /players/m/montelu01.html, /players/m/moreler01.html, /players/n/nelsoja01.html, /players/r/reedwi02.html, /players/s/smithis01.html, /players/t/tollian01.html"
"10","GSW","/players/b/belljo01.html, /players/b/bouchch01.html, /players/c/casspom01.html, /players/c/cookqu01.html, /players/c/curryst01.html, /players/d/duranke01.html, /players/g/greendr01.html, /players/i/iguodan01.html, /players/j/jonesda03.html, /players/l/livinsh01.html, /players/l/looneke01.html, /players/m/mccawpa01.html, /players/m/mcgeeja01.html, /players/p/pachuza01.html, /players/t/thompkl01.html, /players/w/westda01.html, /players/y/youngni01.html"
"11","HOU","/players/a/anderry01.html, /players/a/arizatr01.html, /players/b/blackta01.html, /players/b/brownbo02.html, /players/b/brownma02.html, /players/c/canaais01.html, /players/c/capelca01.html, /players/g/gordoer01.html, /players/g/greenge01.html, /players/h/hardeja01.html, /players/h/hilarne01.html, /players/h/hunterj01.html, /players/j/jacksaa01.html, /players/j/jacksde01.html, /players/j/johnsjo02.html, /players/m/mbahalu01.html, /players/o/onuakch01.html, /players/p/paulch01.html, /players/q/qizh01.html, /players/q/quartti01.html, /players/t/tuckepj01.html, /players/w/weberbr01.html, /players/w/willitr02.html, /players/w/wrighbr03.html"
"12","IND","/players/a/anigbik01.html, /players/b/bogdabo02.html, /players/b/booketr01.html, /players/c/collida01.html, /players/j/jeffeal01.html, /players/j/josepco01.html, /players/l/leaftj01.html, /players/m/mckintr01.html, /players/m/moorebe01.html, /players/o/oladivi01.html, /players/p/poythal01.html, /players/r/robingl02.html, /players/s/sabondo01.html, /players/s/stephla01.html, /players/s/sumneed01.html, /players/t/turnemy01.html, /players/w/wilkida02.html, /players/y/youngjo01.html, /players/y/youngth01.html"
"13","LAC","/players/b/beverpa01.html, /players/b/bradlav01.html, /players/d/dekkesa01.html, /players/e/evansja01.html, /players/g/gallida01.html, /players/g/griffbl01.html, /players/h/harremo01.html, /players/h/harrito02.html, /players/j/johnsbr02.html, /players/j/johnswe01.html, /players/j/jordade01.html, /players/k/kilpase01.html, /players/m/marjabo01.html, /players/r/reedwi02.html, /players/r/riverau01.html, /players/t/teodomi01.html, /players/t/thornsi01.html, /players/w/wallaty01.html, /players/w/willicj01.html, /players/w/willilo02.html, /players/w/wilsoja02.html"
"14","LAL","/players/b/balllo01.html, /players/b/blueva01.html, /players/b/bogutan01.html, /players/b/breweco01.html, /players/b/bryanth01.html, /players/c/caldwke01.html, /players/c/carusal01.html, /players/c/clarkjo01.html, /players/d/denglu01.html, /players/e/ennisty01.html, /players/f/fryech01.html, /players/h/hartjo01.html, /players/h/hayesni01.html, /players/i/ingraan01.html, /players/i/ingrabr01.html, /players/k/kuzmaky01.html, /players/l/lopezbr01.html, /players/n/nancela02.html, /players/p/paytoga02.html, /players/r/randlju01.html, /players/t/thomais02.html, /players/w/weartr01.html, /players/w/willide02.html, /players/z/zubaciv01.html"
"15","MEM","/players/b/brookdi01.html, /players/b/brookma01.html, /players/c/chalmma01.html, /players/c/conlemi01.html, /players/d/davisde01.html, /players/e/ennisja01.html, /players/e/evansty01.html, /players/g/gasolma01.html, /players/g/greenja01.html, /players/h/harrian01.html, /players/h/henrymy01.html, /players/h/huntevi01.html, /players/j/johnsbr02.html, /players/j/johnsom01.html, /players/m/martija01.html, /players/m/mclembe01.html, /players/p/parsoch01.html, /players/r/rabbiv01.html, /players/r/rathaxa01.html, /players/s/seldewa01.html, /players/s/simmoko01.html, /players/t/teaguma01.html, /players/w/weberbr01.html, /players/w/wrighbr03.html"
"16","MIA","/players/a/adebaba01.html, /players/b/babbilu01.html, /players/d/dragigo01.html, /players/e/ellinwa01.html, /players/h/hasleud01.html, /players/j/johnsja01.html, /players/j/johnsty01.html, /players/j/jonesde02.html, /players/m/mcgruro01.html, /players/m/mickejo01.html, /players/o/olynyke01.html, /players/r/richajo01.html, /players/w/wadedw01.html, /players/w/waitedi01.html, /players/w/waltode01.html, /players/w/whiteok01.html, /players/w/whiteha01.html, /players/w/willima05.html, /players/w/winslju01.html"
"17","MIL","/players/a/antetgi01.html, /players/b/bledser01.html, /players/b/bolomjo01.html, /players/b/brogdma01.html, /players/b/brownst02.html, /players/d/dellama01.html, /players/h/hensojo01.html, /players/j/jennibr01.html, /players/k/kilpase01.html, /players/l/liggide01.html, /players/m/makerth01.html, /players/m/middlkh01.html, /players/m/monrogr01.html, /players/m/muhamsh01.html, /players/m/munfoxa02.html, /players/p/parkeja01.html, /players/p/paytoga02.html, /players/p/plumlma02.html, /players/s/snellto01.html, /players/t/teletmi01.html, /players/t/terryja01.html, /players/v/vaughra01.html, /players/w/wilsodj01.html, /players/z/zellety01.html"
"18","MIN","/players/a/aldrico01.html, /players/b/bjeline01.html, /players/b/brookaa01.html, /players/b/brownan02.html, /players/b/butleji01.html, /players/c/crawfja01.html, /players/d/dienggo01.html, /players/g/georgma01.html, /players/g/gibsota01.html, /players/j/jonesty01.html, /players/m/muhamsh01.html, /players/p/pattoju01.html, /players/r/rosede01.html, /players/t/teaguje01.html, /players/t/townska01.html, /players/w/wiggian01.html"
"19","NOP","/players/a/allento01.html, /players/a/asikom01.html, /players/c/clarkia01.html, /players/c/cookech01.html, /players/c/couside01.html, /players/c/crawfjo02.html, /players/c/cunnida01.html, /players/d/davisan02.html, /players/d/diallch01.html, /players/d/drewla02.html, /players/h/hillso01.html, /players/h/holidjr01.html, /players/j/jamesmi02.html, /players/j/jonesja04.html, /players/l/lemonwa01.html, /players/l/liggide01.html, /players/m/milleda01.html, /players/m/mirotni01.html, /players/m/mooreet01.html, /players/n/nelsoja01.html, /players/o/okafoem01.html, /players/r/rondora01.html, /players/s/smithjo03.html"
