"","Tm","roster"
"1","ATL","/players/b/battljo01.html, /players/c/carran01.html, /players/h/hastisc01.html, /players/k/koncajo01.html, /players/l/levincl01.html, /players/m/mcgeemi01.html, /players/r/riverdo01.html, /players/r/rollitr01.html, /players/w/washbch01.html, /players/w/webbsp01.html, /players/w/whatlen01.html, /players/w/wilkido01.html, /players/w/willike02.html, /players/w/wittmra01.html, /players/w/woodle01.html"
"2","BOS","/players/a/acresma01.html, /players/a/aingeda01.html, /players/b/birdla01.html, /players/d/dayeda01.html, /players/g/gilmoar01.html, /players/h/henryco01.html, /players/j/johnsde01.html, /players/k/kitegr01.html, /players/l/lewisre01.html, /players/l/lohaubr01.html, /players/m/mchalke01.html, /players/m/minnidi01.html, /players/p/parisro01.html, /players/p/paxsoji02.html, /players/r/roberfr01.html, /players/s/sichtje01.html"
"3","CHI","/players/b/brownmi01.html, /players/c/corzida01.html, /players/g/gilmoar01.html, /players/g/grantho01.html, /players/j/jordami01.html, /players/o/oaklech01.html, /players/p/paxsojo01.html, /players/p/pippesc01.html, /players/s/sellebr01.html, /players/s/sparrro01.html, /players/t/threase01.html, /players/t/turneel01.html, /players/v/vincesa01.html, /players/w/waitegr01.html, /players/w/whiteto01.html"
"4","CLE","/players/b/bensoke01.html, /players/c/corbity01.html, /players/c/curryde01.html, /players/d/daughbr01.html, /players/d/dudlech02.html, /players/e/ehlocr01.html, /players/h/harpero01.html, /players/h/hendeke01.html, /players/h/hubbaph01.html, /players/j/johnska01.html, /players/j/johnske02.html, /players/n/nancela01.html, /players/p/pricema01.html, /players/r/rogerjo01.html, /players/s/sandemi01.html, /players/w/westma01.html, /players/w/williho01.html"
"5","DAL","/players/a/aguirma01.html, /players/a/alforst01.html, /players/b/blabuw01.html, /players/b/blackro01.html, /players/d/davisbr01.html, /players/d/donalja01.html, /players/f/farmeji01.html, /players/h/harpede01.html, /players/p/perkisa01.html, /players/s/schrede01.html, /players/t/tarplro01.html, /players/w/wennibi01.html"
"6","DEN","/players/a/adamsmi01.html, /players/b/brookmi01.html, /players/c/coopewa01.html, /players/d/dunntr01.html, /players/e/englial01.html, /players/e/evansmi01.html, /players/h/hanzlbi01.html, /players/l/leverfa01.html, /players/m/martima01.html, /players/m/moorean01.html, /players/n/nattca01.html, /players/r/rasmubl01.html, /players/s/schayda01.html, /players/s/smithot01.html, /players/v/vinceja01.html, /players/w/wrighbr01.html"
"7","DET","/players/b/bedfowi01.html, /players/d/dantlad01.html, /players/d/dawkida01.html, /players/d/dumarjo01.html, /players/e/edwarja01.html, /players/j/johnsvi01.html, /players/l/laimbbi01.html, /players/l/lewisra01.html, /players/m/mahorri01.html, /players/m/moorero01.html, /players/n/nevitch01.html, /players/r/rodmade01.html, /players/r/russewa01.html, /players/s/sallejo01.html, /players/t/thomais01.html"
"8","GSW","/players/c/carrojo01.html, /players/f/feitlda01.html, /players/f/floydsl01.html, /players/f/frankte01.html, /players/g/garlawi01.html, /players/h/harrist01.html, /players/h/hendeke01.html, /players/h/higgiro01.html, /players/h/hoppeda01.html, /players/m/mcdonbe01.html, /players/m/minnidi01.html, /players/m/mullich01.html, /players/s/sampsra01.html, /players/s/smithla01.html, /players/s/smithot01.html, /players/t/teaglte01.html, /players/w/wadema01.html, /players/w/washbch01.html, /players/w/washike01.html, /players/w/whiteto01.html, /players/w/whiteje01.html"
"9","HOU","/players/a/anderri01.html, /players/c/carrojo01.html, /players/c/connele01.html, /players/f/floydsl01.html, /players/f/freewo01.html, /players/h/harrist01.html, /players/j/johnsbu01.html, /players/l/leaveal01.html, /players/m/maxwece01.html, /players/m/mccraro01.html, /players/o/olajuha01.html, /players/p/peterji01.html, /players/r/reidro01.html, /players/s/sampsra01.html, /players/s/shortpu01.html, /players/t/turnean01.html"
"10","IND","/players/a/anderro01.html, /players/d/dreilgr01.html, /players/f/flemive01.html, /players/g/grayst01.html, /players/l/longjo01.html, /players/m/millere01.html, /players/p/persoch01.html, /players/r/rowsobr01.html, /players/s/skilesc01.html, /players/s/stipast01.html, /players/t/tisdawa01.html, /players/w/wheelcl01.html, /players/w/willihe01.html"
"11","LAC","/players/b/benjabe01.html, /players/b/burttst01.html, /players/c/cagemi01.html, /players/c/colemno01.html, /players/c/curetea01.html, /players/d/dailequ01.html, /players/d/drewla01.html, /players/f/fieldke01.html, /players/g/gordola01.html, /players/g/gregocl01.html, /players/k/kitegr01.html, /players/m/murphto01.html, /players/n/nesslma01.html, /players/n/normake01.html, /players/p/phelpmi01.html, /players/v/valenda01.html, /players/w/whiteer01.html, /players/w/willire01.html, /players/w/wolfjo01.html, /players/w/woodsmi01.html"
