"","Player","From","To","plyrprofs"
"99","Michael Anderson",1989,1989,"/players/a/andermi01.html"
"100","Nick Anderson",1990,2002,"/players/a/anderni01.html"
"101","Richard Anderson",1983,1990,"/players/a/anderri01.html"
"102","Ron Anderson",1985,1994,"/players/a/anderro01.html"
"103","Ryan Anderson",2009,2020,"/players/a/anderry01.html"
"104","Shandon Anderson",1997,2006,"/players/a/andersh01.html"
"105","Willie Anderson",1989,1997,"/players/a/anderwi01.html"
"106","Wally Anderzunas",1970,1970,"/players/a/anderwa01.html"
"107","Martynas Andriuškevicius",2006,2006,"/players/a/andrima01.html"
"108","Don Anielak",1955,1955,"/players/a/anieldo01.html"
"109","Ike Anigbogu",2018,2019,"/players/a/anigbik01.html"
"110","Michael Ansley",1990,1992,"/players/a/anslemi01.html"
"111","Chris Anstey",1998,2000,"/players/a/anstech01.html"
"112","Giannis Antetokounmpo",2014,2020,"/players/a/antetgi01.html"
"113","Kostas Antetokounmpo",2019,2020,"/players/a/antetko01.html"
"114","Thanasis Antetokounmpo",2016,2020,"/players/a/antetth01.html"
"115","Carmelo Anthony",2004,2020,"/players/a/anthoca01.html"
"116","Greg Anthony",1992,2002,"/players/a/anthogr01.html"
"117","Joel Anthony",2008,2017,"/players/a/anthojo01.html"
"118","Pero Antic",2014,2015,"/players/a/anticpe01.html"
"119","OG Anunoby",2018,2020,"/players/a/anunoog01.html"
"120","Keith Appling",2016,2016,"/players/a/applike01.html"
"121","Rafael Araújo",2005,2007,"/players/a/araujra01.html"
"122","Stacey Arceneaux",1962,1962,"/players/a/arcenst01.html"
"123","Robert Archibald",2003,2004,"/players/a/archiro01.html"
"124","Tiny Archibald*",1971,1984,"/players/a/architi01.html"
"125","Ryan Arcidiacono",2018,2020,"/players/a/arcidry01.html"
"126","Jim Ard",1971,1978,"/players/a/ardji01.html"
"127","Gilbert Arenas",2002,2012,"/players/a/arenagi01.html"
"128","Trevor Ariza",2005,2020,"/players/a/arizatr01.html"
"129","Paul Arizin*",1951,1962,"/players/a/arizipa01.html"
"130","Joe Arlauckas",1988,1988,"/players/a/arlaujo01.html"
"131","B.J. Armstrong",1990,2000,"/players/a/armstbj01.html"
"132","Bob Armstrong",1957,1957,"/players/a/armstbo01.html"
"133","Brandon Armstrong",2002,2004,"/players/a/armstbr01.html"
"134","Curly Armstrong",1949,1951,"/players/a/armstcu01.html"
"135","Darrell Armstrong",1995,2008,"/players/a/armstda01.html"
"136","Hilton Armstrong",2007,2014,"/players/a/armsthi01.html"
"137","Tate Armstrong",1978,1979,"/players/a/armstta01.html"
"138","Jesse Arnelle",1956,1956,"/players/a/arnelje01.html"
"139","Jay Arnette",1964,1966,"/players/a/arnetja01.html"
"140","Bob Arnzen",1970,1974,"/players/a/arnzebo01.html"
"141","Carlos Arroyo",2002,2011,"/players/a/arroyca01.html"
"142","Darrell Arthur",2009,2018,"/players/a/arthuda01.html"
"143","John Arthurs",1970,1970,"/players/a/arthujo01.html"
"144","Jamel Artis",2018,2018,"/players/a/artisja01.html"
"145","Ömer Asik",2011,2018,"/players/a/asikom01.html"
"146","Vincent Askew",1988,1998,"/players/a/askewvi01.html"
"147","Keith Askins",1991,1999,"/players/a/askinke01.html"
"148","Don Asmonga",1954,1954,"/players/a/asmondo01.html"
"149","Dick Atha",1956,1958,"/players/a/athadi01.html"
"150","Chucky Atkins",2000,2010,"/players/a/atkinch01.html"
"151","Al Attles*",1961,1971,"/players/a/attleal01.html"
"152","Chet Aubuchon",1947,1947,"/players/a/aubucch01.html"
"153","Stacey Augmon",1992,2006,"/players/a/augmost01.html"
"154","D.J. Augustin",2009,2020,"/players/a/augusdj01.html"
"155","James Augustine",2007,2008,"/players/a/augusja01.html"
"156","Isaac Austin",1992,2002,"/players/a/austiis01.html"
"157","Johnny Austin",1967,1968,"/players/a/austijo01.html"
"158","Ken Austin",1984,1984,"/players/a/austike01.html"
"159","Anthony Avent",1993,2000,"/players/a/aventan01.html"
"160","Bird Averitt",1974,1978,"/players/a/averibi01.html"
"161","William Avery",2000,2002,"/players/a/averywi01.html"
"162","Dennis Awtrey",1971,1982,"/players/a/awtrede01.html"
"163","Gustavo Ayón",2012,2014,"/players/a/ayongu01.html"
"164","Jeff Ayres",2010,2016,"/players/p/pendeje02.html"
"165","Deandre Ayton",2019,2020,"/players/a/aytonde01.html"
"166","Kelenna Azubuike",2007,2012,"/players/a/azubuke01.html"
