"","Player","From","To","plyrprofs"
"155","Kevon Looney",2016,2020,"/players/l/looneke01.html"
"156","Brook Lopez",2009,2020,"/players/l/lopezbr01.html"
"157","Felipe López",1999,2002,"/players/l/lopezfe01.html"
"158","Raül López",2004,2005,"/players/l/lopezra01.html"
"159","Robin Lopez",2009,2020,"/players/l/lopezro01.html"
"160","Ryan Lorthridge",1995,1995,"/players/l/lorthry01.html"
"161","Jim Loscutoff",1956,1964,"/players/l/loscuji01.html"
"162","Plummer Lott",1968,1969,"/players/l/lottpl01.html"
"163","Kevin Loughery",1963,1973,"/players/l/loughke01.html"
"164","Bob Love",1967,1977,"/players/l/lovebo01.html"
"165","Kevin Love",2009,2020,"/players/l/loveke01.html"
"166","Stan Love",1972,1975,"/players/l/lovest01.html"
"167","Clyde Lovellette*",1954,1964,"/players/l/lovelcl01.html"
"168","Sidney Lowe",1984,1990,"/players/l/lowesi01.html"
"169","Charlie Lowery",1972,1972,"/players/l/lowerch01.html"
"170","Kyle Lowry",2007,2020,"/players/l/lowryky01.html"
"171","Jordan Loyd",2019,2019,"/players/l/loydjo01.html"
"172","Al Lucas",1949,1949,"/players/l/lucasal01.html"
"173","Jerry Lucas*",1964,1974,"/players/l/lucasje01.html"
"174","John Lucas",1977,1990,"/players/l/lucasjo01.html"
"175","Kalin Lucas",2015,2019,"/players/l/lucaska01.html"
"176","Maurice Lucas",1975,1988,"/players/l/lucasma01.html"
"177","John Lucas III",2006,2017,"/players/l/lucasjo02.html"
"178","Ted Luckenbill",1962,1963,"/players/l/luckete01.html"
"179","Tyronn Lue",1999,2009,"/players/l/luety01.html"
"180","Jim Luisi",1954,1954,"/players/l/luisiji01.html"
"181","Al Lujack",1947,1947,"/players/l/lujacal01.html"
"182","Phil Lumpkin",1975,1976,"/players/l/lumpkph01.html"
"183","Ray Lumpp",1949,1953,"/players/l/lumppra01.html"
"184","Timothé Luwawu-Cabarrot",2017,2020,"/players/l/luwawti01.html"
"185","Tyler Lydon",2018,2019,"/players/l/lydonty01.html"
"186","Trey Lyles",2016,2020,"/players/l/lylestr01.html"
"187","R.B. Lynam",1968,1968,"/players/l/lynamrb01.html"
"188","George Lynch",1994,2005,"/players/l/lynchge01.html"
"189","Kevin Lynch",1992,1993,"/players/l/lynchke01.html"
"190","Lonnie Lynn",1970,1970,"/players/l/lynnlo01.html"
"191","Mike Lynn",1970,1971,"/players/l/lynnmi01.html"
