"","Player","From","To","plyrprofs"
"114","William Franklin",1973,1976,"/players/f/frankwi01.html"
"115","Ronald Franz",1968,1973,"/players/f/franzro01.html"
"116","Melvin Frazier",2019,2020,"/players/f/frazime01.html"
"117","Michael Frazier",2020,2020,"/players/f/frazimi01.html"
"118","Tim Frazier",2015,2020,"/players/f/fraziti01.html"
"119","Walt Frazier*",1968,1980,"/players/f/fraziwa01.html"
"120","Will Frazier",1966,1969,"/players/f/fraziwi01.html"
"121","Anthony Frederick",1989,1992,"/players/f/fredean01.html"
"122","Jimmer Fredette",2012,2019,"/players/f/fredeji01.html"
"123","World B. Free",1976,1988,"/players/f/freewo01.html"
"124","Joel Freeland",2013,2015,"/players/f/freeljo01.html"
"125","Donnie Freeman",1968,1976,"/players/f/freemdo01.html"
"126","Gary Freeman",1971,1971,"/players/f/freemga01.html"
"127","Rod Freeman",1974,1974,"/players/f/freemro01.html"
"128","Matt Freije",2005,2007,"/players/f/freijma01.html"
"129","Frido Frey",1947,1947,"/players/f/freyfr01.html"
"130","Larry Friend",1958,1958,"/players/f/frienla01.html"
"131","Pat Frink",1969,1969,"/players/f/frinkpa01.html"
"132","Jim Fritsche",1954,1955,"/players/f/fritsji01.html"
"133","Channing Frye",2006,2019,"/players/f/fryech01.html"
"134","Bernie Fryer",1974,1975,"/players/f/fryerbe01.html"
"135","Frank Fucarino",1947,1947,"/players/f/fucarfr01.html"
"136","Herm Fuetsch",1948,1948,"/players/f/fuetshe01.html"
"137","Joe Fulks*",1947,1954,"/players/f/fulksjo01.html"
"138","Carl Fuller",1971,1972,"/players/f/fulleca01.html"
"139","Hiram Fuller",2004,2004,"/players/f/fullehi01.html"
"140","Todd Fuller",1997,2001,"/players/f/fulleto02.html"
"141","Tony Fuller",1981,1981,"/players/f/fulleto01.html"
"142","Markelle Fultz",2018,2020,"/players/f/fultzma01.html"
"143","Lawrence Funderburke",1998,2005,"/players/f/fundela01.html"
"144","Terry Furlow",1977,1980,"/players/f/furlote01.html"
