"","Player","From","To","plyrprofs"
"102","Marcus Webb",1993,1993,"/players/w/webbma01.html"
"103","Spud Webb",1986,1998,"/players/w/webbsp01.html"
"104","Chris Webber",1994,2008,"/players/w/webbech01.html"
"105","Briante Weber",2016,2018,"/players/w/weberbr01.html"
"106","Jake Weber",1947,1947,"/players/w/weberja01.html"
"107","Elnardo Webster",1972,1972,"/players/w/webstel01.html"
"108","Jeff Webster",1996,1996,"/players/w/webstje01.html"
"109","Martell Webster",2006,2015,"/players/w/webstma02.html"
"110","Marvin Webster",1976,1987,"/players/w/webstma01.html"
"111","Scott Wedman",1975,1987,"/players/w/wedmasc01.html"
"112","Sonny Weems",2009,2016,"/players/w/weemsso01.html"
"113","Dick Wehr",1949,1949,"/players/w/wehrdi01.html"
"114","Brant Weidner",1984,1984,"/players/w/weidnbr01.html"
"115","Bob Weiss",1966,1977,"/players/w/weissbo01.html"
"116","Rick Weitzman",1968,1968,"/players/w/weitzri01.html"
"117","Bonzi Wells",1999,2008,"/players/w/wellsbo01.html"
"118","Bubba Wells",1998,1998,"/players/w/wellsbu01.html"
"119","Owen Wells",1975,1975,"/players/w/wellsow01.html"
"120","Ralph Wells",1963,1963,"/players/w/wellsra01.html"
"121","Chris Welp",1988,1990,"/players/w/welpch01.html"
"122","Jirí Welsch",2003,2006,"/players/w/welscji01.html"
"123","Thomas Welsh",2019,2019,"/players/w/welshth01.html"
"124","Bill Wennington",1986,2000,"/players/w/wennibi01.html"
"125","Matt Wenstrom",1994,1994,"/players/w/wenstma01.html"
"126","Robert Werdann",1993,1997,"/players/w/werdaro01.html"
"127","Ray Wertis",1947,1948,"/players/w/wertira01.html"
"128","David Wesley",1994,2007,"/players/w/wesleda01.html"
"129","Walt Wesley",1967,1976,"/players/w/weslewa01.html"
"130","David West",2004,2018,"/players/w/westda01.html"
"131","Delonte West",2005,2012,"/players/w/westde01.html"
"132","Doug West",1990,2001,"/players/w/westdo01.html"
"133","Jerry West*",1961,1974,"/players/w/westje01.html"
"134","Mario West",2008,2011,"/players/w/westma02.html"
"135","Mark West",1984,2000,"/players/w/westma01.html"
"136","Roland West",1968,1968,"/players/w/westro01.html"
"137","Dexter Westbrook",1968,1968,"/players/w/westbde01.html"
"138","Russell Westbrook",2009,2020,"/players/w/westbru01.html"
"139","Paul Westphal*",1973,1984,"/players/w/westppa01.html"
"140","John Wetzel",1968,1976,"/players/w/wetzejo01.html"
"141","Robert Whaley",2006,2006,"/players/w/whalero01.html"
