"","Player","From","To","plyrprofs"
"185","Doug Sims",1969,1969,"/players/s/simsdo01.html"
"186","Henry Sims",2013,2016,"/players/s/simshe01.html"
"187","Scott Sims",1978,1978,"/players/s/simssc01.html"
"188","Kyle Singler",2013,2018,"/players/s/singlky01.html"
"189","Sean Singletary",2009,2009,"/players/s/singlse01.html"
"190","Chris Singleton",2012,2014,"/players/s/singlch01.html"
"191","James Singleton",2006,2012,"/players/s/singlja01.html"
"192","McKinley Singleton",1987,1987,"/players/s/singlmc01.html"
"193","Zeke Sinicola",1952,1954,"/players/s/sinicze01.html"
"194","Charlie Sitton",1985,1985,"/players/s/sittoch01.html"
"195","Peyton Siva",2014,2014,"/players/s/sivape01.html"
"196","Scott Skiles",1987,1996,"/players/s/skilesc01.html"
"197","Al Skinner",1975,1980,"/players/s/skinnal01.html"
"198","Brian Skinner",1999,2012,"/players/s/skinnbr01.html"
"199","Tal Skinner",1975,1976,"/players/s/skinnta01.html"
"200","Whitey Skoog",1952,1957,"/players/s/skoogwh01.html"
"201","Jeff Slade",1963,1963,"/players/s/sladeje01.html"
"202","Reggie Slater",1995,2003,"/players/s/slatere01.html"
"203","Jim Slaughter",1952,1952,"/players/s/slaugji01.html"
"204","Jose Slaughter",1983,1983,"/players/s/slaugjo01.html"
"205","Tamar Slay",2003,2005,"/players/s/slayta01.html"
"206","Donald Sloan",2012,2016,"/players/s/sloando01.html"
"207","Jerry Sloan*",1966,1976,"/players/s/sloanje01.html"
"208","Uroš Slokar",2007,2007,"/players/s/slokaur01.html"
"209","Tom Sluby",1985,1985,"/players/s/slubyto01.html"
"210","Alen Smailagic",2020,2020,"/players/s/smailal01.html"
"211","Keith Smart",1989,1989,"/players/s/smartke01.html"
"212","Marcus Smart",2015,2020,"/players/s/smartma01.html"
"213","Belus Smawley",1947,1952,"/players/s/smawlbe01.html"
"214","Jack Smiley",1949,1950,"/players/s/smileja01.html"
"215","Adrian Smith",1962,1972,"/players/s/smithad01.html"
