"","Player","From","To","plyrprofs"
"101","Vinny Del Negro",1989,2002,"/players/d/delnevi01.html"
"102","Malcolm Delaney",2017,2018,"/players/d/delanma01.html"
"103","Bison Dele",1992,1999,"/players/d/delebi01.html"
"104","Carlos Delfino",2005,2013,"/players/d/delfica01.html"
"105","Ángel Delgado",2019,2019,"/players/d/delgaan01.html"
"106","Tony Delk",1997,2006,"/players/d/delkto01.html"
"107","Matthew Dellavedova",2014,2020,"/players/d/dellama01.html"
"108","Fennis Dembo",1989,1989,"/players/d/dembofe01.html"
"109","Larry Demic",1980,1982,"/players/d/demicla01.html"
"110","Dell Demps",1994,1997,"/players/d/dempsde01.html"
"111","George Dempsey",1955,1959,"/players/d/dempsge01.html"
"112","Luol Deng",2005,2019,"/players/d/denglu01.html"
"113","Kenny Dennard",1982,1984,"/players/d/dennake01.html"
"114","Blaine Denning",1953,1953,"/players/d/dennibl01.html"
"115","Justin Dentmon",2012,2013,"/players/d/dentmju01.html"
"116","Randy Denton",1972,1977,"/players/d/dentora01.html"
"117","Rod Derline",1975,1976,"/players/d/derliro01.html"
"118","Marcus Derrickson",2019,2019,"/players/d/derrima01.html"
"119","Dave Deutsch",1967,1967,"/players/d/deutsda01.html"
"120","Corky Devlin",1956,1958,"/players/d/devlico01.html"
"121","Ernie DiGregorio",1974,1978,"/players/d/digreer01.html"
"122","Donte DiVincenzo",2019,2020,"/players/d/divindo01.html"
"123","Derrick Dial",2000,2004,"/players/d/dialde01.html"
"124","Cheick Diallo",2017,2020,"/players/d/diallch01.html"
"125","Hamidou Diallo",2019,2020,"/players/d/diallha01.html"
"126","Boris Diaw",2004,2017,"/players/d/diawbo01.html"
"127","Yakhouba Diawara",2007,2010,"/players/d/diawaya01.html"
"128","Guillermo Díaz",2008,2008,"/players/d/diazgu01.html"
"129","Dan Dickau",2003,2008,"/players/d/dickada01.html"
"130","Kaniel Dickens",2004,2008,"/players/d/dickeka01.html"
"131","Henry Dickerson",1976,1977,"/players/d/dickehe01.html"
"132","Michael Dickerson",1999,2003,"/players/d/dickemi01.html"
"133","Clyde Dickey",1975,1975,"/players/d/dickecl01.html"
"134","Derrek Dickey",1974,1978,"/players/d/dickede01.html"
"135","Dick Dickey",1952,1952,"/players/d/dickedi01.html"
"136","John Dickson",1968,1968,"/players/d/dicksjo01.html"
"137","Travis Diener",2006,2010,"/players/d/dienetr01.html"
"138","Gorgui Dieng",2014,2020,"/players/d/dienggo01.html"
"139","Connie Dierking",1959,1971,"/players/d/dierkco01.html"
"140","Coby Dietrick",1971,1983,"/players/d/dietrco01.html"
"141","Craig Dill",1968,1968,"/players/d/dillcr01.html"
"142","Dwaine Dillard",1976,1976,"/players/d/dilladw01.html"
"143","Mickey Dillard",1982,1982,"/players/d/dillami01.html"
"144","Bob Dille",1947,1947,"/players/d/dillebo01.html"
"145","Hook Dillon",1950,1950,"/players/d/dilloho01.html"
"146","Byron Dinkins",1990,1991,"/players/d/dinkiby01.html"
"147","Jackie Dinkins",1972,1972,"/players/d/dinkija01.html"
"148","Harry Dinnel",1968,1968,"/players/d/dinneha01.html"
"149","Bill Dinwiddie",1968,1972,"/players/d/dinwibi01.html"
"150","Spencer Dinwiddie",2015,2020,"/players/d/dinwisp01.html"
"151","Ike Diogu",2006,2012,"/players/d/dioguik01.html"
"152","DeSagana Diop",2002,2013,"/players/d/diopde01.html"
"153","Terry Dischinger",1963,1973,"/players/d/dischte01.html"
"154","Fred Diute",1955,1955,"/players/d/diutefr01.html"
"155","Vlade Divac*",1990,2005,"/players/d/divacvl01.html"
"156","Juan Dixon",2003,2009,"/players/d/dixonju01.html"
"157","Earl Dodd",1950,1950,"/players/d/doddea01.html"
"158","Michael Doleac",1999,2008,"/players/d/doleami01.html"
"159","Joe Dolhon",1950,1951,"/players/d/dolhojo01.html"
"160","Bob Doll",1947,1950,"/players/d/dollbo01.html"
"161","James Donaldson",1981,1995,"/players/d/donalja01.html"
"162","Luka Doncic",2019,2020,"/players/d/doncilu01.html"
"163","Bob Donham",1951,1954,"/players/d/donhabo01.html"
"164","Billy Donovan",1988,1988,"/players/d/donovbi01.html"
"165","Harry Donovan",1950,1950,"/players/d/donovha01.html"
"166","Keyon Dooling",2001,2013,"/players/d/doolike01.html"
"167","Aleksandar Ðordevic",1997,1997,"/players/d/djordal01.html"
"168","Jacky Dorsey",1978,1981,"/players/d/dorseja01.html"
"169","Joey Dorsey",2009,2015,"/players/d/dorsejo01.html"
"170","Ron Dorsey",1972,1972,"/players/d/dorsero01.html"
"171","Tyler Dorsey",2018,2019,"/players/d/dorsety01.html"
"172","Luguentz Dort",2020,2020,"/players/d/dortlu01.html"
"173","Damyean Dotson",2018,2020,"/players/d/dotsoda01.html"
"174","Quincy Douby",2007,2009,"/players/d/doubyqu01.html"
"175","Bruce Douglas",1987,1987,"/players/d/douglbr01.html"
"176","John Douglas",1982,1983,"/players/d/dougljo01.html"
"177","Leon Douglas",1977,1983,"/players/d/douglle01.html"
"178","Sherman Douglas",1990,2001,"/players/d/douglsh01.html"
"179","Toney Douglas",2010,2017,"/players/d/douglto01.html"
"180","Chris Douglas-Roberts",2009,2015,"/players/d/douglch01.html"
"181","Sekou Doumbouya",2020,2020,"/players/d/doumbse01.html"
"182","Sonny Dove",1968,1972,"/players/d/doveso01.html"
"183","Jerry Dover",1972,1972,"/players/d/doverje01.html"
"184","Zabian Dowdell",2011,2011,"/players/d/dowdeza01.html"
"185","Bill Downey",1948,1948,"/players/d/downebi01.html"
"186","Steve Downing",1974,1975,"/players/d/downist01.html"
"187","Danny Doyle",1963,1963,"/players/d/doyleda01.html"
"188","Milton Doyle",2018,2018,"/players/d/doylemi01.html"
"189","PJ Dozier",2018,2020,"/players/d/doziepj01.html"
"190","Terry Dozier",1990,1990,"/players/d/doziete01.html"
"191","Goran Dragic",2009,2020,"/players/d/dragigo01.html"
"192","Zoran Dragic",2015,2015,"/players/d/dragizo01.html"
"193","Greg Dreiling",1987,1997,"/players/d/dreilgr01.html"
"194","Bryce Drew",1999,2004,"/players/d/drewbr01.html"
"195","John Drew",1975,1985,"/players/d/drewjo01.html"
"196","Larry Drew",1981,1991,"/players/d/drewla01.html"
"197","Larry Drew",2015,2018,"/players/d/drewla02.html"
"198","Clyde Drexler*",1984,1998,"/players/d/drexlcl01.html"
"199","Nate Driggers",1997,1997,"/players/d/driggna01.html"
"200","Terry Driscoll",1971,1975,"/players/d/driscte01.html"
"201","Predrag Drobnjak",2002,2005,"/players/d/drobnpr01.html"
"202","Ralph Drollinger",1981,1981,"/players/d/drollra01.html"
"203","Andre Drummond",2013,2020,"/players/d/drumman01.html"
"204","Dennis DuVal",1975,1976,"/players/d/duvalde01.html"
"205","Dick Duckett",1958,1958,"/players/d/duckedi01.html"
"206","Kevin Duckworth",1987,1997,"/players/d/duckwke01.html"
"207","Charles Dudley",1973,1979,"/players/d/dudlech01.html"
"208","Chris Dudley",1988,2003,"/players/d/dudlech02.html"
"209","Jared Dudley",2008,2020,"/players/d/dudleja01.html"
"210","Terry Duerod",1980,1983,"/players/d/duerote01.html"
"211","Bob Duffy",1947,1947,"/players/d/duffybo01.html"
"212","Bob Duffy",1963,1965,"/players/d/duffybo02.html"
"213","Chris Duhon",2005,2013,"/players/d/duhonch01.html"
"214","Duje Dukan",2016,2016,"/players/d/dukandu01.html"
"215","Walter Dukes",1956,1963,"/players/d/dukeswa01.html"
"216","Joe Dumars*",1986,1999,"/players/d/dumarjo01.html"
"217","Rich Dumas",1969,1969,"/players/d/dumasri01.html"
"218","Richard Dumas",1993,1996,"/players/d/dumasri02.html"
"219","Tony Dumas",1995,1998,"/players/d/dumasto01.html"
"220","Andy Duncan",1949,1951,"/players/d/duncaan01.html"
"221","Tim Duncan*",1998,2016,"/players/d/duncati01.html"
"222","Mike Dunleavy",1977,1990,"/players/d/dunlemi01.html"
"223","Mike Dunleavy",2003,2017,"/players/d/dunlemi02.html"
"224","Kris Dunn",2017,2020,"/players/d/dunnkr01.html"
"225","Pat Dunn",1958,1958,"/players/d/dunnpa01.html"
"226","T.R. Dunn",1978,1991,"/players/d/dunntr01.html"
"227","Ronald Dupree",2004,2011,"/players/d/duprero01.html"
"228","Kevin Durant",2008,2019,"/players/d/duranke01.html"
"229","John Duren",1981,1983,"/players/d/durenjo01.html"
"230","Jarrett Durham",1972,1972,"/players/d/durhaja01.html"
"231","Pat Durham",1993,1995,"/players/d/durhapa01.html"
"232","Devin Durrant",1985,1986,"/players/d/durrade01.html"
"233","Ken Durrett",1972,1975,"/players/d/durreke01.html"
"234","Trevon Duval",2019,2019,"/players/d/duvaltr01.html"
"235","Jack Dwan",1949,1949,"/players/d/dwanja01.html"
"236","Craig Dykema",1982,1982,"/players/d/dykemcr01.html"
"237","Gene Dyker",1954,1954,"/players/d/dykerge01.html"
"238","Jerome Dyson",2012,2012,"/players/d/dysonje01.html"
